date,visit,farm,order,cow_id,quarter,unique_ID,scc,,inf_type,inf_type_conjecture,over_200k,path_1,path1_imi,path_2,path2_imi,path_3,path3_imi,path_4,path4_imi,quarter_code,isolate_1,path_1_maldi_final_id,fix_1,isolate_2,path_2_maldi_final_id,fix_2,isolate_3,path_3_maldi_final_id,fix_3,isolate_4,path_4_maldi_final_id,fix_4,clinical,blind,teatinj,pstmilking,mixed.inf_series,dup_not_collected,imi_series,hygiene_scorer_1,hygiene_1,hygiene_scorer_2,hygiene_2,cc_1,cc_2,cc_3,contam,contam_comment
12.19.2019,first,Lynd,29,lop,LH,lop_Lynd_LH,56000,,chron,chron,no,cns,yes2,,,,,,,2,lf035,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
1.30.2020,second,Lynd,34,lop,LH,lop_Lynd_LH,62000,,chron,chron,no,cns,yes2,,,,,,,2,lf086,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
1.29.2020,second,BJ,7,720,RH,720_BJ_RH,64000,,chron,chron,no,cns,yes2,,,,,,,2,bj033,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,j,1,c,1,NA,NA,NA,,
1.29.2020,second,BJ,9,716,LH,716_BJ_LH,67000,,chron,chron,no,cns,yes2,,,,,,,2,bj037,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,j,2,c,1,NA,NA,NA,,
3.3.2020,third,Butterworks,20,manzana,RH,manzana_Butterworks_RH,67000,,chron,chron,no,cns,yes2,,,,,,,2,bw139,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,n,4,c,4,NA,NA,NA,,
12.19.2019,first,Lynd,27,krone,RH,krone_Lynd_RH,71000,,chron,chron,no,cns,yes2,,,,,,,2,lf033,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
3.5.2020,third,Lynd,28,lop,LH,lop_Lynd_LH,71000,,chron,chron,no,cns,yes2,,,,,,,2,lf121,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
12.17.2019,first,BJ,10,720,RH,720_BJ_RH,74000,,chron,chron,no,cns,yes2,,,,,,,2,bj011,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,j,3,c,2,NA,NA,NA,,
2.26.2020,third,BJ,11,716,LH,716_BJ_LH,85000,,chron,chron,no,cns,yes1,,,,,,,1,bj059,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,,m,1,c,2,NA,NA,NA,,
1.30.2020,second,Lynd,18,krone,LF,krone_Lynd_LF,88000,,chron,chron,no,cns,yes1,,,,,,,1,lf069,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
1.30.2020,second,Lynd,18,krone,RF,krone_Lynd_RF,89000,,chron,chron,no,cns,yes1,,,,,,,1,lf071,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
3.5.2020,third,Lynd,15,krone,LF,krone_Lynd_LF,120000,,chron,chron,no,cns,yes2,,,,,,,2,lf107,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
3.5.2020,third,Lynd,15,krone,RF,krone_Lynd_RF,130000,,chron,chron,no,cns,yes2,,,,,,,2,lf109,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
3.3.2020,third,Butterworks,19,marjoram,RH,marjoram_Butterworks_RH,150000,,chron,chron,no,cns,yes2,,,,,,,2,bw136,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,n,1,c,1,NA,NA,NA,,
12.17.2019,first,BJ,4,716,LH,716_BJ_LH,152000,,chron,chron,no,cns,yes2,,,,,,,2,bj003,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,j,4,c,3,NA,NA,NA,,
1.30.2020,second,Lynd,18,krone,RH,krone_Lynd_RH,160000,,chron,chron,no,cns,yes2,,,,,,,2,lf070,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
12.19.2019,first,Lynd,35,martina,LH,martina_Lynd_LH,168000,,chron,chron,no,cns,yes2,,,,,,,2,lf040,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
2.26.2020,third,BJ,21,733,LF,733_BJ_LF,170000,,chron,chron,no,cns,yes2,,,,,,,2,bj072,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,m,1,c,1,NA,NA,NA,,
3.5.2020,third,Lynd,15,krone,RH,krone_Lynd_RH,180000,,chron,chron,no,cns,yes2,,,,,,,2,lf108,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
2.26.2020,third,BJ,12,720,RH,720_BJ_RH,230000,,chron,chron,yes,cns,yes2,,,,,,,2,bj061,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,m,2,c,2,NA,NA,NA,,
12.17.2019,first,BJ,15,733,LF,733_BJ_LF,286000,,chron,chron,yes,cns,yes2,,,,,,,2,bj012,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,j,1,c,2,NA,NA,NA,,
3.5.2020,third,Lynd,16,martina,LH,martina_Lynd_LH,500000,,chron,chron,yes,cns,yes2,,,,,,,2,lf110,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
1.30.2020,second,Lynd,33,martina,LH,martina_Lynd_LH,600000,,chron,chron,yes,cns,yes1,,,,,,,1,lf085,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
1.30.2020,second,Lynd,6,life,LF,life_Lynd_LF,27000,,chron2,chron2,no,cns,yes2,,,,,,,2,lf054,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
2.19.2020,second,Glennview,32,199,LH,199_Glennview_LH,40000,,chron2,chron2,no,cns,yes2,,,,,,,2,gv091,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,m,1,c,2,NA,NA,NA,,
3.3.2020,third,Butterworks,16,hawthorn,RH,hawthorn_Butterworks_RH,43000,,chron2,chron2,no,cns,yes1,,,,,,,1,bw133,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,n,2,c,1,NA,NA,NA,,
3.3.2020,third,Butterworks,13,nebula,RH,nebula_Butterworks_RH,44000,,chron2,chron2,no,cns,yes2,,,,,,,2,bw132,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,n,2,c,1,NA,NA,NA,,
3.19.2020,third,Glennview,2,199,LH,199_Glennview_LH,46000,,chron2,chron2,no,cns,yes2,,,,,,,2,gv101,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,j,3,c,3,NA,NA,NA,,
3.3.2020,third,Butterworks,20,manzana,RF,manzana_Butterworks_RF,49000,,chron2,chron2,no,cns,yes2,,,,,,,2,bw140,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,n,4,c,4,NA,NA,NA,,
3.3.2020,third,Butterworks,32,bon,RF,bon_Butterworks_RF,62000,,chron2,chron2,no,cns,yes2,,,,,,,2,bw155,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,n,3,c,1,NA,NA,NA,,
3.19.2020,third,Glennview,28,70,LF,70_Glennview_LF,62000,,chron2,chron2,no,cns,yes2,,,,,,,2,gv150,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,j,3,c,3,NA,NA,NA,,
3.19.2020,third,Glennview,31,192,RF,192_Glennview_RF,63000,,chron2,chron2,no,cns,yes2,,,,,,,2,gv154,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,j,2,c,2,NA,NA,NA,,
2.4.2020,second,Butterworks,20,manzana,RF,manzana_Butterworks_RF,65000,,chron2,chron2,no,cns,yes2,,,,,,,2,bw092,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,t,3,c,3,NA,NA,NA,,
2.19.2020,second,Glennview,35,198,LH,198_Glennview_LH,66000,,chron2,chron2,no,cns,yes2,,,,,,,2,gv097,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,m,1,c,1,NA,NA,NA,,
2.26.2020,third,BJ,26,761,LH,761_BJ_LH,70000,,chron2,chron2,no,cns,yes2,,,,,,,2,bj076,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,m,4,c,4,NA,NA,NA,,
1.30.2020,second,Lynd,14,kowabunga,LF,kowabunga_Lynd_LF,74000,,chron2,chron2,no,cns,yes2,,,,,,,2,lf063,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
3.5.2020,third,Lynd,23,life,LF,life_Lynd_LF,74000,,chron2,chron2,no,cns,yes2,,,,,,,2,lf115,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
2.19.2020,second,Glennview,32,199,RH,199_Glennview_RH,79000,,chron2,chron2,no,cns,yes2,,,,,,,2,gv092,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,m,1,c,2,NA,NA,NA,,
3.5.2020,third,Lynd,26,ladyfinger,RH,ladyfinger_Lynd_RH,81000,,chron2,chron2,no,cns,yes2,,,,,,,2,lf119,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
3.5.2020,third,Lynd,27,luxurytax,LF,luxurytax_Lynd_LF,81000,,chron2,chron2,no,cns,yes2,,,,,,,2,lf120,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
1.30.2020,second,Lynd,9,ladyfinger,RH,ladyfinger_Lynd_RH,82000,,chron2,chron2,no,cns,yes2,,,,,,,2,lf058,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
1.30.2020,second,Lynd,5,klondike,RF,klondike_Lynd_RF,83000,,chron2,chron2,no,cns,yes2,cns,other18,,,,,2,lf051,staphylococcus chromogenes,,lf052,staphylococcus chromogenes,,,,NA,,,NA,,,,,tbd,,yes,NA,NA,NA,NA,NA,NA,NA,,
1.22.2020,second,Swallowdale,32,pledge,RH,pledge_Swallowdale_RH,84000,,chron2,chron2,no,cns,yes2,,,,,,,2,sw088,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,j,1,NA,NA,NA,NA,NA,,
1.30.2020,second,Lynd,4,luxurytax,LF,luxurytax_Lynd_LF,85000,,chron2,chron2,no,cns,yes2,,,,,,,2,lf050,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
2.19.2020,second,Glennview,33,70,LF,70_Glennview_LF,86000,,chron2,chron2,no,cns,yes2,,,,,,,2,gv095,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,m,2,c,2,NA,NA,NA,,
3.3.2020,third,Butterworks,29,petunia,LH,petunia_Butterworks_LH,87000,,chron2,chron2,no,cns,yes1,,,,,,,1,bw152,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,n,3,c,2,NA,NA,NA,,
3.5.2020,third,Lynd,10,ambrosia,LH,ambrosia_Lynd_LH,91000,,chron2,chron2,no,cns,yes2,,,,,,,2,lf101,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
3.5.2020,third,Lynd,22,lovage,LF,lovage_Lynd_LF,94000,,chron2,chron2,no,cns,yes2,,,,,,,2,lf113,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
2.4.2020,second,Butterworks,27,petunia,LH,petunia_Butterworks_LH,99000,,chron2,chron2,no,cns,yes2,,,,,,,2,bw099,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,t,1,c,1,NA,NA,NA,,
1.30.2020,second,Lynd,2,ambrosia,LH,ambrosia_Lynd_LH,110000,,chron2,chron2,no,cns,yes2,,,,,,,2,lf047,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
2.4.2020,second,Butterworks,16,hawthorn,RH,hawthorn_Butterworks_RH,120000,,chron2,chron2,no,cns,yes2,,,,,,,2,bw085,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,t,2,c,2,NA,NA,NA,,
3.19.2020,third,Glennview,2,199,RH,199_Glennview_RH,120000,,chron2,chron2,no,cns,yes2,,,,,,,2,gv102,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,j,3,c,3,NA,NA,NA,,
1.30.2020,second,Lynd,21,jitterbug,RH,jitterbug_Lynd_RH,120000,,chron2,chron2,no,cns,yes2,,,,,,,2,lf075,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
2.19.2020,second,Glennview,31,192,RF,192_Glennview_RF,130000,,chron2,chron2,no,cns,yes2,,,,,,,2,gv090,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,m,2,c,3,NA,NA,NA,,
3.5.2020,third,Lynd,3,chaloopa,LF,chaloopa_Lynd_LF,130000,,chron2,chron2,no,cns,yes2,,,,,,,2,lf093,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
1.30.2020,second,Lynd,19,webster,RF,webster_Lynd_RF,140000,,chron2,chron2,no,cns,yes2,,,,,,,2,lf072,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
1.22.2020,second,Swallowdale,32,pledge,RF,pledge_Swallowdale_RF,140000,,chron2,chron2,no,cns,yes2,,,,,,,2,sw089,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,j,1,NA,NA,NA,NA,NA,,
3.3.2020,third,Butterworks,26,melissa,LH,melissa_Butterworks_LH,150000,,chron2,chron2,no,cns,yes2,,,,,,,2,bw148,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,n,3,c,2,NA,NA,NA,,
2.4.2020,second,Butterworks,26,melissa,LH,melissa_Butterworks_LH,160000,,chron2,chron2,no,cns,,,,,,,,9,bw114,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,,yes,no,t,2,c,1,NA,NA,NA,,
3.5.2020,third,Lynd,5,kowabunga,RF,kowabunga_Lynd_RF,160000,,chron2,chron2,no,cns,yes2,,,,,,,2,lf097,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
3.5.2020,third,Lynd,1,jitterbug,RH,jitterbug_Lynd_RH,170000,,chron2,chron2,no,cns,yes1,,,,,,,1,lf090,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
1.30.2020,second,Lynd,3,lovage,LF,lovage_Lynd_LF,180000,,chron2,chron2,no,cns,yes2,,,,,,,2,lf048,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
2.28.2020,third,Swallowdale,11,pledge,RH,pledge_Swallowdale_RH,180000,,chron2,chron2,no,cns,yes2,,,,,,,2,sw102,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
1.30.2020,second,Lynd,8,faith,LH,faith_Lynd_LH,200000,,chron2,chron2,yes,cns,yes2,,,,,,,2,lf055,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
3.3.2020,third,Butterworks,25,nellie,LH,nellie_Butterworks_LH,220000,,chron2,chron2,yes,cns,yes2,,,,,,,2,bw144,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,n,2,c,1,NA,NA,NA,,
1.30.2020,second,Lynd,16,chaloopa,LF,chaloopa_Lynd_LF,220000,,chron2,chron2,yes,cns,yes2,,,,,,,2,lf066,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
1.22.2020,second,Swallowdale,31,cassia,LH,cassia_Swallowdale_LH,220000,,chron2,chron2,yes,cns,yes2,,,,,,,2,sw085,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,j,NA,NA,NA,NA,NA,NA,,
3.5.2020,third,Lynd,9,klondike,RF,klondike_Lynd_RF,230000,,chron2,chron2,yes,cns,yes2,,,,,,,2,lf100,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
3.5.2020,third,Lynd,5,kowabunga,LF,kowabunga_Lynd_LF,230000,,chron2,chron2,yes,cns,yes2,,,,,,,2,lf095,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
1.22.2020,second,Swallowdale,32,pledge,LF,pledge_Swallowdale_LF,230000,,chron2,chron2,yes,cns,yes2,,,,,,,2,sw087,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,j,1,NA,NA,NA,NA,NA,,
2.4.2020,second,Butterworks,19,nazareth,LF,nazareth_Butterworks_LF,240000,,chron2,chron2,yes,cns,yes2,,,,,,,2,bw087,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,t,2,c,1,NA,NA,NA,,
2.4.2020,second,Butterworks,24,nellie,LH,nellie_Butterworks_LH,240000,,chron2,chron2,yes,cns,yes2,,,,,,,2,bw094,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,t,1,c,1,NA,NA,NA,,
3.5.2020,third,Lynd,19,webster,RF,webster_Lynd_RF,240000,,chron2,chron2,yes,cns,yes2,,,,,,,2,lf112,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
12.17.2019,first,BJ,30,761,LH,761_BJ_LH,246000,,chron2,chron2,yes,cns,yes2,cns,other18,,,,,2,bj018,staphylococcus chromogenes,,bj026,staphylococcus chromogenes,,,,NA,,,NA,,,,,tbd,,yes,j,3,c,3,NA,NA,NA,,
2.4.2020,second,Butterworks,31,bon,RF,bon_Butterworks_RF,290000,,chron2,chron2,yes,cns,yes2,,,,,,,2,bw106,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,t,2,c,1,NA,NA,NA,,
3.3.2020,third,Butterworks,17,nazareth,LF,nazareth_Butterworks_LF,300000,,chron2,chron2,yes,cns,yes2,,,,,,,2,bw134,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,n,2,c,1,NA,NA,NA,,
3.5.2020,third,Lynd,6,faith,LH,faith_Lynd_LH,350000,,chron2,chron2,yes,cns,yes2,,,,,,,2,lf098,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
3.19.2020,third,Glennview,7,198,LH,198_Glennview_LH,370000,,chron2,chron2,yes,cns,yes2,,,,,,,2,gv111,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,j,2,c,2,NA,NA,NA,,
2.28.2020,third,Swallowdale,11,pledge,LF,pledge_Swallowdale_LF,410000,,chron2,chron2,yes,cns,yes2,,,,,,,2,sw101,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
1.30.2020,second,Lynd,14,kowabunga,RF,kowabunga_Lynd_RF,420000,,chron2,chron2,yes,cns,yes2,,,,,,,2,lf064,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
2.28.2020,third,Swallowdale,11,pledge,RF,pledge_Swallowdale_RF,440000,,chron2,chron2,yes,cns,yes2,,,,,,,2,sw103,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
2.4.2020,second,Butterworks,13,nebula,RH,nebula_Butterworks_RH,460000,,chron2,chron2,yes,cns,yes2,,,,,,,2,bw084,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,t,2,c,1,NA,NA,NA,,
3.3.2020,third,Butterworks,25,nellie,RH,nellie_Butterworks_RH,730000,,chron2,chron2,yes,cns,yes2,,,,,,,2,bw145,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,n,2,c,1,NA,NA,NA,,
2.4.2020,second,Butterworks,24,nellie,RH,nellie_Butterworks_RH,740000,,chron2,chron2,yes,cns,yes29,,,,,,,29,bw097,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,t,1,c,1,NA,NA,NA,,
2.28.2020,third,Swallowdale,34,cassia,LH,cassia_Swallowdale_LH,1000000,,chron2,chron2,yes,cns,yes1,,,,,,,1,sw132,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,,
3.3.2020,third,Butterworks,2,muffin,LH,muffin_Butterworks_LH,0,mixed-CNS-chrom,trans_?,chron,no,cns,yes2,,,,,,,2,bw116,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,n,3,c,1,NA,NA,NA,,
3.19.2020,third,Glennview,10,42,LF,42_Glennview_LF,120000,CNS_CNS-chrom,trans_?,chron,no,cns,yes2,,,,,,,2,gv117,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,j,1,c,2,NA,NA,NA,,
3.12.2020,third,OughtaBe,5,kit,LH,kit_OughtaBe_LH,120000,CNS_CNS-chrom,trans_?,chron,no,cns,yes2,cns,other18,,,,,2,ob112,staphylococcus chromogenes,,ob168,,,,,NA,,,NA,,,,,tbd,,yes,j,2,c,2,NA,NA,NA,,
2.4.2020,second,Butterworks,18,marjoram,RH,marjoram_Butterworks_RH,240000,CNS-chrom-chrom,trans_?,chron,yes,cns,yes2,,,,,,,2,bw086,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,t,2,c,1,NA,NA,NA,,
2.14.2020,second,OughtaBe,33,tiktoe,LF,tiktoe_OughtaBe_LF,33000,CNS-chrom-CNS,trans_?,chron,no,cns,yes2,,,,,,,2,ob098,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,t,2,c,3,NA,NA,NA,,
2.14.2020,second,OughtaBe,33,tiktoe,LH,tiktoe_OughtaBe_LH,77000,CNS-chrom-CNS,trans_?,chron,no,cns,yes2,,,,,,,2,ob097,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,t,2,c,3,NA,NA,NA,,
2.14.2020,second,OughtaBe,33,tiktoe,RF,tiktoe_OughtaBe_RF,110000,CNS-chrom-CNS,trans_?,chron,no,cns,yes2,,,,,,,2,ob100,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,t,2,c,3,NA,NA,NA,,
2.14.2020,second,OughtaBe,35,katie,LH,katie_OughtaBe_LH,190000,CNS-chrom-CNS,trans_?,chron,no,cns,yes2,,,,,,,2,ob102,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,t,1,c,1,NA,NA,NA,,
2.14.2020,second,OughtaBe,24,alf,RF,alf_OughtaBe_RF,1000000,CNS-chrom-CNS,trans_?,chron,yes,cns,yes2,,,,,,,2,ob091,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,t,1,c,1,NA,NA,NA,,
2.4.2020,second,Butterworks,34,chipotle,RF,chipotle_Butterworks_RF,140000,CNS-chrom-NA,trans_?,chron2,no,cns,yes2,,,,,,,2,bw113,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,t,2,c,1,NA,NA,NA,,
2.14.2020,second,OughtaBe,34,ginger,RH,ginger_OughtaBe_RH,230000,CNS-chrom-NA,trans_?,chron2,yes,cns,yes2,,,,,,,2,ob101,staphylococcus chromogenes,,,,,,,NA,,,NA,,,,,no,,yes,t,1,c,1,NA,NA,NA,,
