"","date","visit","farm","cow_id","hygiene_scorer_1","hygiene_1","hygiene_scorer_2","hygiene_2"
"90","2.28.2020","third","Swallowdale","ferris",NA,NA,NA,NA
"91","2.28.2020","third","Swallowdale","sondra",NA,NA,NA,NA
"92","2.28.2020","third","Swallowdale","marshmellow",NA,NA,NA,NA
"93","2.28.2020","third","Swallowdale","denise",NA,NA,NA,NA
"94","2.28.2020","third","Swallowdale","flossy",NA,NA,NA,NA
"95","2.28.2020","third","Swallowdale","pamela",NA,NA,NA,NA
"96","2.28.2020","third","Swallowdale","jewel",NA,NA,NA,NA
"97","2.28.2020","third","Swallowdale","marta",NA,NA,NA,NA
"98","2.28.2020","third","Swallowdale","halo",NA,NA,NA,NA
"99","2.28.2020","third","Swallowdale","rock7",NA,NA,NA,NA
"100","2.28.2020","third","Swallowdale","denver",NA,NA,NA,NA
"101","2.28.2020","third","Swallowdale","opal",NA,NA,NA,NA
"102","2.28.2020","third","Swallowdale","gigi",NA,NA,NA,NA
"103","2.28.2020","third","Swallowdale","sonic",NA,NA,NA,NA
"104","2.28.2020","third","Swallowdale","goldie",NA,NA,NA,NA
"105","2.28.2020","third","Swallowdale","cassia",NA,NA,NA,NA
"106","2.28.2020","third","Swallowdale","skyler",NA,NA,NA,NA
"107","12.12.2019","first","StonyPond","bigred","j",2,NA,NA
"108","12.12.2019","first","StonyPond","zag","j",2,NA,NA
"109","12.12.2019","first","StonyPond","margo","j",2,NA,NA
"110","12.12.2019","first","StonyPond","lish","j",2,NA,NA
"111","12.12.2019","first","StonyPond","echo","j",2,NA,NA
"112","12.12.2019","first","StonyPond","peaches","j",1,NA,NA
"113","12.12.2019","first","StonyPond","riley","j",3,NA,NA
"114","12.12.2019","first","StonyPond","pippa","j",1,NA,NA
"115","12.12.2019","first","StonyPond","lucinda","j",3,NA,NA
"116","12.12.2019","first","StonyPond","teatree","j",1,NA,NA
"117","12.12.2019","first","StonyPond","robin","j",3,NA,NA
"118","12.12.2019","first","StonyPond","ashley","j",4,NA,NA
"119","12.12.2019","first","StonyPond","abbazaba","j",1,NA,NA
"120","12.12.2019","first","StonyPond","charlotte","j",1,NA,NA
"121","12.12.2019","first","StonyPond","alaska","j",3,NA,NA
"122","12.12.2019","first","StonyPond","indigo","j",3,NA,NA
"123","12.12.2019","first","StonyPond","wynona","j",1,NA,NA
"124","12.12.2019","first","StonyPond","octavia","j",3,NA,NA
"125","12.12.2019","first","StonyPond","doris","j",4,NA,NA
"126","12.12.2019","first","StonyPond","peggie","j",2,NA,NA
"127","12.12.2019","first","StonyPond","italia","j",3,NA,NA
"128","12.12.2019","first","StonyPond","rashida","j",1,NA,NA
"129","12.12.2019","first","StonyPond","abbi","j",3,NA,NA
"130","12.12.2019","first","StonyPond","brandy","j",1,NA,NA
"131","12.12.2019","first","StonyPond","rhonda","j",3,NA,NA
"132","12.12.2019","first","StonyPond","daisy","j",1,NA,NA
"133","12.12.2019","first","StonyPond","daryl","j",2,NA,NA
"134","12.12.2019","first","StonyPond","genie","j",1,NA,NA
"135","12.12.2019","first","StonyPond","faith","j",2,NA,NA
"136","12.12.2019","first","StonyPond","whopper","j",1,NA,NA
"137","12.12.2019","first","StonyPond","sally","j",2,NA,NA
"138","12.12.2019","first","StonyPond","aubrey","j",2,NA,NA
"139","12.12.2019","first","StonyPond","chelsea","j",2,NA,NA
"140","12.12.2019","first","StonyPond","alexis","j",3,NA,NA
"141","12.12.2019","first","StonyPond","delilah","j",2,NA,NA
"142","1.10.2020","second","StonyPond","peaches","j",1,NA,NA
"143","1.10.2020","second","StonyPond","faith","j",1,NA,NA
"144","1.10.2020","second","StonyPond","pippa","j",1,NA,NA
"145","1.10.2020","second","StonyPond","wynona","j",1,NA,NA
"146","1.10.2020","second","StonyPond","abbazaba","j",2,NA,NA
"147","1.10.2020","second","StonyPond","whopper","j",2,NA,NA
"148","1.10.2020","second","StonyPond","bigred","j",2,NA,NA
"149","1.10.2020","second","StonyPond","margo","j",2,NA,NA
"150","1.10.2020","second","StonyPond","lish","j",2,NA,NA
"151","1.10.2020","second","StonyPond","teatree","j",2,NA,NA
"152","1.10.2020","second","StonyPond","lucinda","j",1,NA,NA
"153","1.10.2020","second","StonyPond","riley","j",2,NA,NA
"154","1.10.2020","second","StonyPond","peggie","j",2,NA,NA
"155","1.10.2020","second","StonyPond","echo","j",1,NA,NA
"156","1.10.2020","second","StonyPond","charlie","j",2,NA,NA
"157","1.10.2020","second","StonyPond","alaska","j",1,NA,NA
"158","1.10.2020","second","StonyPond","sally","j",2,NA,NA
"159","1.10.2020","second","StonyPond","brandy","j",2,NA,NA
"160","1.10.2020","second","StonyPond","robin","j",1,NA,NA
"161","1.10.2020","second","StonyPond","rashida","j",3,NA,NA
"162","1.10.2020","second","StonyPond","doris","j",1,NA,NA
"163","1.10.2020","second","StonyPond","ashley","j",3,NA,NA
"164","1.10.2020","second","StonyPond","chelsea","j",2,NA,NA
"165","1.10.2020","second","StonyPond","octavia","j",3,NA,NA
"166","1.10.2020","second","StonyPond","abbi","j",2,NA,NA
"167","1.10.2020","second","StonyPond","rhonda","j",2,NA,NA
"168","1.10.2020","second","StonyPond","aubrey","j",2,NA,NA
"169","1.10.2020","second","StonyPond","daisy","j",1,NA,NA
"170","1.10.2020","second","StonyPond","genie","j",2,NA,NA
"171","1.10.2020","second","StonyPond","daryl","j",1,NA,NA
"172","1.10.2020","second","StonyPond","alexis","j",3,NA,NA
"173","1.10.2020","second","StonyPond","delilah","j",4,NA,NA
"174","1.14.2020","first","Glennview","173","j",2,"c",1
"175","1.14.2020","first","Glennview","203","j",3,"c",3
"176","1.14.2020","first","Glennview","133","j",4,"c",3
"177","1.14.2020","first","Glennview","201","j",2,"c",2
"178","1.14.2020","first","Glennview","206","j",1,"c",2
"179","1.14.2020","first","Glennview","165","j",1,"c",1
"180","1.14.2020","first","Glennview","54","j",2,"c",2
"181","1.14.2020","first","Glennview","160","j",1,"c",1
"182","1.14.2020","first","Glennview","456","j",3,"c",2
"183","1.14.2020","first","Glennview","193","j",4,"c",4
"184","1.14.2020","first","Glennview","199","j",3,"c",2
"185","1.14.2020","first","Glennview","174","j",2,"c",2
"186","1.14.2020","first","Glennview","80","j",2,"c",2
"187","1.14.2020","first","Glennview","204","j",2,"c",2
"188","1.14.2020","first","Glennview","128","j",3,"c",3
"189","1.14.2020","first","Glennview","192","j",2,"c",2
"190","1.14.2020","first","Glennview","185","j",2,"c",2
"191","1.14.2020","first","Glennview","27","j",2,"c",2
"192","1.14.2020","first","Glennview","84","j",4,"c",3
"193","1.14.2020","first","Glennview","93","j",2,"c",3
"194","1.14.2020","first","Glennview","188","j",1,"c",1
"195","1.14.2020","first","Glennview","190","j",2,"c",2
"196","1.14.2020","first","Glennview","169","j",2,"c",2
"197","1.14.2020","first","Glennview","114","j",1,"c",2
"198","1.14.2020","first","Glennview","70","j",2,"c",3
"199","1.14.2020","first","Glennview","137","j",3,"c",2
"200","1.14.2020","first","Glennview","42","j",1,"c",1
"201","1.14.2020","first","Glennview","43","j",2,"c",2
"202","1.14.2020","first","Glennview","207","j",1,"c",1
"203","1.14.2020","first","Glennview","200","j",1,"c",2
"204","1.14.2020","first","Glennview","175","j",1,"c",2
"205","1.14.2020","first","Glennview","194","j",1,"c",1
"206","1.14.2020","first","Glennview","79","j",2,"c",3
"207","1.14.2020","first","Glennview","172","j",1,"c",2
"208","1.14.2020","first","Glennview","205","j",3,"c",3
"209","2.19.2020","second","Glennview","174","m",1,"c",1
"210","2.19.2020","second","Glennview","84","m",2,"c",2
"211","2.19.2020","second","Glennview","173","m",2,"c",2
"212","2.19.2020","second","Glennview","205","m",3,"c",2
"213","2.19.2020","second","Glennview","114","m",3,"c",2
"214","2.19.2020","second","Glennview","194","m",2,"c",2
"215","2.19.2020","second","Glennview","193","m",3,"c",3
"216","2.19.2020","second","Glennview","133","m",4,"c",3
"217","2.19.2020","second","Glennview","79","m",2,"c",2
"218","2.19.2020","second","Glennview","200","m",3,"c",2
"219","2.19.2020","second","Glennview","80","m",2,"c",2
"220","2.19.2020","second","Glennview","201","m",2,"c",2
"221","2.19.2020","second","Glennview","54","m",2,"c",2
"222","2.19.2020","second","Glennview","27","m",3,"c",2
"223","2.19.2020","second","Glennview","175","m",1,"c",2
"224","2.19.2020","second","Glennview","203","m",2,"c",3
"225","2.19.2020","second","Glennview","137","m",2,"c",2
"226","2.19.2020","second","Glennview","42","m",1,"c",1
"227","2.19.2020","second","Glennview","188","m",3,"c",4
"228","2.19.2020","second","Glennview","160","m",1,"c",2
"229","2.19.2020","second","Glennview","206","m",1,"c",1
"230","2.19.2020","second","Glennview","139","m",3,"c",3
"231","2.19.2020","second","Glennview","165","m",3,"c",2
"232","2.19.2020","second","Glennview","43","m",3,"c",2
"233","2.19.2020","second","Glennview","185","m",3,"c",3
"234","2.19.2020","second","Glennview","190","m",2,"c",2
"235","2.19.2020","second","Glennview","169","m",3,"c",3
"236","2.19.2020","second","Glennview","128","m",2,"c",2
"237","2.19.2020","second","Glennview","204","m",2,"c",2
"238","2.19.2020","second","Glennview","207","m",2,"c",3
"239","2.19.2020","second","Glennview","192","m",2,"c",3
"240","2.19.2020","second","Glennview","199","m",1,"c",2
"241","2.19.2020","second","Glennview","70","m",2,"c",2
"242","2.19.2020","second","Glennview","172","m",2,"c",2
"243","2.19.2020","second","Glennview","198","m",1,"c",1
"244","2.19.2020","second","Glennview","93","m",2,"c",3
"245","3.19.2020","third","Glennview","194","j",2,"c",2
"246","3.19.2020","third","Glennview","199","j",3,"c",3
"247","3.19.2020","third","Glennview","172","j",2,"c",2
"248","3.19.2020","third","Glennview","193","j",4,"c",4
"249","3.19.2020","third","Glennview","174","j",1,"c",2
"250","3.19.2020","third","Glennview","173","j",4,"c",4
"251","3.19.2020","third","Glennview","198","j",2,"c",2
"252","3.19.2020","third","Glennview","165","j",3,"c",3
"253","3.19.2020","third","Glennview","200","j",2,"c",2
"254","3.19.2020","third","Glennview","42","j",1,"c",2
"255","3.19.2020","third","Glennview","137","j",2,"c",2
"256","3.19.2020","third","Glennview","79","j",3,"c",4
"257","3.19.2020","third","Glennview","93","j",1,"c",2
"258","3.19.2020","third","Glennview","133","j",4,"c",4
"259","3.19.2020","third","Glennview","128","j",2,"c",3
"260","3.19.2020","third","Glennview","190","j",3,"c",2
"261","3.19.2020","third","Glennview","139","j",2,"c",3
"262","3.19.2020","third","Glennview","80","j",1,"c",2
"263","3.19.2020","third","Glennview","185","j",2,"c",2
"264","3.19.2020","third","Glennview","203","j",1,"c",2
"265","3.19.2020","third","Glennview","201","j",3,"c",4
"266","3.19.2020","third","Glennview","204","j",3,"c",3
"267","3.19.2020","third","Glennview","207","j",2,"c",4
"268","3.19.2020","third","Glennview","54","j",1,"c",4
"269","3.19.2020","third","Glennview","43","j",3,"c",4
"270","3.19.2020","third","Glennview","27","j",1,"c",3
"271","3.19.2020","third","Glennview","205","j",2,"c",2
"272","3.19.2020","third","Glennview","70","j",3,"c",3
"273","3.19.2020","third","Glennview","206","j",2,"c",2
"274","3.19.2020","third","Glennview","188","j",2,"c",2
"275","3.19.2020","third","Glennview","192","j",2,"c",2
"276","3.19.2020","third","Glennview","84","j",1,"c",2
"277","3.19.2020","third","Glennview","114","j",2,"c",2
"278","3.19.2020","third","Glennview","169","j",3,"c",3
"279","3.19.2020","third","Glennview","175","j",1,"c",2
"280","1.17.2020","first","Paddlebridge","loha32","j",1,"c",1
"281","1.17.2020","first","Paddlebridge","glorybe29","j",1,"c",1
"282","1.17.2020","first","Paddlebridge","champne25","j",1,"c",2
"283","1.17.2020","first","Paddlebridge","germ1140","j",3,"c",3
"284","1.17.2020","first","Paddlebridge","padfoot21","j",2,"c",1
"285","1.17.2020","first","Paddlebridge","fajita12","j",1,"c",NA
"286","1.17.2020","first","Paddlebridge","gronk22","j",1,"c",1
"287","1.17.2020","first","Paddlebridge","kyra35","j",1,"c",1
"288","1.17.2020","first","Paddlebridge","kwikmix36","j",1,"c",1
"289","1.17.2020","first","Paddlebridge","annabelle27","j",1,"c",2
"290","1.17.2020","first","Paddlebridge","stamina391","j",2,"c",2
"291","1.17.2020","first","Paddlebridge","fitzi13","j",3,"c",4
"292","1.17.2020","first","Paddlebridge","ferrari28","j",3,"c",2
"293","1.17.2020","first","Paddlebridge","minerva34","j",2,"c",2
"294","1.17.2020","first","Paddlebridge","octavia42","j",1,"c",1
"295","1.17.2020","first","Paddlebridge","gif9","j",2,"c",2
"296","1.17.2020","first","Paddlebridge","likely30","j",2,"c",1
"297","1.17.2020","first","Paddlebridge","chapstick1","j",1,"c",1
"298","1.17.2020","first","Paddlebridge","farrent31","j",1,"c",1
"299","1.17.2020","first","Paddlebridge","laura558","j",1,"c",1
"300","1.17.2020","first","Paddlebridge","sam19","j",2,"c",1
"301","1.17.2020","first","Paddlebridge","lalune33","j",1,"c",2
"302","1.17.2020","first","Paddlebridge","shania291","j",1,"c",1
"303","1.17.2020","first","Paddlebridge","shiela375","j",1,"c",1
"304","1.17.2020","first","Paddlebridge","guana362","j",1,"c",1
"305","1.17.2020","first","Paddlebridge","swallow377","j",2,"c",2
"306","1.17.2020","first","Paddlebridge","saige313","j",1,"c",1
"307","1.17.2020","first","Paddlebridge","sapphire338","j",3,"c",4
"308","1.17.2020","first","Paddlebridge","scrapie278","j",2,"c",2
"309","1.17.2020","first","Paddlebridge","gift379","j",1,"c",1
"310","1.17.2020","first","Paddlebridge","marney382","j",2,"c",2
"311","1.17.2020","first","Paddlebridge","farrah363","j",1,"c",1
"312","1.17.2020","first","Paddlebridge","annabeth2","j",1,"c",1
"313","1.17.2020","first","Paddlebridge","simply314","j",1,"c",1
"314","1.17.2020","first","Paddlebridge","vida6","j",1,"c",1
"315","2.21.2020","second","Paddlebridge","germ1140","m",3,"c",2
"316","2.21.2020","second","Paddlebridge","glorybe29","m",2,"c",2
"317","2.21.2020","second","Paddlebridge","fajita12","m",2,"c",2
"318","2.21.2020","second","Paddlebridge","gronk22","m",1,"c",1
"319","2.21.2020","second","Paddlebridge","annabelle27","m",4,"c",4
"320","2.21.2020","second","Paddlebridge","kwikmix36","m",2,"c",2
"321","2.21.2020","second","Paddlebridge","loha32","m",1,"c",1
"322","2.21.2020","second","Paddlebridge","champne25","m",2,"c",2
"323","2.21.2020","second","Paddlebridge","farrent31","m",3,"c",3
"324","2.21.2020","second","Paddlebridge","kyra35","m",4,"c",4
"325","2.21.2020","second","Paddlebridge","stamina391","m",1,"c",2
"326","2.21.2020","second","Paddlebridge","fitzi13","m",2,"c",2
"327","2.21.2020","second","Paddlebridge","minerva34","m",2,"c",2
"328","2.21.2020","second","Paddlebridge","gif9","m",2,"c",2
"329","2.21.2020","second","Paddlebridge","ferrari28","m",4,"c",4
"330","2.21.2020","second","Paddlebridge","octavia42","m",2,"c",2
"331","2.21.2020","second","Paddlebridge","laura558","m",1,"c",1
"332","2.21.2020","second","Paddlebridge","likely30","m",2,"c",2
"333","2.21.2020","second","Paddlebridge","sam19","m",3,"c",3
"334","2.21.2020","second","Paddlebridge","vida6","m",2,"c",2
"335","2.21.2020","second","Paddlebridge","lalune33","m",3,"c",2
"336","2.21.2020","second","Paddlebridge","marney382","m",2,"c",2
"337","2.21.2020","second","Paddlebridge","shiela375","m",1,"c",1
"338","2.21.2020","second","Paddlebridge","sapphire338","m",2,"c",3
"339","2.21.2020","second","Paddlebridge","shania291","m",2,"c",2
"340","2.21.2020","second","Paddlebridge","guana362","m",1,"c",1
"341","2.21.2020","second","Paddlebridge","scrapie278","m",4,"c",4
"342","2.21.2020","second","Paddlebridge","gift379","m",1,"c",1
"343","2.21.2020","second","Paddlebridge","swallow377","m",2,"c",3
"344","2.21.2020","second","Paddlebridge","chapstick1","m",1,"c",1
"345","2.21.2020","second","Paddlebridge","simply314","m",3,"c",2
"346","2.21.2020","second","Paddlebridge","padfoot21","m",1,"c",1
"347","2.21.2020","second","Paddlebridge","saige313","m",2,"c",2
"348","2.21.2020","second","Paddlebridge","annabeth2","m",2,"c",2
"349","2.21.2020","second","Paddlebridge","farrah363","m",2,"c",2
"350","3.20.2020","third","Paddlebridge","germ1140","j",1,"c",1
"351","3.20.2020","third","Paddlebridge","padfoot21","j",1,"c",1
"352","3.20.2020","third","Paddlebridge","champne25","j",2,"c",1
"353","3.20.2020","third","Paddlebridge","loha32","j",1,"c",1
"354","3.20.2020","third","Paddlebridge","glorybe29","j",3,"c",2
"355","3.20.2020","third","Paddlebridge","fajita12","j",2,"c",2
"356","3.20.2020","third","Paddlebridge","gronk22","j",2,"c",2
"357","3.20.2020","third","Paddlebridge","annabelle27","j",2,"c",2
"358","3.20.2020","third","Paddlebridge","kwikmix36","j",1,"c",2
"359","3.20.2020","third","Paddlebridge","minerva34","j",1,"c",1
"360","3.20.2020","third","Paddlebridge","octavia42","j",1,"c",1
"361","3.20.2020","third","Paddlebridge","laura558","j",2,"c",2
"362","3.20.2020","third","Paddlebridge","stamina391","j",1,"c",1
"363","3.20.2020","third","Paddlebridge","kyra35","j",1,"c",2
"364","3.20.2020","third","Paddlebridge","farrent31","j",1,"c",1
"365","3.20.2020","third","Paddlebridge","fitzi13","j",1,"c",1
"366","3.20.2020","third","Paddlebridge","ferrari28","j",3,"c",3
"367","3.20.2020","third","Paddlebridge","gif9","j",2,"c",2
"368","3.20.2020","third","Paddlebridge","sam19","j",2,"c",2
"369","3.20.2020","third","Paddlebridge","lalune33","j",2,"c",1
"370","3.20.2020","third","Paddlebridge","sapphire338","j",4,"c",4
"371","3.20.2020","third","Paddlebridge","likely30","j",1,"c",2
"372","3.20.2020","third","Paddlebridge","vida6","j",1,"c",2
"373","3.20.2020","third","Paddlebridge","shiela375","j",1,"c",1
"374","3.20.2020","third","Paddlebridge","marney382","j",2,"c",2
"375","3.20.2020","third","Paddlebridge","shania291","j",1,"c",1
"376","3.20.2020","third","Paddlebridge","guana362","j",1,"c",1
"377","3.20.2020","third","Paddlebridge","gift379","j",1,"c",1
"378","3.20.2020","third","Paddlebridge","swallow377","j",1,"c",2
"379","3.20.2020","third","Paddlebridge","chapstick1","j",1,"c",1
"380","3.20.2020","third","Paddlebridge","simply314","j",3,"c",3
"381","3.20.2020","third","Paddlebridge","scrapie278","j",1,"c",1
"382","3.20.2020","third","Paddlebridge","saige313","j",1,"c",1
"383","3.20.2020","third","Paddlebridge","farrah363","j",1,"c",1
"384","3.20.2020","third","Paddlebridge","annabeth2","j",2,"c",2
"385","12.19.2019","first","Lynd","freddie",NA,NA,NA,NA
"386","12.19.2019","first","Lynd","cheese",NA,NA,NA,NA
"387","12.19.2019","first","Lynd","life",NA,NA,NA,NA
"388","12.19.2019","first","Lynd","ambrosia",NA,NA,NA,NA
"389","12.19.2019","first","Lynd","klondike",NA,NA,NA,NA
"390","12.19.2019","first","Lynd","webster",NA,NA,NA,NA
"391","12.19.2019","first","Lynd","mustache",NA,NA,NA,NA
"392","12.19.2019","first","Lynd","kodiak",NA,NA,NA,NA
"393","12.19.2019","first","Lynd","chaloopa",NA,NA,NA,NA
"394","12.19.2019","first","Lynd","licorice",NA,NA,NA,NA
"395","12.19.2019","first","Lynd","jitterbug",NA,NA,NA,NA
"396","12.19.2019","first","Lynd","lilac",NA,NA,NA,NA
"397","12.19.2019","first","Lynd","kowabunga",NA,NA,NA,NA
"398","12.19.2019","first","Lynd","zoe",NA,NA,NA,NA
"399","12.19.2019","first","Lynd","amarillo",NA,NA,NA,NA
"400","12.19.2019","first","Lynd","luxurytax",NA,NA,NA,NA
"401","12.19.2019","first","Lynd","atlantic",NA,NA,NA,NA
"402","12.19.2019","first","Lynd","ladyfinger",NA,NA,NA,NA
"403","12.19.2019","first","Lynd","chartreuse",NA,NA,NA,NA
"404","12.19.2019","first","Lynd","lovage",NA,NA,NA,NA
"405","12.19.2019","first","Lynd","darla",NA,NA,NA,NA
"406","12.19.2019","first","Lynd","madge",NA,NA,NA,NA
"407","12.19.2019","first","Lynd","chive",NA,NA,NA,NA
"408","12.19.2019","first","Lynd","fresno",NA,NA,NA,NA
"409","12.19.2019","first","Lynd","wmca",NA,NA,NA,NA
"410","12.19.2019","first","Lynd","moonwalk",NA,NA,NA,NA
"411","12.19.2019","first","Lynd","krone",NA,NA,NA,NA
"412","12.19.2019","first","Lynd","leap",NA,NA,NA,NA
"413","12.19.2019","first","Lynd","lop",NA,NA,NA,NA
"414","12.19.2019","first","Lynd","khakibeige",NA,NA,NA,NA
"415","12.19.2019","first","Lynd","minigolf",NA,NA,NA,NA
"416","12.19.2019","first","Lynd","lioness",NA,NA,NA,NA
"417","12.19.2019","first","Lynd","willy",NA,NA,NA,NA
"418","12.19.2019","first","Lynd","zsazsa",NA,NA,NA,NA
"419","12.19.2019","first","Lynd","martina",NA,NA,NA,NA
"420","12.19.2019","first","Lynd","diamond",NA,NA,NA,NA
"421","12.19.2019","first","Lynd","laugh",NA,NA,NA,NA
"422","1.29.2020","second","Lynd","kodiak",NA,NA,NA,NA
"423","1.30.2020","second","Lynd","ambrosia",NA,NA,NA,NA
"424","1.30.2020","second","Lynd","lovage",NA,NA,NA,NA
"425","1.30.2020","second","Lynd","luxurytax",NA,NA,NA,NA
"426","1.30.2020","second","Lynd","klondike",NA,NA,NA,NA
"427","1.30.2020","second","Lynd","life",NA,NA,NA,NA
"428","1.30.2020","second","Lynd","mustache",NA,NA,NA,NA
"429","1.30.2020","second","Lynd","faith",NA,NA,NA,NA
"430","1.30.2020","second","Lynd","ladyfinger",NA,NA,NA,NA
"431","1.30.2020","second","Lynd","zsazsa",NA,NA,NA,NA
