date,visit,farm,order,cow_id,quarter,path_1,path1_imi,path_2,path2_imi,path_3,path3_imi,path_4,path4_imi,quarter_code,isolate_1,Pathogen_group,NAS_species,path_1_maldi_final_id,fix_1,isolate_2,path_2_maldi_final_id,fix_2,isolate_3,path_3_maldi_final_id,fix_3,isolate_4,path_4_maldi_final_id,fix_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,imi_series,hygiene_scorer_1,hygiene_1,hygiene_scorer_2,hygiene_2,cc_1,cc_2,cc_3,scc,scc_div_100k,ls,contam,contam_comment
2.19.2020,second,glennview,35,198,LH,cns,yes2,,,,,,,2,gv097,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,m,1,c,1,NA,NA,NA,66000,0.66,2.40053793,,
2.26.2020,third,bj,14,739,LH,cns,yes2,,,,,,,2,bj064,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,m,4,c,4,NA,NA,NA,66000,0.66,2.40053793,,
1.29.2020,second,bj,9,716,LH,cns,yes2,,,,,,,2,bj037,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,j,2,c,1,NA,NA,NA,67000,0.67,2.422233001,,
3.3.2020,third,butterworks,20,manzana,RH,cns,yes2,,,,,,,2,bw139,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,n,4,c,4,NA,NA,NA,67000,0.67,2.422233001,,
2.26.2020,third,bj,26,761,LH,cns,yes2,,,,,,,2,bj076,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,m,4,c,4,NA,NA,NA,70000,0.7,2.485426827,,
12.19.2019,first,lynd,27,krone,RH,cns,yes2,,,,,,,2,lf033,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,71000,0.71,2.50589093,,
3.5.2020,third,lynd,28,lop,LH,cns,yes2,,,,,,,2,lf121,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,71000,0.71,2.50589093,,
3.5.2020,third,lynd,14,licorice,RH,cns,yes2,,,,,,,2,lf105,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,73000,0.73,2.545968369,,
1.30.2020,second,lynd,14,kowabunga,LF,cns,yes2,,,,,,,2,lf063,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,74000,0.74,2.565597176,,
3.5.2020,third,lynd,23,life,LF,cns,yes2,,,,,,,2,lf115,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,74000,0.74,2.565597176,,
12.17.2019,first,bj,10,720,RH,cns,yes2,,,,,,,2,bj011,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,j,3,c,2,NA,NA,NA,74000,0.74,2.565597176,,
2.28.2020,third,swallowdale,17,cambric,LH,cns,yes2,,,,,,,2,sw108,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,76000,0.76,2.604071324,,
2.14.2020,second,oughtabe,33,tiktoe,LH,cns,yes2,,,,,,,2,ob097,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,t,2,c,3,NA,NA,NA,77000,0.77,2.622930351,,
3.20.2020,third,paddlebridge,24,shiela375,RH,cns,yes2,,,,,,,2,pb083,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,j,1,c,1,NA,NA,NA,78000,0.78,2.641546029,,
3.5.2020,third,lynd,29,lordwalk,RF,cns,yes2,,,,,,,2,lf122,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,78000,0.78,2.641546029,,
2.19.2020,second,glennview,32,199,RH,cns,yes2,,,,,,,2,gv092,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,m,1,c,2,NA,NA,NA,79000,0.79,2.659924558,,
3.5.2020,third,lynd,26,ladyfinger,RH,cns,yes2,,,,,,,2,lf119,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,81000,0.81,2.695993813,,
3.5.2020,third,lynd,27,luxurytax,LF,cns,yes2,,,,,,,2,lf120,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,81000,0.81,2.695993813,,
1.29.2020,second,bj,27,761,LH,cns,yes2,,,,,,,2,bj047,CNS,S. chromogenes,staphylococcus chromogenes,yes_from_sa_to_cns,,,,,,,,NA,NA,,,,,no,,yes,j,3,c,3,NA,NA,NA,81000,0.81,2.695993813,,
1.30.2020,second,lynd,9,ladyfinger,RH,cns,yes2,,,,,,,2,lf058,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,82000,0.82,2.713695815,,
1.30.2020,second,lynd,5,klondike,RF,cns,yes2,cns,other18,,,,,2,lf051,CNS,S. chromogenes,staphylococcus chromogenes,,lf052,staphylococcus chromogenes,,,,,,NA,NA,,,,,tbd,,yes,NA,NA,NA,NA,NA,NA,NA,83000,0.83,2.731183242,,
1.22.2020,second,swallowdale,32,pledge,RH,cns,yes2,,,,,,,2,sw088,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,j,1,NA,NA,NA,NA,NA,84000,0.84,2.748461233,,
1.30.2020,second,lynd,4,luxurytax,LF,cns,yes2,,,,,,,2,lf050,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,85000,0.85,2.765534746,,
2.26.2020,third,bj,11,716,LH,cns,yes1,,,,,,,1,bj059,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,,m,1,c,2,NA,NA,NA,85000,0.85,2.765534746,,
2.19.2020,second,glennview,33,70,LF,cns,yes2,,,,,,,2,gv095,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,m,2,c,2,NA,NA,NA,86000,0.86,2.782408565,,
3.3.2020,third,butterworks,29,petunia,LH,cns,yes1,,,,,,,1,bw152,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,n,3,c,2,NA,NA,NA,87000,0.87,2.799087306,,
1.30.2020,second,lynd,18,krone,LF,cns,yes1,,,,,,,1,lf069,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,88000,0.88,2.815575429,,
1.30.2020,second,lynd,18,krone,RF,cns,yes1,,,,,,,1,lf071,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,89000,0.89,2.831877241,,
3.5.2020,third,lynd,10,ambrosia,LH,cns,yes2,,,,,,,2,lf101,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,91000,0.91,2.86393845,,
3.5.2020,third,lynd,22,lovage,LF,cns,yes2,,,,,,,2,lf113,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,94000,0.94,2.910732662,,
1.30.2020,second,lynd,16,chaloopa,RF,cns,yes2,,,,,,,2,lf068,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,96000,0.96,2.941106311,,
2.4.2020,second,butterworks,27,petunia,LH,cns,yes2,,,,,,,2,bw099,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,t,1,c,1,NA,NA,NA,99000,0.99,2.98550043,,
2.14.2020,second,oughtabe,36,applepie,RH,cns,yes2,,,,,,,2,ob105,CNS,S. chromogenes,staphylococcus chromogenes,yes_from_strep_to_cns,,,,,,,,NA,NA,,,,,no,,yes,t,3,c,3,NA,NA,NA,99000,0.99,2.98550043,,
2.28.2020,third,swallowdale,6,dorian,LH,cns,yes2,,,,,,,2,sw097,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,100000,1,3,,
3.12.2020,third,oughtabe,10,goody,LH,cns,yes2,,,,,,,2,ob125,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,j,3,c,3,NA,NA,NA,100000,1,3,,
1.30.2020,second,lynd,2,ambrosia,LH,cns,yes2,,,,,,,2,lf047,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,110000,1.1,3.137503524,,
2.14.2020,second,oughtabe,33,tiktoe,RF,cns,yes2,,,,,,,2,ob100,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,t,2,c,3,NA,NA,NA,110000,1.1,3.137503524,,
3.12.2020,third,oughtabe,5,kit,LH,cns,yes2,cns,other18,,,,,2,ob112,CNS,S. chromogenes,staphylococcus chromogenes,,ob168,,,,,,,NA,NA,,,,,tbd,,yes,j,2,c,2,NA,NA,NA,120000,1.2,3.263034406,,
2.28.2020,third,swallowdale,5,paige,LH,cns,yes2,,,,,,,2,sw095,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,120000,1.2,3.263034406,,
2.28.2020,third,swallowdale,5,paige,RH,cns,yes2,,,,,,,2,sw096,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,120000,1.2,3.263034406,,
3.19.2020,third,glennview,2,199,RH,cns,yes2,,,,,,,2,gv102,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,j,3,c,3,NA,NA,NA,120000,1.2,3.263034406,,
3.19.2020,third,glennview,10,42,LF,cns,yes2,,,,,,,2,gv117,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,j,1,c,2,NA,NA,NA,120000,1.2,3.263034406,,
1.30.2020,second,lynd,21,jitterbug,RH,cns,yes2,,,,,,,2,lf075,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,120000,1.2,3.263034406,,
3.5.2020,third,lynd,15,krone,LF,cns,yes2,,,,,,,2,lf107,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,120000,1.2,3.263034406,,
2.4.2020,second,butterworks,16,hawthorn,RH,cns,yes2,,,,,,,2,bw085,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,t,2,c,2,NA,NA,NA,120000,1.2,3.263034406,,
2.19.2020,second,glennview,31,192,RF,cns,yes2,,,,,,,2,gv090,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,m,2,c,3,NA,NA,NA,130000,1.3,3.378511623,,
3.19.2020,third,glennview,6,173,RH,cns,yes1,,,,,,,1,gv110,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,j,4,c,4,NA,NA,NA,130000,1.3,3.378511623,,
3.20.2020,third,paddlebridge,28,gift379,LF,cns,yes2,,,,,,,2,pb091,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,j,1,c,1,NA,NA,NA,130000,1.3,3.378511623,,
3.5.2020,third,lynd,3,chaloopa,LF,cns,yes2,,,,,,,2,lf093,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,130000,1.3,3.378511623,,
3.5.2020,third,lynd,15,krone,RF,cns,yes2,,,,,,,2,lf109,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,130000,1.3,3.378511623,,
3.5.2020,third,lynd,35,lioness,RH,cns,yes2,,,,,,,2,lf124,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,130000,1.3,3.378511623,,
1.22.2020,second,swallowdale,32,pledge,RF,cns,yes2,,,,,,,2,sw089,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,j,1,NA,NA,NA,NA,NA,140000,1.4,3.485426827,,
2.28.2020,third,swallowdale,13,amber,LH,cns,yes2,,,,,,,2,sw105,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,140000,1.4,3.485426827,,
1.30.2020,second,lynd,19,webster,RF,cns,yes2,,,,,,,2,lf072,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,140000,1.4,3.485426827,,
2.4.2020,second,butterworks,34,chipotle,RF,cns,yes2,,,,,,,2,bw113,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,t,2,c,1,NA,NA,NA,140000,1.4,3.485426827,,
2.28.2020,third,swallowdale,22,denise,LF,cns,yes2,,,,,,,2,sw119,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,150000,1.5,3.584962501,,
3.3.2020,third,butterworks,19,marjoram,RH,cns,yes2,,,,,,,2,bw136,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,n,1,c,1,NA,NA,NA,150000,1.5,3.584962501,,
3.3.2020,third,butterworks,26,melissa,LH,cns,yes2,,,,,,,2,bw148,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,n,3,c,2,NA,NA,NA,150000,1.5,3.584962501,,
12.17.2019,first,bj,4,716,LH,cns,yes2,,,,,,,2,bj003,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,j,4,c,3,NA,NA,NA,152000,1.52,3.604071324,,
1.30.2020,second,lynd,18,krone,RH,cns,yes2,,,,,,,2,lf070,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,160000,1.6,3.678071905,,
3.5.2020,third,lynd,5,kowabunga,RF,cns,yes2,,,,,,,2,lf097,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,160000,1.6,3.678071905,,
12.19.2019,first,lynd,35,martina,LH,cns,yes2,,,,,,,2,lf040,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,168000,1.68,3.748461233,,
3.5.2020,third,lynd,1,jitterbug,RH,cns,yes1,,,,,,,1,lf090,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,170000,1.7,3.765534746,,
2.26.2020,third,bj,21,733,LF,cns,yes2,,,,,,,2,bj072,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,m,1,c,1,NA,NA,NA,170000,1.7,3.765534746,,
2.28.2020,third,swallowdale,11,pledge,RH,cns,yes2,,,,,,,2,sw102,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,180000,1.8,3.847996907,,
2.28.2020,third,swallowdale,21,marshmellow,LF,cns,yes2,,,,,,,2,sw116,CNS,S. chromogenes,staphylococcus chromogenes,,,,,,,,,NA,NA,,,,,no,,yes,NA,NA,NA,NA,NA,NA,NA,180000,1.8,3.847996907,,
