"","X","cow_id","quarter","first_date","first_visit","first_farm","first_order","first_path_1","first_path1_IMI","first_path_2","first_path2_IMI","first_path_3","first_path3_IMI","first_path_4","first_path4_IMI","first_quarter_code","first_isolate_1","first_isolate_2","first_isolate_3","first_isolate_4","first_clinical","first_blind","first_teatinj","first_pstmilking","first_mixed_inf_series","first_dup_not_collected","first_IMI_series","first_hygiene_1","first_hygiene_2","first_cc_1","first_cc_2","first_cc_3","first_scc","first_contam","first_contam_comment","first_uniqueID","second_date","second_visit","second_farm","second_order","second_path_1","second_path1_IMI","second_path_2","second_path2_IMI","second_path_3","second_path3_IMI","second_path_4","second_path4_IMI","second_quarter_code","second_isolate_1","second_isolate_2","second_isolate_3","second_isolate_4","second_clinical","second_blind","second_teatinj","second_pstmilking","second_mixed_inf_series","second_dup_not_collected","second_IMI_series","second_hygiene_1","second_hygiene_2","second_cc_1","second_cc_2","second_cc_3","second_scc","second_contam","second_contam_comment","second_uniqueID","third_date","third_visit","third_farm","third_order","third_path_1","third_path1_IMI","third_path_2","third_path2_IMI","third_path_3","third_path3_IMI","third_path_4","third_path4_IMI","third_quarter_code","third_isolate_1","third_isolate_2","third_isolate_3","third_isolate_4","third_clinical","third_blind","third_teatinj","third_pstmilking","third_mixed_inf_series","third_dup_not_collected","third_IMI_series","third_hygiene_1","third_hygiene_2","third_cc_1","third_cc_2","third_cc_3","third_scc","third_contam","third_contam_comment","third_uniqueID","fourth_date","fourth_visit","fourth_farm","fourth_order","fourth_path_1","fourth_path1_IMI","fourth_path_2","fourth_path2_IMI","fourth_path_3","fourth_path3_IMI","fourth_path_4","fourth_path4_IMI","fourth_quarter_code","fourth_isolate_1","fourth_isolate_2","fourth_isolate_3","fourth_isolate_4","fourth_clinical","fourth_blind","fourth_teatinj","fourth_pstmilking","fourth_mixed_inf_series","fourth_dup_not_collected","fourth_IMI_series","fourth_hygiene_1","fourth_hygiene_2","fourth_cc_1","fourth_cc_2","fourth_cc_3","fourth_scc","fourth_contam","fourth_contam_comment","fourth_uniqueID"
"15",239,"585_BJ","RF","12.17.2019","first","BJ","2","cns","yes1","","","","","","","1","BJ002","","","","","","","","no","","yes","NA","NA","NA","NA","NA","697000","","","585_BJ_RF","1.29.2020","second","BJ","3","cns","yes2","","","","","","","2","BJ029","","","","","","","","no","","yes","NA","NA","NA","NA","NA","940000","","","585_BJ_RF","2.26.2020","third","BJ","6","cns","yes2","","","","","","","2","BJ056","","","","","","","","no","","yes","NA","NA","NA","NA","NA","1500000","","","585_BJ_RF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","585_BJ_RF_fourth"
"16",286,"693_BJ","LH","12.17.2019","first","BJ","12","","","","","","","","","3","","","","","","","","","","","","NA","NA","NA","NA","NA","6000","","","693_BJ_LH","1.29.2020","second","BJ","13","cns","yes2","","","","","","","2","BJ042","","","","","","","","no","","yes","NA","NA","NA","NA","NA","8000","","","693_BJ_LH","2.26.2020","third","BJ","15","cns","yes1","","","","","","","1","BJ065","","","","","","","","no","","yes","NA","NA","NA","NA","NA","13000","","","693_BJ_LH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","693_BJ_LH_fourth"
"17",297,"70_Glennview","LF","1.14.2020","first","Glennview","25","","","","","","","","","7","","","","","","","","","","","","NA","NA","NA","NA","NA","6000","","","70_Glennview_LF","2.19.2020","second","Glennview","33","cns","yes2","","","","","","","2","GV095","","","","","","","","no","","yes","NA","NA","NA","NA","NA","86000","","","70_Glennview_LF","3.19.2020","third","Glennview","28","cns","","","","","","","","2","GV150","","","","","","","","no","","yes","NA","NA","NA","NA","NA","62000","","","70_Glennview_LF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","70_Glennview_LF_fourth"
"18",314,"716_BJ","LH","12.17.2019","first","BJ","4","cns","yes2","","","","","","","2","BJ003","","","","","","","","no","","yes","NA","NA","NA","NA","NA","152000","","","716_BJ_LH","1.29.2020","second","BJ","9","cns","yes2","","","","","","","2","BJ037","","","","","","","","no","","yes","NA","NA","NA","NA","NA","67000","","","716_BJ_LH","2.26.2020","third","BJ","11","cns","yes1","","","","","","","1","BJ059","","","","","","","","no","","yes","NA","NA","NA","NA","NA","85000","","","716_BJ_LH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","716_BJ_LH_fourth"
"19",318,"719_BJ","LH","12.17.2019","first","BJ","7","cns","yes2","","","","","","","2","BJ008","","","","","","","","no","","yes","NA","NA","NA","NA","NA","244000","","","719_BJ_LH","1.29.2020","second","BJ","8","cns","yes1","","","","","","","1","BJ035","","","","","","","","no","","yes","NA","NA","NA","NA","NA","120000","","","719_BJ_LH","2.26.2020","third","BJ","13","","","","","","","","","3","","","","","","","","","","","","NA","NA","NA","NA","NA","130000","","","719_BJ_LH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","719_BJ_LH_fourth"
"20",320,"719_BJ","RH","12.17.2019","first","BJ","7","","","","","","","","","15","","","","","","","","","","","","NA","NA","NA","NA","NA","18000","","","719_BJ_RH","1.29.2020","second","BJ","8","gramneg.noncoli","yes2","","","","","","","2","BJ036","","","","","","","","no","","yes","NA","NA","NA","NA","NA","42000","","","719_BJ_RH","2.26.2020","third","BJ","13","cns","yes2","","","","","","","2","BJ063","","","","","","","","no","","yes","NA","NA","NA","NA","NA","270000","","","719_BJ_RH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","719_BJ_RH_fourth"
"21",324,"720_BJ","RH","12.17.2019","first","BJ","10","cns","yes2","","","","","","","2","BJ011","","","","","","","","no","","yes","NA","NA","NA","NA","NA","74000","","","720_BJ_RH","1.29.2020","second","BJ","7","cns","yes2","","","","","","","2","BJ033","","","","","","","","no","","yes","NA","NA","NA","NA","NA","64000","","","720_BJ_RH","2.26.2020","third","BJ","12","cns","yes2","","","","","","","2","BJ061","","","","","","","","no","","yes","NA","NA","NA","NA","NA","230000","","","720_BJ_RH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","720_BJ_RH_fourth"
"22",337,"731_BJ","LF","12.17.2019","first","BJ","19","cns","yes2","","","","","","","2","BJ016","","","","","","","","no","","yes","NA","NA","NA","NA","NA","1739000","","","731_BJ_LF","1.29.2020","second","BJ","15","cns","yes2","","","","","","","2","BJ043","","","","","","","","no","","yes","NA","NA","NA","NA","NA","140000","","","731_BJ_LF","2.26.2020","third","BJ","16","cns","yes2","","","","","","","2","BJ069","","","","","","","","no","","yes","NA","NA","NA","NA","NA","2000000","","","731_BJ_LF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","731_BJ_LF_fourth"
"23",341,"733_BJ","LF","12.17.2019","first","BJ","15","cns","yes2","","","","","","","2","BJ012","","","","","","","","no","","yes","NA","NA","NA","NA","NA","286000","","","733_BJ_LF","1.29.2020","second","BJ","19","cns","yes2","","","","","","","2","BJ044","","","","","","","","no","","yes","NA","NA","NA","NA","NA","42000","","","733_BJ_LF","2.26.2020","third","BJ","21","cns","yes2","","","","","","","2","BJ072","","","","","","","","no","","yes","NA","NA","NA","NA","NA","170000","","","733_BJ_LF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","733_BJ_LF_fourth"
"24",350,"739_BJ","LH","12.17.2019","first","BJ","8","cns","yes2","","","","","","","2","BJ009","","","","","","","","no","","yes","NA","NA","NA","NA","NA","36000","","","739_BJ_LH","1.29.2020","second","BJ","11","cns","yes2","","","","","","","2","BJ040","","","","","","","","no","","yes","NA","NA","NA","NA","NA","23000","","","739_BJ_LH","2.26.2020","third","BJ","14","cns","yes2","","","","","","","2","BJ064","","","","","","","","no","","yes","NA","NA","NA","NA","NA","66000","","","739_BJ_LH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","739_BJ_LH_fourth"
"25",406,"761_BJ","LH","12.17.2019","first","BJ","30","cns","yes2","cns","other18","","","","","2","BJ018","BJ026","","","","","","","tbd","","yes","NA","NA","NA","NA","NA","246000","","","761_BJ_LH","1.29.2020","second","BJ","27","sa","yes2","","","","","","","2","BJ047","","","","","","","","no","","yes","NA","NA","NA","NA","NA","81000","","","761_BJ_LH","2.26.2020","third","BJ","26","cns","yes2","","","","","","","2","BJ076","","","","","","","","no","","yes","NA","NA","NA","NA","NA","70000","","","761_BJ_LH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","761_BJ_LH_fourth"
"26",487,"alf_OughtaBe","RF","1.3.2020","first","OughtaBe","24","cns","yes2","","","","","","","2","OB033","","","","","","","","no","","yes","NA","NA","NA","NA","NA","450000","","","alf_OughtaBe_RF","2.14.2020","second","OughtaBe","24","cns","yes2","","","","","","","2","OB091","","","","","","","","no","","yes","NA","NA","NA","NA","NA","1000000","","","alf_OughtaBe_RF","3.12.2020","third","OughtaBe","22","cns","yes2","","","","","","","2","OB148","","","","","","","","no","","yes","NA","NA","NA","NA","NA","410000","","","alf_OughtaBe_RF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","alf_OughtaBe_RF_fourth"
"27",498,"aloha_OughtaBe","LH","1.3.2020","first","OughtaBe","4","cns","yes2","","","","","","","2","OB003","","","","","","","","no","","yes","NA","NA","NA","NA","NA","550000","","","aloha_OughtaBe_LH","2.14.2020","second","OughtaBe","2","cns","yes2","cns","other18","","","","","2","OB056","OB058","","","","","","","tbd","","yes","NA","NA","NA","NA","NA","2600000","","","aloha_OughtaBe_LH","3.12.2020","third","OughtaBe","2","cns","yes2","","","","","","","2","OB111","","","","","","","","no","","yes","NA","NA","NA","NA","NA","130000","","","aloha_OughtaBe_LH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","aloha_OughtaBe_LH_fourth"
"28",503,"amarillo_Lynd","RF","12.19.2019","first","Lynd","15","cns","yes2","","","","","","","2","LF021","","","","","","","","no","","yes","NA","NA","NA","NA","NA","88000","","","amarillo_Lynd_RF","1.30.2020","second","Lynd","12","cns","yes2","","","","","","","2","LF062","","","","","","","","no","","yes","NA","NA","NA","NA","NA","310000","","","amarillo_Lynd_RF","3.5.2020","third","Lynd","13","cns","yes2","","","","","","","2","LF104","","","","","","","","no","","yes","NA","NA","NA","NA","NA","150000","","","amarillo_Lynd_RF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","amarillo_Lynd_RF_fourth"
"29",506,"amber_Swallowdale","LH","12.13.2019","first","Swallowdale","26","cns","yes2","","","","","","","2","SW041","","","","","","","","no","","yes","NA","NA","NA","NA","NA","57000","","","amber_Swallowdale_LH","1.22.2020","second","Swallowdale","11","cns","yes2","","","","","","","2","SW071","","","","","","","","no","","yes","NA","NA","NA","NA","NA","110000","","","amber_Swallowdale_LH","2.28.2020","third","Swallowdale","13","cns","yes2","","","","","","","2","SW105","","","","","","","","no","","yes","NA","NA","NA","NA","NA","140000","","","amber_Swallowdale_LH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","amber_Swallowdale_LH_fourth"
"30",510,"ambrosia_Lynd","LH","12.19.2019","first","Lynd","4","cns","yes2","","","","","","","2","LF005","","","","","","","","no","","yes","NA","NA","NA","NA","NA","71000","","","ambrosia_Lynd_LH","1.30.2020","second","Lynd","2","cns","yes2","","","","","","","2","LF047","","","","","","","","no","","yes","NA","NA","NA","NA","NA","110000","","","ambrosia_Lynd_LH","3.5.2020","third","Lynd","10","cns","yes2","","","","","","","2","LF101","","","","","","","","no","","yes","NA","NA","NA","NA","NA","91000","","","ambrosia_Lynd_LH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ambrosia_Lynd_LH_fourth"
"31",525,"applepie_OughtaBe","LF","1.3.2020","first","OughtaBe","34","cns","yes2","","","","","","","2","OB047","","","","","","","","no","","yes","NA","NA","NA","NA","NA","810000","","","applepie_OughtaBe_LF","2.14.2020","second","OughtaBe","36","cns","yes2","","","","","","","2","OB104","","","","","","","","no","","yes","NA","NA","NA","NA","NA","630000","","","applepie_OughtaBe_LF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","applepie_OughtaBe_LF_fourth"
"32",528,"applepie_OughtaBe","RH","1.3.2020","first","OughtaBe","34","cns","yes2","","","","","","","2","OB048","","","","","","","","no","","yes","NA","NA","NA","NA","NA","130000","","","applepie_OughtaBe_RH","2.14.2020","second","OughtaBe","36","strep","yes2","","","","","","","2","OB105","","","","","","","","no","","yes","NA","NA","NA","NA","NA","99000","","","applepie_OughtaBe_RH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","applepie_OughtaBe_RH_fourth"
