"","date","visit","farm","order","cow_id","quarter","path_1","path1_IMI","path_2","path2_IMI","path_3","path3_IMI","path_4","path4_IMI","quarter_code","isolate_1","isolate_2","isolate_3","isolate_4","clinical","blind","teatinj","pstmilking","mixed_inf_series","dup_not_collected","IMI_series","hygiene_1","hygiene_2","cc_1","cc_2","cc_3","scc","contam","contam_comment","uniqueID","scc_div_100k","ls","ls_no_neg","scc_200k","cause_path"
"26","12.12.2019","first","StonyPond",4,"lish","RH","cns","yes27","cns","yes27","","",NA,NA,27,"SP004","SP005","",NA,"",NA,"","","yes",NA,"yes","NA","NA","NA","NA","NA",23000,NA,NA,"lish_RH_first",0.23,0.879705766,0.8797,"no","other"
"27","1.22.2020","second","Swallowdale",34,"jewel","RH","cns","yes27","cns","other35","","",NA,NA,35,"SW090","SW092","",NA,"",NA,"","","tbd",NA,"yes","NA","NA","NA","NA","NA",24000,NA,NA,"jewel_RH_second",0.24,0.941106311,0.9411,"no","cns"
"28","12.12.2019","first","StonyPond",4,"lish","LH","cns","yes27","cns","yes27","","",NA,NA,27,"SP006","SP007","",NA,"",NA,"","","yes",NA,"yes","NA","NA","NA","NA","NA",26000,NA,NA,"lish_LH_first",0.26,1.056583528,1.0566,"no","other"
"29","3.3.2020","third","Butterworks",12,"snowball","RF","cns","yes1","cns","other18","","",NA,NA,2,"BW130","BW131","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",34000,NA,NA,"snowball_RF_third",0.34,1.443606651,1.4436,"no","cns"
"30","12.13.2019","first","Swallowdale",11,"paige","RH","cns","yes2","cns","other18","","",NA,NA,2,"SW017","SW018","",NA,"",NA,"","","tbd",NA,"yes","NA","NA","NA","NA","NA",55000,NA,NA,"paige_RH_first",0.55,2.137503524,2.1375,"no","cns"
"31","1.10.2020","second","StonyPond",23,"chelsea","LH","cns","yes1","cns","no5","","",NA,NA,1,"SP050","SP051","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",68000,NA,NA,"chelsea_LH_second",0.68,2.443606651,2.4436,"no","cns"
"32","2.12.2020","second","vonTrapp",5,"gloria","RF","cns","yes2","cns","other18","","",NA,NA,2,"VT039","VT040","",NA,"",NA,"","","tbd",NA,"yes","NA","NA","NA","NA","NA",69000,NA,NA,"gloria_RF_second",0.69,2.464668267,2.4647,"no","cns"
"33","3.19.2020","third","Glennview",26,"27","RH","cns","yes27","cns","yes27","","",NA,NA,27,"GV144","GV145","",NA,"",NA,"","","tbd",NA,"yes","NA","NA","NA","NA","NA",70000,NA,NA,"27_RH_third",0.7,2.485426827,2.4854,"no","other"
"34","3.12.2020","third","OughtaBe",20,"karla","LH","cns","yes27","cns","yes27","","",NA,NA,27,"OB141","OB142","",NA,"",NA,"","","tbd",NA,"yes","NA","NA","NA","NA","NA",70000,NA,NA,"karla_LH_third",0.7,2.485426827,2.4854,"no","other"
"35","2.12.2020","second","vonTrapp",5,"gloria","LF","cns","yes2","cns","other18","","",NA,NA,2,"VT037","VT038","",NA,"",NA,"","","tbd",NA,"yes","NA","NA","NA","NA","NA",80000,NA,NA,"gloria_LF_second",0.8,2.678071905,2.6781,"no","cns"
"36","1.30.2020","second","Lynd",5,"klondike","RF","cns","yes2","cns","other18","","",NA,NA,2,"LF051","LF052","",NA,"",NA,"","","tbd",NA,"yes","NA","NA","NA","NA","NA",83000,NA,NA,"klondike_RF_second",0.83,2.731183242,2.7312,"no","cns"
"37","1.6.2020","first","vonTrapp",2,"gloria","LF","cns","yes2","cns","other18","","",NA,NA,2,"VT001","VT002","",NA,"",NA,"","","tbd",NA,"yes","NA","NA","NA","NA","NA",85000,NA,NA,"gloria_LF_first",0.85,2.765534746,2.7655,"no","cns"
"38","3.12.2020","third","OughtaBe",5,"kit","LH","cns","yes2","cns","other18","","",NA,NA,2,"OB112","OB168","",NA,"",NA,"","","tbd",NA,"yes","NA","NA","NA","NA","NA",120000,NA,NA,"kit_LH_third",1.2,3.263034406,3.263,"no","cns"
"39","3.16.2020","fourth","Choiniere",4,"16","LF","cns","yes2","cns","other18","","",NA,NA,2,"CF191","CF192","",NA,"",NA,"","","tbd",NA,"yes","NA","NA","NA","NA","NA",190000,NA,NA,"16_LF_fourth",1.9,3.925999419,3.926,"no","cns"
"40","3.3.2020","third","Butterworks",8,"pearl","LF","cns","yes2","cns","other18","","",NA,NA,2,"BW123","BW124","",NA,"",NA,"","","tbd",NA,"yes","NA","NA","NA","NA","NA",210000,NA,NA,"pearl_LF_third",2.1,4.070389328,4.0704,"yes","cns"
"41","1.17.2020","first","Paddlebridge",8,"kyra35","RH","cns","yes2","cns","other18","","",NA,NA,2,"PB002","PB003","",NA,"",NA,"","","tbd",NA,"yes","NA","NA","NA","NA","NA",210000,NA,NA,"kyra35_RH_first",2.1,4.070389328,4.0704,"yes","cns"
"42","3.19.2020","third","Glennview",8,"165","RF","cns","yes2","cns","other18","","",NA,NA,2,"GV115","GV160","",NA,"",NA,"","","tbd",NA,"yes","NA","NA","NA","NA","NA",240000,NA,NA,"165_RF_third",2.4,4.263034406,4.263,"yes","cns"
"43","12.17.2019","first","BJ",30,"761","LH","cns","yes2","cns","other18","","",NA,NA,2,"BJ018","BJ026","",NA,"",NA,"","","tbd",NA,"yes","NA","NA","NA","NA","NA",246000,NA,NA,"761_LH_first",2.46,4.298658316,4.2987,"yes","cns"
"44","1.30.2020","second","Lynd",20,"willy","RF","cns","yes2","cns","other18","","",NA,NA,2,"LF073","LF074","",NA,"",NA,"","","tbd",NA,"yes","NA","NA","NA","NA","NA",250000,NA,NA,"willy_RF_second",2.5,4.321928095,4.3219,"yes","cns"
"45","2.19.2020","second","Glennview",9,"79","RH","cns","yes27","cns","yes27","","",NA,NA,27,"GV062","GV063","",NA,"",NA,"","","tbd",NA,"yes","NA","NA","NA","NA","NA",270000,NA,NA,"79_RH_second",2.7,4.432959407,4.433,"yes","other"
"46","1.3.2020","first","OughtaBe",9,"goody","LH","cns","yes2","cns","other35","","",NA,NA,35,"OB006","OB007","",NA,"",NA,"","","tbd",NA,"yes","NA","NA","NA","NA","NA",300000,NA,NA,"goody_LH_first",3,4.584962501,4.585,"yes","cns"
"47","3.12.2020","third","OughtaBe",10,"goody","LF","cns","yes27","cns","yes27","","",NA,NA,27,"OB126","OB127","",NA,"",NA,"","","tbd",NA,"yes","NA","NA","NA","NA","NA",300000,NA,NA,"goody_LF_third",3,4.584962501,4.585,"yes","other"
"48","2.14.2020","second","OughtaBe",18,"karla","LH","cns","yes27","cns","yes27","","",NA,NA,27,"OB078","OB079","",NA,"",NA,"","","yes",NA,"yes","NA","NA","NA","NA","NA",310000,NA,NA,"karla_LH_second",3.1,4.632268215,4.6323,"yes","other"
"49","3.16.2020","fourth","Choiniere",25,"87","LF","cns","yes27","cns","yes27","","",NA,NA,27,"CF225","CF226","",NA,"",NA,"","yes","tbd",NA,"yes","NA","NA","NA","NA","NA",400000,NA,NA,"87_LF_fourth",4,5,5,"yes","other"
"50","2.4.2020","second","Butterworks",12,"snowball","RH","cns","yes2","cns","other18","","",NA,NA,2,"BW082","BW083","",NA,"",NA,"","","tbd",NA,"yes","NA","NA","NA","NA","NA",480000,NA,NA,"snowball_RH_second",4.8,5.263034406,5.263,"yes","cns"
"51","1.3.2020","first","OughtaBe",19,"karla","RH","cns","yes2","cns","other18","","",NA,NA,2,"OB026","OB027","",NA,"",NA,"","","tbd",NA,"yes","NA","NA","NA","NA","NA",570000,NA,NA,"karla_RH_first",5.7,5.510961919,5.511,"yes","cns"
"52","1.10.2020","second","StonyPond",31,"alexis","RH","cns","yes1","cns","no5","","",NA,NA,1,"SP070","SP071","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",760000,NA,NA,"alexis_RH_second",7.6,5.925999419,5.926,"yes","cns"
"53","2.14.2020","second","OughtaBe",2,"aloha","LH","cns","yes2","cns","other18","","",NA,NA,2,"OB056","OB058","",NA,"",NA,"","","tbd",NA,"yes","NA","NA","NA","NA","NA",2600000,NA,NA,"aloha_LH_second",26,7.700439718,7.7004,"yes","cns"
"54","3.19.2020","third","Glennview",15,"128","RH","cns","yes1","corynebac","no5","","",NA,NA,1,"GV131","GV132","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",12000,NA,NA,"128_RH_third",0.12,-0.058893689,0,"no","cns"
"55","2.28.2020","third","Swallowdale",20,"sondra","RF","cns","yes27","corynebac","yes27","","",NA,NA,27,"SW113","SW114","",NA,"",NA,"","","yes",NA,"yes","NA","NA","NA","NA","NA",94000,NA,NA,"sondra_RF_third",0.94,2.910732662,2.9107,"no","other"
"56","1.2.2020","first","Butterworks",4,"muffin","LH","cns","yes27","corynebac","yes27","","",NA,NA,27,"BW003","BW004","",NA,"",NA,"","","yes",NA,"yes","NA","NA","NA","NA","NA",250000,NA,NA,"muffin_LH_first",2.5,4.321928095,4.3219,"yes","other"
"57","12.11.2019","first","Choiniere",6,"40","RH","cns","yes27","corynebac","yes27","","",NA,NA,27,"CF015","CF080","",NA,"",NA,"","","yes",NA,"yes","NA","NA","NA","NA","NA",253000,NA,NA,"40_RH_first",2.53,4.339137385,4.3391,"yes","other"
"58","3.12.2020","third","OughtaBe",6,"korny","LH","cns","yes27","strep","yes27","","",NA,NA,27,"OB113","OB114","",NA,"",NA,"","","yes",NA,"yes","NA","NA","NA","NA","NA",20000,NA,NA,"korny_LH_third",0.2,0.678071905,0.6781,"no","other"
"59","3.12.2020","third","OughtaBe",20,"karla","RH","cns","yes27","strep","yes27","","",NA,NA,27,"OB143","OB144","",NA,"",NA,"","","yes",NA,"yes","NA","NA","NA","NA","NA",29000,NA,NA,"karla_RH_third",0.29,1.214124805,1.2141,"no","other"
"60","3.20.2020","third","Paddlebridge",25,"marney382","LH","cns","yes27","strep","yes27","","",NA,NA,27,"PB084","PB085","",NA,"",NA,"","","yes",NA,"yes","NA","NA","NA","NA","NA",37000,NA,NA,"marney382_LH_third",0.37,1.565597176,1.5656,"no","other"
"61","1.22.2020","second","Swallowdale",6,"goldie","RH","cns","yes27","strep","yes27","","",NA,NA,27,"SW061","SW062","",NA,"",NA,"","","yes",NA,"yes","NA","NA","NA","NA","NA",58000,NA,NA,"goldie_RH_second",0.58,2.214124805,2.2141,"no","other"
"62","3.20.2020","third","Paddlebridge",22,"likely30","LH","cns","yes27","strep","yes27","","",NA,NA,27,"PB077","PB078","",NA,"",NA,"","","yes",NA,"yes","NA","NA","NA","NA","NA",59000,NA,NA,"likely30_LH_third",0.59,2.23878686,2.2388,"no","other"
"63","12.13.2019","first","Swallowdale",15,"goldie","LH","cns","yes27","strep","yes27","","",NA,NA,27,"SW027","SW028","",NA,"",NA,"","","yes",NA,"yes","NA","NA","NA","NA","NA",66000,NA,NA,"goldie_LH_first",0.66,2.40053793,2.4005,"no","other"
"64","3.20.2020","third","Paddlebridge",25,"marney382","RH","cns","yes27","strep","yes27","","",NA,NA,27,"PB087","PB088","",NA,"",NA,"","","yes",NA,"yes","NA","NA","NA","NA","NA",72000,NA,NA,"marney382_RH_third",0.72,2.526068812,2.5261,"no","other"
"65","12.13.2019","first","Swallowdale",15,"goldie","RH","cns","yes27","strep","yes27","","",NA,NA,27,"SW031","SW030","",NA,"",NA,"","","yes",NA,"yes","NA","NA","NA","NA","NA",73000,NA,NA,"goldie_RH_first",0.73,2.545968369,2.546,"no","other"
"66","1.22.2020","second","Swallowdale",6,"goldie","LH","cns","yes27","strep","yes27","","",NA,NA,27,"SW058","SW059","",NA,"",NA,"","","yes",NA,"yes","NA","NA","NA","NA","NA",110000,NA,NA,"goldie_LH_second",1.1,3.137503524,3.1375,"no","other"
"67","1.22.2020","second","Swallowdale",8,"marshmellow","RH","cns","yes27","strep","yes27","","",NA,NA,27,"SW067","SW068","",NA,"",NA,"","","yes",NA,"yes","NA","NA","NA","NA","NA",110000,NA,NA,"marshmellow_RH_second",1.1,3.137503524,3.1375,"no","other"
"68","12.13.2019","first","Swallowdale",27,"marshmellow","LH","cns","yes27","strep","yes27","","",NA,NA,27,"SW042","SW043","",NA,"",NA,"","","yes",NA,"yes","NA","NA","NA","NA","NA",120000,NA,NA,"marshmellow_LH_first",1.2,3.263034406,3.263,"no","other"
"69","1.3.2020","first","OughtaBe",10,"korny","LH","cns","yes27","strep","yes27","","",NA,NA,27,"OB009","OB010","",NA,"",NA,"","","yes",NA,"yes","NA","NA","NA","NA","NA",120000,NA,NA,"korny_LH_first",1.2,3.263034406,3.263,"no","other"
"70","12.13.2019","first","Swallowdale",12,"denver","LF","cns","yes27","strep","yes27","","",NA,NA,27,"SW019","SW020","",NA,"",NA,"","","yes",NA,"yes","NA","NA","NA","NA","NA",153000,NA,NA,"denver_LF_first",1.53,3.613531653,3.6135,"no","other"
"71","12.11.2019","first","Choiniere",34,"30","LF","cns","yes27","strep","yes27","","",NA,NA,27,"CF062","CF063","",NA,"",NA,"","","yes",NA,"yes","NA","NA","NA","NA","NA",158000,NA,NA,"30_LF_first",1.58,3.659924558,3.6599,"no","other"
"72","1.22.2020","second","Swallowdale",29,"denver","LF","cns","yes27","strep","yes27","","",NA,NA,27,"SW082","SW083","",NA,"",NA,"","","yes",NA,"yes","NA","NA","NA","NA","NA",160000,NA,NA,"denver_LF_second",1.6,3.678071905,3.6781,"no","other"
"73","3.20.2020","third","Paddlebridge",22,"likely30","LF","cns","yes27","strep","yes27","","",NA,NA,27,"PB079","PB080","",NA,"",NA,"","","yes",NA,"yes","NA","NA","NA","NA","NA",180000,NA,NA,"likely30_LF_third",1.8,3.847996907,3.848,"no","other"
"74","1.14.2020","first","Glennview",7,"54","RH","cns","yes27","strep","yes27","","",NA,NA,27,"GV014","GV015","",NA,"",NA,"","","yes",NA,"yes","NA","NA","NA","NA","NA",190000,NA,NA,"54_RH_first",1.9,3.925999419,3.926,"no","other"
"75","2.17.2020","third","Choiniere",32,"30","LF","cns","yes27","strep","yes27","","",NA,NA,27,"CF178","CF179","",NA,"",NA,"","","yes",NA,"yes","NA","NA","NA","NA","NA",250000,NA,NA,"30_LF_third",2.5,4.321928095,4.3219,"yes","other"
"76","1.21.2020","second","Choiniere",16,"7","LH","cns","yes27","strep","yes27","","",NA,NA,27,"CF101","CF102","",NA,"",NA,"yes","","yes",NA,"yes","NA","NA","NA","NA","NA",510000,NA,NA,"7_LH_second",5.1,5.350497247,5.3505,"yes","other"
"77","3.12.2020","third","OughtaBe",25,"tiktac","RH","cns","yes27","strep","yes27","","",NA,NA,27,"OB153","OB154","",NA,"",NA,"","","yes",NA,"yes","NA","NA","NA","NA","NA",530000,NA,NA,"tiktac_RH_third",5.3,5.40599236,5.406,"yes","other"
"78","1.22.2020","second","Swallowdale",5,"29","RF","cns","yes27","strep","yes27","","",NA,NA,27,"SW055","SW056","",NA,"",NA,"","","yes",NA,"yes","NA","NA","NA","NA","NA",760000,NA,NA,"29_RF_second",7.6,5.925999419,5.926,"yes","other"
"79","1.3.2020","first","OughtaBe",34,"applepie","RF","cns","yes27","strep","yes27","","",NA,NA,27,"OB049","OB050","",NA,"",NA,"","","yes",NA,"yes","NA","NA","NA","NA","NA",1200000,NA,NA,"applepie_RF_first",12,6.584962501,6.585,"yes","other"
"80","3.3.2020","third","Butterworks",1,"masala","RF","cns","yes2","","","","",NA,NA,2,"BW115","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",0,NA,NA,"masala_RF_third",0.00001,-13.60964047,0,"no","cns"
"81","3.3.2020","third","Butterworks",2,"muffin","LH","cns","yes2","","","","",NA,NA,2,"BW116","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",0,NA,NA,"muffin_LH_third",0.00001,-13.60964047,0,"no","cns"
"82","3.3.2020","third","Butterworks",2,"muffin","RH","cns","yes2","","","","",NA,NA,2,"BW118","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",0,NA,NA,"muffin_RH_third",0.00001,-13.60964047,0,"no","cns"
"83","12.13.2019","first","Swallowdale",7,"skyler","RF","cns","yes1","","","","",NA,NA,1,"SW009","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",0,NA,NA,"skyler_RF_first",0.00001,-13.60964047,0,"no","cns"
"84","1.21.2020","second","Choiniere",16,"7","RH","cns","yes1","","","","",NA,NA,1,"CF103","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",2000,NA,NA,"7_RH_second",0.02,-2.64385619,0,"no","cns"
"85","3.16.2020","fourth","Choiniere",30,"7","RF","cns","yes2","","","","",NA,NA,2,"CF232","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",2000,NA,NA,"7_RF_fourth",0.02,-2.64385619,0,"no","cns"
"86","3.12.2020","third","OughtaBe",11,"izzie","LF","cns","yes2","","","","",NA,NA,2,"OB128","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",2000,NA,NA,"izzie_LF_third",0.02,-2.64385619,0,"no","cns"
"87","3.20.2020","third","Paddlebridge",30,"chapstick1","RH","cns","yes1","","","","",NA,NA,1,"PB095","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",2000,NA,NA,"chapstick1_RH_third",0.02,-2.64385619,0,"no","cns"
"88","1.6.2020","first","vonTrapp",32,"imogene","LH","cns","yes1","","","","",NA,NA,1,"VT029","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",2000,NA,NA,"imogene_LH_first",0.02,-2.64385619,0,"no","cns"
"89","3.10.2020","third","vonTrapp",22,"iris","LH","cns","yes1","","","","",NA,NA,1,"VT090","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",2000,NA,NA,"iris_LH_third",0.02,-2.64385619,0,"no","cns"
"90","3.10.2020","third","vonTrapp",34,"hosana","LF","cns","yes2","","","","",NA,NA,2,"VT098","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",2000,NA,NA,"hosana_LF_third",0.02,-2.64385619,0,"no","cns"
"91","1.2.2020","first","Butterworks",20,"love","RF","cns","yes2","","","","",NA,NA,2,"BW035","","",NA,"",NA,"","","",NA,"yes","NA","NA","NA","NA","NA",3000,NA,NA,"love_RF_first",0.03,-2.058893689,0,"no","cns"
"92","12.13.2019","first","Swallowdale",9,"diane","RF","cns","yes1","","","","",NA,NA,1,"SW013","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",3000,NA,NA,"diane_RF_first",0.03,-2.058893689,0,"no","cns"
"93","2.28.2020","third","Swallowdale",35,"skyler","LH","cns","yes1","","","","",NA,NA,1,"SW134","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",3000,NA,NA,"skyler_LH_third",0.03,-2.058893689,0,"no","cns"
"94","3.12.2020","third","OughtaBe",9,"ruger","RF","cns","yes2","","","","",NA,NA,2,"OB124","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",3000,NA,NA,"ruger_RF_third",0.03,-2.058893689,0,"no","cns"
"95","1.17.2020","first","Paddlebridge",27,"saige313","LH","","","","","","",NA,NA,5,"PB018","","",NA,"",NA,"","","",NA,"no","NA","NA","NA","NA","NA",3000,NA,NA,"saige313_LH_first",0.03,-2.058893689,0,"no",""
"96","3.20.2020","third","Paddlebridge",4,"loha32","RH","cns","yes2","","","","",NA,NA,2,"PB064","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",3000,NA,NA,"loha32_RH_third",0.03,-2.058893689,0,"no","cns"
"97","12.17.2019","first","BJ",1,"757","LF","cns","yes1","","","","",NA,NA,1,"BJ001","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",3000,NA,NA,"757_LF_first",0.03,-2.058893689,0,"no","cns"
"98","3.3.2020","third","Butterworks",3,"strawberry","RH","cns","yes2","","","","",NA,NA,2,"BW119","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",4000,NA,NA,"strawberry_RH_third",0.04,-1.64385619,0,"no","cns"
"99","2.19.2020","second","Glennview",29,"204","LH","cns","yes2","","","","",NA,NA,2,"GV088","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",4000,NA,NA,"204_LH_second",0.04,-1.64385619,0,"no","cns"
"100","2.19.2020","second","Glennview",35,"198","LF","cns","yes2","","","","",NA,NA,2,"GV098","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",4000,NA,NA,"198_LF_second",0.04,-1.64385619,0,"no","cns"
"101","3.12.2020","third","OughtaBe",14,"peonie","RH","cns","yes2","","","","",NA,NA,2,"OB131","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",4000,NA,NA,"peonie_RH_third",0.04,-1.64385619,0,"no","cns"
"102","2.26.2020","third","BJ",4,"754","LF","cns","yes2","","","","",NA,NA,2,"BJ053","","",NA,"",NA,"","","no",NA,"yes","NA","NA","NA","NA","NA",4000,NA,NA,"754_LF_third",0.04,-1.64385619,0,"no","cns"
