"","cow_id","quarter","first_date","first_visit","first_farm","first_order","first_path_1","first_path1_IMI","first_path_2","first_path2_IMI","first_path_3","first_path3_IMI","first_path_4","first_path4_IMI","first_quarter_code","first_isolate_1","first_isolate_2","first_isolate_3","first_isolate_4","first_clinical","first_blind","first_teatinj","first_pstmilking","first_mixed_inf_series","first_dup_not_collected","first_IMI_series","first_hygiene_1","first_hygiene_2","first_cc_1","first_cc_2","first_cc_3","first_scc","first_scc_200k","first_contam","first_contam_comment","first_uniqueID","second_date","second_visit","second_farm","second_order","second_path_1","second_path1_IMI","second_path_2","second_path2_IMI","second_path_3","second_path3_IMI","second_path_4","second_path4_IMI","second_quarter_code","second_isolate_1","second_isolate_2","second_isolate_3","second_isolate_4","second_clinical","second_blind","second_teatinj","second_pstmilking","second_mixed_inf_series","second_dup_not_collected","second_IMI_series","second_hygiene_1","second_hygiene_2","second_cc_1","second_cc_2","second_cc_3","second_scc","second_scc_200k","second_contam","second_contam_comment","second_uniqueID","third_date","third_visit","third_farm","third_order","third_path_1","third_path1_IMI","third_path_2","third_path2_IMI","third_path_3","third_path3_IMI","third_path_4","third_path4_IMI","third_quarter_code","third_isolate_1","third_isolate_2","third_isolate_3","third_isolate_4","third_clinical","third_blind","third_teatinj","third_pstmilking","third_mixed_inf_series","third_dup_not_collected","third_IMI_series","third_hygiene_1","third_hygiene_2","third_cc_1","third_cc_2","third_cc_3","third_scc","third_scc_200k","third_contam","third_contam_comment","third_uniqueID","fourth_date","fourth_visit","fourth_farm","fourth_order","fourth_path_1","fourth_path1_IMI","fourth_path_2","fourth_path2_IMI","fourth_path_3","fourth_path3_IMI","fourth_path_4","fourth_path4_IMI","fourth_quarter_code","fourth_isolate_1","fourth_isolate_2","fourth_isolate_3","fourth_isolate_4","fourth_clinical","fourth_blind","fourth_teatinj","fourth_pstmilking","fourth_mixed_inf_series","fourth_dup_not_collected","fourth_IMI_series","fourth_hygiene_1","fourth_hygiene_2","fourth_cc_1","fourth_cc_2","fourth_cc_3","fourth_scc","fourth_scc_200k","fourth_contam","fourth_contam_comment","fourth_uniqueID"
"12","tiktoe_OughtaBe","RH","1.3.2020","first","OughtaBe","32","strep","yes2","","","","","","","2","OB043","","","","","","","","no","","yes","NA","NA","NA","NA","NA",1200000,"yes","","","tiktoe_OughtaBe_RH","2.14.2020","second","OughtaBe","33","strep","yes2","","","","","","","2","OB099","","","","","","","","no","","yes","NA","NA","NA","NA","NA",130000,"no","","","tiktoe_OughtaBe_RH","3.12.2020","third","OughtaBe","33","strep","yes2","","","","","","","2","OB162","","","","","","","","no","","yes","NA","NA","NA","NA","NA",25000,"no","","","tiktoe_OughtaBe_RH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","tiktoe_OughtaBe_RH_fourth"
"13","lucha_vonTrapp","LF","1.6.2020","first","vonTrapp","35","cns","yes2","","","","","","","2","VT030","","","","","","","","no","","yes","NA","NA","NA","NA","NA",170000,"no","","","lucha_vonTrapp_LF","2.12.2020","second","vonTrapp","28","cns","yes2","","","","","","","2","VT058","","","","","","","","no","","yes","NA","NA","NA","NA","NA",58000,"no","","","lucha_vonTrapp_LF","3.10.2020","third","vonTrapp","35","cns","yes2","","","","","","","2","VT099","","","","","","","","no","","yes","NA","NA","NA","NA","NA",26000,"no","","","lucha_vonTrapp_LF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","lucha_vonTrapp_LF_fourth"
"14","farrent31_Paddlebridge","RH","1.17.2020","first","Paddlebridge","19","cns","yes2","","","","","","","2","PB014","","","","","","","","no","","yes","NA","NA","NA","NA","NA",36000,"no","","","farrent31_Paddlebridge_RH","2.21.2020","second","Paddlebridge","9","cns","yes2","","","","","","","2","PB031","","","","","","","","no","","yes","NA","NA","NA","NA","NA",50000,"no","","","farrent31_Paddlebridge_RH","3.20.2020","third","Paddlebridge","15","cns","yes2","","","","","","","2","PB072","","","","","","","","no","","yes","NA","NA","NA","NA","NA",28000,"no","","","farrent31_Paddlebridge_RH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","farrent31_Paddlebridge_RH_fourth"
"15","rabbit_OughtaBe","RF","1.3.2020","first","OughtaBe","7","cns","yes2","","","","","","","2","OB004","","","","","","","","no","","yes","NA","NA","NA","NA","NA",3e+05,"yes","","","rabbit_OughtaBe_RF","2.14.2020","second","OughtaBe","5","cns","yes1","","","","","","","1","OB061","","","","","","","","no","","yes","NA","NA","NA","NA","NA",3e+05,"yes","","","rabbit_OughtaBe_RF","3.12.2020","third","OughtaBe","1","cns","yes2","","","","","","","2","OB110","","","","","","","","no","","yes","NA","NA","NA","NA","NA",28000,"no","","","rabbit_OughtaBe_RF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","rabbit_OughtaBe_RF_fourth"
"16","cb5_BJ","LF","12.17.2019","first","BJ","5","cns","yes2","","","","","","","2","BJ005","","","","","","","","no","","yes","NA","NA","NA","NA","NA",15000,"no","","","cb5_BJ_LF","1.29.2020","second","BJ","6","cns","yes2","","","","","","","2","BJ031","","","","","","","","no","","yes","NA","NA","NA","NA","NA",35000,"no","","","cb5_BJ_LF","2.26.2020","third","BJ","5","cns","yes2","","","","","","","2","BJ055","","","","","","","","no","","yes","NA","NA","NA","NA","NA",29000,"no","","","cb5_BJ_LF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","cb5_BJ_LF_fourth"
"17","kandykorn_OughtaBe","LF","1.3.2020","first","OughtaBe","16","cns","yes1","","","","","","","1","OB022","","","","","","","","no","","yes","NA","NA","NA","NA","NA",43000,"no","","","kandykorn_OughtaBe_LF","2.14.2020","second","OughtaBe","14","cns","yes2","","","","","","","2","OB071","","","","","","","","no","","yes","NA","NA","NA","NA","NA",110000,"no","","","kandykorn_OughtaBe_LF","3.12.2020","third","OughtaBe","16","cns","yes2","","","","","","","2","OB134","","","","","","","","no","","yes","NA","NA","NA","NA","NA",29000,"no","","","kandykorn_OughtaBe_LF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","kandykorn_OughtaBe_LF_fourth"
"18","karla_OughtaBe","RH","1.3.2020","first","OughtaBe","19","cns","yes2","cns","other18","","","","","2","OB026","OB027","","","","","","","tbd","","yes","NA","NA","NA","NA","NA",570000,"yes","","","karla_OughtaBe_RH","2.14.2020","second","OughtaBe","18","strep","yes27","cns","yes27","","","","","27","OB080","OB081","","","","","","","yes","","yes","NA","NA","NA","NA","NA",110000,"no","","","karla_OughtaBe_RH","3.12.2020","third","OughtaBe","20","cns","yes27","strep","yes27","","","","","27","OB143","OB144","","","","","","","yes","","yes","NA","NA","NA","NA","NA",29000,"no","","","karla_OughtaBe_RH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","karla_OughtaBe_RH_fourth"
"19","snowball_Butterworks","RF","1.2.2020","first","Butterworks","12","cns","yes2","","","","","","","2","BW013","","","","","","","","no","","yes","NA","NA","NA","NA","NA",160000,"no","","","snowball_Butterworks_RF","2.4.2020","second","Butterworks","12","cns","yes2","","","","","","","2","BW070","","","","","","","","no","","yes","NA","NA","NA","NA","NA",130000,"no","","","snowball_Butterworks_RF","3.3.2020","third","Butterworks","12","cns","yes1","cns","other18","","","","","2","BW130","BW131","","","","","","","no","","yes","NA","NA","NA","NA","NA",34000,"no","","","snowball_Butterworks_RF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","snowball_Butterworks_RF_fourth"
"20","lilac_Lynd","RH","12.19.2019","first","Lynd","12","cns","yes2","","","","","","","2","LF015","","","","","","","","no","","yes","NA","NA","NA","NA","NA",20000,"no","","","lilac_Lynd_RH","1.30.2020","second","Lynd","28","cns","yes2","","","","","","","2","LF079","","","","","","","","no","","yes","NA","NA","NA","NA","NA",21000,"no","","","lilac_Lynd_RH","3.5.2020","third","Lynd","17","cns","yes2","","","","","","","2","LF111","","","","","","","","no","","yes","NA","NA","NA","NA","NA",38000,"no","","","lilac_Lynd_RH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","lilac_Lynd_RH_fourth"
"21","racer_OughtaBe","RF","1.3.2020","first","OughtaBe","11","cns","yes2","","","","","","","2","OB015","","","","","","","","no","","yes","NA","NA","NA","NA","NA",250000,"yes","","","racer_OughtaBe_RF","2.14.2020","second","OughtaBe","13","cns","yes2","","","","","","","2","OB070","","","","","","","","no","","yes","NA","NA","NA","NA","NA",150000,"no","","","racer_OughtaBe_RF","3.12.2020","third","OughtaBe","13","cns","yes2","","","","","","","2","OB130","","","","","","","","no","","yes","NA","NA","NA","NA","NA",40000,"no","","","racer_OughtaBe_RF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","racer_OughtaBe_RF_fourth"
"22","169_Glennview","RF","1.14.2020","first","Glennview","23","sa","yes2","","","","","","","2","GV033","","","","","","","","no","","yes","NA","NA","NA","NA","NA",44000,"no","","","169_Glennview_RF","2.19.2020","second","Glennview","27","sa","yes2","","","","","","","2","GV086","","","","","","","","no","","yes","NA","NA","NA","NA","NA",96000,"no","","","169_Glennview_RF","3.19.2020","third","Glennview","34","sa","yes2","","","","","","","2","GV156","","","","","","","","no","","yes","NA","NA","NA","NA","NA",42000,"no","","","169_Glennview_RF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","169_Glennview_RF_fourth"
"23","hawthorn_Butterworks","RH","1.2.2020","first","Butterworks","14","cns","yes2","","","","","","","2","BW015","","","","","","","","no","","yes","NA","NA","NA","NA","NA",99000,"no","","","hawthorn_Butterworks_RH","2.4.2020","second","Butterworks","16","cns","yes2","","","","","","","2","BW085","","","","","","","","no","","yes","NA","NA","NA","NA","NA",120000,"no","","","hawthorn_Butterworks_RH","3.3.2020","third","Butterworks","16","cns","yes1","","","","","","","1","BW133","","","","","","","","no","","yes","NA","NA","NA","NA","NA",43000,"no","","","hawthorn_Butterworks_RH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","hawthorn_Butterworks_RH_fourth"
"24","nebula_Butterworks","RH","1.2.2020","first","Butterworks","11","cns","yes2","","","","","","","2","BW011","","","","","","","","no","","yes","NA","NA","NA","NA","NA",290000,"yes","","","nebula_Butterworks_RH","2.4.2020","second","Butterworks","13","cns","yes2","","","","","","","2","BW084","","","","","","","","no","","yes","NA","NA","NA","NA","NA",460000,"yes","","","nebula_Butterworks_RH","3.3.2020","third","Butterworks","13","cns","yes2","","","","","","","2","BW132","","","","","","","","no","","yes","NA","NA","NA","NA","NA",44000,"no","","","nebula_Butterworks_RH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","nebula_Butterworks_RH_fourth"
"25","199_Glennview","LH","1.14.2020","first","Glennview","11","cns","yes2","","","","","","","2","GV023","","","","","","","","no","","yes","NA","NA","NA","NA","NA",120000,"no","","","199_Glennview_LH","2.19.2020","second","Glennview","32","cns","yes2","","","","","","","2","GV091","","","","","","","","no","","yes","NA","NA","NA","NA","NA",40000,"no","","","199_Glennview_LH","3.19.2020","third","Glennview","2","cns","yes2","","","","","","","2","GV101","","","","","","","","no","","yes","NA","NA","NA","NA","NA",46000,"no","","","199_Glennview_LH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","199_Glennview_LH_fourth"
"26","ursala_vonTrapp","LH","1.6.2020","first","vonTrapp","15","cns","yes2","","","","","","","2","VT016","","","","","","","","no","","yes","NA","NA","NA","NA","NA",29000,"no","","","ursala_vonTrapp_LH","2.12.2020","second","vonTrapp","22","cns","yes2","","","","","","","2","VT053","","","","","","","","no","","yes","NA","NA","NA","NA","NA",90000,"no","","","ursala_vonTrapp_LH","3.10.2020","third","vonTrapp","21","cns","yes2","","","","","","","2","VT089","","","","","","","","no","","yes","NA","NA","NA","NA","NA",48000,"no","","","ursala_vonTrapp_LH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","ursala_vonTrapp_LH_fourth"
"27","manzana_Butterworks","RF","1.2.2020","first","Butterworks","19","cns","yes2","","","","","","","2","BW032","","","","","","","","no","","yes","NA","NA","NA","NA","NA",43000,"no","","","manzana_Butterworks_RF","2.4.2020","second","Butterworks","20","cns","yes2","","","","","","","2","BW092","","","","","","","","no","","yes","NA","NA","NA","NA","NA",65000,"no","","","manzana_Butterworks_RF","3.3.2020","third","Butterworks","20","cns","yes2","","","","","","","2","BW140","","","","","","","","no","","yes","NA","NA","NA","NA","NA",49000,"no","","","manzana_Butterworks_RF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","manzana_Butterworks_RF_fourth"
"28","life_Lynd","LH","12.19.2019","first","Lynd","3","strep","yes1","","","","","","","1","LF002","","","","","","","","no","","yes","NA","NA","NA","NA","NA",80000,"no","","","life_Lynd_LH","1.30.2020","second","Lynd","6","strep","yes2","","","","","","","2","LF053","","","","","","","","no","","yes","NA","NA","NA","NA","NA",51000,"no","","","life_Lynd_LH","3.5.2020","third","Lynd","23","strep","yes2","","","","","","","2","LF114","","","","","","","","no","","yes","NA","NA","NA","NA","NA",50000,"no","","","life_Lynd_LH","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","life_Lynd_LH_fourth"
"29","butterfly_OughtaBe","RF","1.3.2020","first","OughtaBe","18","cns","yes2","","","","","","","2","OB023","","","","","","","","no","","yes","NA","NA","NA","NA","NA",3e+05,"yes","","","butterfly_OughtaBe_RF","2.14.2020","second","OughtaBe","20","cns","yes2","","","","","","","2","OB084","","","","","","","","no","","yes","NA","NA","NA","NA","NA",240000,"yes","","","butterfly_OughtaBe_RF","3.12.2020","third","OughtaBe","15","cns","yes2","","","","","","","2","OB133","","","","","","","","no","","yes","NA","NA","NA","NA","NA",50000,"no","","","butterfly_OughtaBe_RF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","butterfly_OughtaBe_RF_fourth"
