date,visit,farm,order,cow_id,quarter,path_1,path1_IMI,path_2,path2_IMI,path_3,path3_IMI,path_4,path4_IMI,quarter_code,isolate_1,isolate_2,isolate_3,isolate_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,IMI_series,hygiene_1,hygiene_2,cc_1,cc_2,cc_3,scc,previous visit SCC,following visit SCC,previous test cow-level SCC,following test cow-level SCC,contam_comment,uniqueID
3.19.2020,third,Glennview,11,137,RH,corynebac,yes2,,,,,,,2,GV118,,,,,,,,no,,yes,NA,NA,NA,NA,NA,9000,,,,,,137_RH_third
3.19.2020,third,Glennview,13,93,LH,corynebac,yes27,cns,yes27,,,,,27,GV122,GV123,,,,,,,no,,yes,NA,NA,NA,NA,NA,26000,,,,,,93_LH_third
3.19.2020,third,Glennview,13,93,RH,strep,yes27,corynebac,yes27,,,,,27,GV125,GV126,,,,,,,no,,yes,NA,NA,NA,NA,NA,380000,,,,,,93_RH_third
3.19.2020,third,Glennview,15,128,RH,cns,yes1,corynebac,no5,,,,,1,GV131,GV132,,,,,,,no,,yes,NA,NA,NA,NA,NA,12000,,,,,,128_RH_third
3.19.2020,third,Glennview,19,185,RH,corynebac,yes2,,,,,,,2,GV135,,,,,,,,no,,yes,NA,NA,NA,NA,NA,18000,,,,,,185_RH_third
3.19.2020,third,Glennview,25,43,LF,corynebac,yes2,,,,,,,2,GV140,,,,,,,,no,,yes,NA,NA,NA,NA,NA,60000,,,,,,43_LF_third
3.19.2020,third,Glennview,30,188,LH,corynebac,yes1,,,,,,,1,GV153,,,,,,,,no,,yes,NA,NA,NA,NA,NA,9000,,,,,,188_LH_third
3.19.2020,third,Glennview,32,84,LH,corynebac,yes2,,,,,,,2,GV155,,,,,,,,no,,yes,NA,NA,NA,NA,NA,8000,,,,,,84_LH_third
1.3.2020,first,OughtaBe,14,peonie,RH,corynebac,yes27,strep,yes27,,,,,27,OB016,OB017,,,,,,,yes,,yes,NA,NA,NA,NA,NA,8000,,,,,,peonie_RH_first
1.3.2020,first,OughtaBe,15,jersey,LH,strep,yes27,corynebac,yes27,,,,,27,OB020,OB021,,,,,,,yes,,yes,NA,NA,NA,NA,NA,130000,,,,,,jersey_LH_first
1.3.2020,first,OughtaBe,29,penny,RF,corynebac,yes2,,,,,,,2,OB039,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,,,,penny_RF_first
2.14.2020,second,OughtaBe,4,teach,LF,corynebac,yes2,,,,,,,2,OB060,,,,,,,,no,,yes,NA,NA,NA,NA,NA,6000,,,,,,teach_LF_second
2.14.2020,second,OughtaBe,16,jersey,RH,strep,yes27,corynebac,yes27,,,,,27,OB075,OB076,,,,,,,yes,,yes,NA,NA,NA,NA,NA,61000,,,,,,jersey_RH_second
2.14.2020,second,OughtaBe,19,lemon,LH,corynebac,yes2,,,,,,,2,OB082,,,,,,,,no,,yes,NA,NA,NA,NA,NA,9000,,,,,,lemon_LH_second
2.14.2020,second,OughtaBe,19,lemon,RH,corynebac,yes2,,,,,,,2,OB083,,,,,,,,no,,yes,NA,NA,NA,NA,NA,10000,,,,,,lemon_RH_second
3.12.2020,third,OughtaBe,21,spice,RH,corynebac,yes2,,,,,,,2,OB146,,,,,,,,no,,yes,NA,NA,NA,NA,NA,12000,,,,,,spice_RH_third
3.12.2020,third,OughtaBe,21,spice,RF,corynebac,yes2,,,,,,,2,OB147,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3000,,,,,,spice_RF_third
2.21.2020,second,Paddlebridge,24,sapphire338,LF,corynebac,yes2,,,,,,,2,PB046,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3000,,,,,,sapphire338_LF_second
2.21.2020,second,Paddlebridge,25,shania291,LH,?,yes27,corynebac,yes27,,,,,27,PB048,PB049,,,,,,,yes,,yes,NA,NA,NA,NA,NA,17000,,,,,,shania291_LH_second
3.20.2020,third,Paddlebridge,3,champne25,RH,corynebac,yes2,,,,,,,2,PB063,,,,,,,,no,,yes,NA,NA,NA,NA,NA,0,,,,,,champne25_RH_third
3.20.2020,third,Paddlebridge,33,saige313,LH,corynebac,yes2,,,,,,,2,PB097,,,,,,,,no,,yes,NA,NA,NA,NA,NA,28000,,,,,,saige313_LH_third
12.17.2019,first,BJ,31,755,LH,corynebac,yes2,,,,,,,2,BJ020,,,,,,,,no,,yes,NA,NA,NA,NA,NA,8000,,,,,,755_LH_first
12.17.2019,first,BJ,32,664,RH,corynebac,yes2,,,,,,,2,BJ024,,,,,,,,no,,yes,NA,NA,NA,NA,NA,14000,,,,,,664_RH_first
12.17.2019,first,BJ,32,664,RF,corynebac,yes2,,,,,,,2,BJ025,,,,,,,,no,,yes,NA,NA,NA,NA,NA,5000,,,,,,664_RF_first
1.29.2020,second,BJ,9,716,RF,corynebac,yes1,,,,,,,1,BJ038,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,,,,716_RF_second
1.29.2020,second,BJ,10,670,RH,corynebac,yes2,,,,,,,2,BJ039,,,,,,,,no,,yes,NA,NA,NA,NA,NA,37000,,,,,,670_RH_second
1.29.2020,second,BJ,11,739,RH,corynebac,yes1,,,,,,,1,BJ041,,,,,,,,no,,yes,NA,NA,NA,NA,NA,13000,,,,,,739_RH_second
1.29.2020,second,BJ,29,722,LH,corynebac,yes2,,,,,,,2,BJ048,,,,,,,,no,,yes,NA,NA,NA,NA,NA,26000,,,,,,722_LH_second
1.29.2020,second,BJ,30,cb3,RF,corynebac,yes2,,,,,,,2,BJ050,,,,,,,,,,yes,NA,NA,NA,NA,NA,6000,,,,,,cb3_RF_second
2.26.2020,third,BJ,8,741,RH,corynebac,yes2,,,,,,,2,BJ058,,,,,,,,no,,yes,NA,NA,NA,NA,NA,36000,,,,,,741_RH_third
2.26.2020,third,BJ,15,693,RH,strep,yes27,corynebac,yes27,,,,,27,BJ067,BJ068,,,,,,,yes,,yes,NA,NA,NA,NA,NA,13000,,,,,,693_RH_third
2.12.2020,second,vonTrapp,6,matilda,RF,corynebac,other26,cns,other26,,,,,26,VT041,VT062,,,,,,,tbd,,yes,NA,NA,NA,NA,NA,43000,,,,,,matilda_RF_second
2.12.2020,second,vonTrapp,32,iris,RH,corynebac,yes2,,,,,,,2,VT061,,,,,,,,no,,yes,NA,NA,NA,NA,NA,12000,,,,,,iris_RH_second
3.10.2020,third,vonTrapp,1,vera,RF,corynebac,yes2,,,,,,,2,VT064,,,,,,,,no,,yes,NA,NA,NA,NA,NA,10000,,,,,,vera_RF_third
3.10.2020,third,vonTrapp,15,abigail,LF,cns,other26,corynebac,other26,,,,,26,VT081,VT105,,,,,,,tbd,,yes,NA,NA,NA,NA,NA,2.00E+05,,,,,,abigail_LF_third
3.5.2020,third,Lynd,2,wmca,RF,corynebac,yes2,,,,,,,2,LF091,,,,,,,,no,,yes,NA,NA,NA,NA,NA,38000,,,,,,wmca_RF_third
