,X1_2_3_4,X1_2,X2_3,X3_4,X1_2_3,X2_3_4,cow_id,quarter,,first_date,first_visit,first_farm,first_order,first_path_1,first_path1_IMI,first_path_2,first_path2_IMI,first_path_3,first_path3_IMI,first_path_4,first_path4_IMI,first_quarter_code,first_isolate_1,first_isolate_2,first_isolate_3,first_isolate_4,first_clinical,first_blind,first_teatinj,first_pstmilking,first_mixed_inf_series,first_dup_not_collected,first_IMI_series,first_hygiene_1,first_hygiene_2,first_cc_1,first_cc_2,first_cc_3,first_scc,first_scc_eq_above_200k,first_scc_eq_above_100k,first_contam,first_contam_comment,first_uniqueID,second_date,second_visit,second_farm,second_order,second_path_1,second_path1_IMI,second_path_2,second_path2_IMI,second_path_3,second_path3_IMI,second_path_4,second_path4_IMI,second_quarter_code,second_isolate_1,second_isolate_2,second_isolate_3,second_isolate_4,second_clinical,second_blind,second_teatinj,second_pstmilking,second_mixed_inf_series,second_dup_not_collected,second_IMI_series,second_hygiene_1,second_hygiene_2,second_cc_1,second_cc_2,second_cc_3,second_scc,second_scc_eq_above_200k,second_scc_eq_above_100k,second_contam,second_contam_comment,second_uniqueID,third_date,third_visit,third_farm,third_order,third_path_1,third_path1_IMI,third_path_2,third_path2_IMI,third_path_3,third_path3_IMI,third_path_4,third_path4_IMI,third_quarter_code,third_isolate_1,third_isolate_2,third_isolate_3,third_isolate_4,third_clinical,third_blind,third_teatinj,third_pstmilking,third_mixed_inf_series,third_dup_not_collected,third_IMI_series,third_hygiene_1,third_hygiene_2,third_cc_1,third_cc_2,third_cc_3,third_scc,third_contam,third_contam_comment,third_uniqueID,fourth_date,fourth_visit,fourth_farm,fourth_order,fourth_path_1,fourth_path1_IMI,fourth_path_2,fourth_path2_IMI,fourth_path_3,fourth_path3_IMI,fourth_path_4,fourth_path4_IMI,fourth_quarter_code,fourth_isolate_1,fourth_isolate_2,fourth_isolate_3,fourth_isolate_4,fourth_clinical,fourth_blind,fourth_teatinj,fourth_pstmilking,fourth_mixed_inf_series,fourth_dup_not_collected,fourth_IMI_series,fourth_hygiene_1,fourth_hygiene_2,fourth_cc_1,fourth_cc_2,fourth_cc_3,fourth_scc,fourth_contam,fourth_contam_comment,fourth_uniqueID
18,,y,,,,,octavia_StonyPond,RH,octavia_StonyPond_RH,12.12.2019,first,StonyPond,18,cns,yes2,,,,,,,2,SP021,,,,,,,,no,,yes,NA,NA,NA,NA,NA,79000,n,n,,,octavia_StonyPond_RH,1.10.2020,second,StonyPond,24,cns,yes2,,,NA,NA,NA,NA,2,SP062,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,220000,y,y,,,octavia_StonyPond_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,octavia_StonyPond_RH_fourth
26,,y,,,,,wynona_StonyPond,LF,wynona_StonyPond_LF,12.12.2019,first,StonyPond,17,cns,yes2,,,,,,,2,SP019,,,,,,,,no,,yes,NA,NA,NA,NA,NA,168000,n,y,,,wynona_StonyPond_LF,1.10.2020,second,StonyPond,4,cns,yes2,,,NA,NA,NA,NA,2,SP039,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,230000,y,y,,,wynona_StonyPond_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wynona_StonyPond_LF_fourth
33,,y,,,,,ginger_OughtaBe,RH,ginger_OughtaBe_RH,1.3.2020,first,OughtaBe,36,cns,yes2,,,,,,,2,OB053,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1400000,y,y,,,ginger_OughtaBe_RH,2.14.2020,second,OughtaBe,34,cns,yes2,,,NA,NA,NA,NA,2,OB101,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,230000,y,y,,,ginger_OughtaBe_RH,3.12.2020,third,OughtaBe,34,sa,other22,strep,other22,cns,other22,,,22,OB164,OB165,OB166,,,,,,,,no,NA,NA,NA,NA,NA,1700000,,,ginger_OughtaBe_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ginger_OughtaBe_RH_fourth
5,,y,,,,,jolene_Butterworks,RF,jolene_Butterworks_RF,1.2.2020,first,Butterworks,23,cns,yes2,,,,,,,2,BW043,,,,,,,,no,,yes,NA,NA,NA,NA,NA,180000,n,y,,,jolene_Butterworks_RF,2.4.2020,second,Butterworks,25,cns,yes2,,,NA,NA,NA,NA,2,BW098,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,240000,y,y,,,jolene_Butterworks_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jolene_Butterworks_RF_fourth
19,,y,,,,,peaches_StonyPond,LH,peaches_StonyPond_LH,12.12.2019,first,StonyPond,6,cns,yes2,,,,,,,2,SP011,,,,,,,,no,,yes,NA,NA,NA,NA,NA,192000,n,y,,,peaches_StonyPond_LH,1.10.2020,second,StonyPond,1,cns,yes2,,,NA,NA,NA,NA,2,SP033,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,240000,y,y,,,peaches_StonyPond_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,peaches_StonyPond_LH_fourth
25,,y,,,,,riley_StonyPond,RF,riley_StonyPond_RF,12.12.2019,first,StonyPond,7,cns,yes2,,,,,,,2,SP012,,,,,,,,no,,yes,NA,NA,NA,NA,NA,163000,n,y,,,riley_StonyPond_RF,1.10.2020,second,StonyPond,12,cns,yes2,,,NA,NA,NA,NA,2,SP044,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,250000,y,y,,,riley_StonyPond_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,riley_StonyPond_RF_fourth
15,,y,,,,,echo_StonyPond,LH,echo_StonyPond_LH,12.12.2019,first,StonyPond,5,cns,yes2,,,,,,,2,SP008,,,,,,,,no,,yes,NA,NA,NA,NA,NA,118000,n,y,,,echo_StonyPond_LH,1.10.2020,second,StonyPond,14,cns,yes2,,,NA,NA,NA,NA,2,SP045,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,260000,y,y,,,echo_StonyPond_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,echo_StonyPond_LH_fourth
13,,y,,,,,ashley_StonyPond,LH,ashley_StonyPond_LH,12.12.2019,first,StonyPond,12,cns,yes2,,,,,,,2,SP014,,,,,,,,no,,yes,NA,NA,NA,NA,NA,58000,n,n,,,ashley_StonyPond_LH,1.10.2020,second,StonyPond,22,cns,yes2,,,NA,NA,NA,NA,2,SP059,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,280000,y,y,,,ashley_StonyPond_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ashley_StonyPond_LH_fourth
17,,y,,,,,octavia_StonyPond,LH,octavia_StonyPond_LH,12.12.2019,first,StonyPond,18,cns,yes2,,,,,,,2,SP020,,,,,,,,no,,yes,NA,NA,NA,NA,NA,233000,y,y,,,octavia_StonyPond_LH,1.10.2020,second,StonyPond,24,cns,yes2,,,NA,NA,NA,NA,2,SP061,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,340000,y,y,,,octavia_StonyPond_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,octavia_StonyPond_LH_fourth
16,,y,,,,,echo_StonyPond,RH,echo_StonyPond_RH,12.12.2019,first,StonyPond,5,cns,yes2,,,,,,,2,SP009,,,,,,,,no,,yes,NA,NA,NA,NA,NA,102000,n,y,,,echo_StonyPond_RH,1.10.2020,second,StonyPond,14,cns,yes2,,,NA,NA,NA,NA,2,SP046,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,370000,y,y,,,echo_StonyPond_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,echo_StonyPond_RH_fourth
24,,y,,,,,rashida_StonyPond,RH,rashida_StonyPond_RH,12.12.2019,first,StonyPond,22,cns,yes2,,,,,,,2,SP028,,,,,,,,no,,yes,NA,NA,NA,NA,NA,349000,y,y,,,rashida_StonyPond_RH,1.10.2020,second,StonyPond,20,cns,yes2,,,NA,NA,NA,NA,2,SP056,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,370000,y,y,,,rashida_StonyPond_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rashida_StonyPond_RH_fourth
2,,y,,,,,chipotle_Butterworks,LF,chipotle_Butterworks_LF,1.2.2020,first,Butterworks,31,cns,yes2,,,,,,,2,BW060,,,,,,,,no,,yes,NA,NA,NA,NA,NA,160000,n,y,,,chipotle_Butterworks_LF,2.4.2020,second,Butterworks,34,cns,yes2,,,NA,NA,NA,NA,2,BW111,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,390000,y,y,,,chipotle_Butterworks_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chipotle_Butterworks_LF_fourth
29,,y,,,,,flossy_Swallowdale,LH,flossy_Swallowdale_LH,12.13.2019,first,Swallowdale,24,cns,yes2,,,,,,,2,SW040,,,,,,,,no,,yes,NA,NA,NA,NA,NA,86000,n,n,,,flossy_Swallowdale_LH,1.22.2020,second,Swallowdale,10,cns,yes2,,,NA,NA,NA,NA,2,SW070,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,420000,y,y,,,flossy_Swallowdale_LH,2.28.2020,third,Swallowdale,23,cns,no17,,,,,,,17,SW121,,,,,,,,,,no,NA,NA,NA,NA,NA,590000,,,flossy_Swallowdale_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flossy_Swallowdale_LH_fourth
6,,y,,,,,mandolin_Butterworks,LH,mandolin_Butterworks_LH,1.2.2020,first,Butterworks,21,cns,yes2,,,,,,,2,BW036,,,,,,,,,,yes,NA,NA,NA,NA,NA,240000,y,y,,,mandolin_Butterworks_LH,2.4.2020,second,Butterworks,28,cns,yes2,,,NA,NA,NA,NA,2,BW101,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,440000,y,y,,,mandolin_Butterworks_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mandolin_Butterworks_LH_fourth
3,,y,,,,,chipotle_Butterworks,LH,chipotle_Butterworks_LH,1.2.2020,first,Butterworks,31,cns,yes2,,,,,,,2,BW059,,,,,,,,no,,yes,NA,NA,NA,NA,NA,280000,y,y,,,chipotle_Butterworks_LH,2.4.2020,second,Butterworks,34,cns,yes2,,,NA,NA,NA,NA,2,BW110,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,490000,y,y,,,chipotle_Butterworks_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chipotle_Butterworks_LH_fourth
20,,y,,,,,pippa_StonyPond,LF,pippa_StonyPond_LF,12.12.2019,first,StonyPond,8,cns,yes2,,,,,,,2,SP013,,,,,,,,no,,yes,NA,NA,NA,NA,NA,100000,n,y,,,pippa_StonyPond_LF,1.10.2020,second,StonyPond,3,cns,yes2,,,NA,NA,NA,NA,2,SP037,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,500000,y,y,,,pippa_StonyPond_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pippa_StonyPond_LF_fourth
12,,y,,,,,ashley_StonyPond,LF,ashley_StonyPond_LF,12.12.2019,first,StonyPond,12,cns,yes2,,,,,,,2,SP015,,,,,,,,no,,yes,NA,NA,NA,NA,NA,628000,y,y,,,ashley_StonyPond_LF,1.10.2020,second,StonyPond,22,cns,yes2,,,NA,NA,NA,NA,2,SP060,,NA,NA,NA,NA,,NA,no,NA,yes,NA,NA,NA,NA,NA,560000,y,y,,,ashley_StonyPond_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ashley_StonyPond_LF_fourth
