date,visit,farm,order,cow_id,quarter,path_1,path1_IMI,path_2,path2_IMI,path_3,path3_IMI,path_4,path4_IMI,quarter_code,isolate_1,isolate_2,isolate_3,isolate_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,IMI_series,hygiene_1,hygiene_2,cc_1,cc_2,cc_3,scc,contam,contam_comment,uniqueID,path
3.12.2020,third,OughtaBe,21,spice,RF,corynebac,yes2,,,,,,,2,OB147,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3000,,,spice_RF_third,coryne
2.21.2020,second,Paddlebridge,24,sapphire338,LF,corynebac,yes2,,,,,,,2,PB046,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3000,,,sapphire338_LF_second,coryne
3.20.2020,third,Paddlebridge,3,champne25,RH,corynebac,yes2,,,,,,,2,PB063,,,,,,,,no,,yes,NA,NA,NA,NA,NA,0,,,champne25_RH_third,coryne
3.20.2020,third,Paddlebridge,33,saige313,LH,corynebac,yes2,,,,,,,2,PB097,,,,,,,,no,,yes,NA,NA,NA,NA,NA,28000,,,saige313_LH_third,coryne
12.17.2019,first,BJ,31,755,LH,corynebac,yes2,,,,,,,2,BJ020,,,,,,,,no,,yes,NA,NA,NA,NA,NA,8000,,,755_LH_first,coryne
12.17.2019,first,BJ,32,664,RH,corynebac,yes2,,,,,,,2,BJ024,,,,,,,,no,,yes,NA,NA,NA,NA,NA,14000,,,664_RH_first,coryne
12.17.2019,first,BJ,32,664,RF,corynebac,yes2,,,,,,,2,BJ025,,,,,,,,no,,yes,NA,NA,NA,NA,NA,5000,,,664_RF_first,coryne
1.29.2020,second,BJ,10,670,RH,corynebac,yes2,,,,,,,2,BJ039,,,,,,,,no,,yes,NA,NA,NA,NA,NA,37000,,,670_RH_second,coryne
1.29.2020,second,BJ,29,722,LH,corynebac,yes2,,,,,,,2,BJ048,,,,,,,,no,,yes,NA,NA,NA,NA,NA,26000,,,722_LH_second,coryne
1.29.2020,second,BJ,30,cb3,RF,corynebac,yes2,,,,,,,2,BJ050,,,,,,,,,,yes,NA,NA,NA,NA,NA,6000,,,cb3_RF_second,coryne
2.26.2020,third,BJ,8,741,RH,corynebac,yes2,,,,,,,2,BJ058,,,,,,,,no,,yes,NA,NA,NA,NA,NA,36000,,,741_RH_third,coryne
2.12.2020,second,vonTrapp,32,iris,RH,corynebac,yes2,,,,,,,2,VT061,,,,,,,,no,,yes,NA,NA,NA,NA,NA,12000,,,iris_RH_second,coryne
3.10.2020,third,vonTrapp,1,vera,RF,corynebac,yes2,,,,,,,2,VT064,,,,,,,,no,,yes,NA,NA,NA,NA,NA,10000,,,vera_RF_third,coryne
3.5.2020,third,Lynd,2,wmca,RF,corynebac,yes2,,,,,,,2,LF091,,,,,,,,no,,yes,NA,NA,NA,NA,NA,38000,,,wmca_RF_third,coryne
