"","date","visit","farm","order","cow_id","quarter","path_1","path1_imi","path_2","path2_imi","path_3","path3_imi","path_4","path4_imi","quarter_code","isolate_1","path_1_maldi_final_id","fix_1","isolate_2","path_2_maldi_final_id","fix_2","isolate_3","path_3_maldi_final_id","fix_3","isolate_4","path_4_maldi_final_id","fix_4","clinical","blind","teatinj","pstmilking","mixed.inf_series","dup_not_collected","imi_series","hygiene_scorer_1","hygiene_1","hygiene_scorer_2","hygiene_2","cc_1","cc_2","cc_3","scc","contam","contam_comment"
"14","2.28.2020","third","Swallowdale",13,"amber","LH","cns","yes2","","","","","","",2,"sw105","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,140000,"",""
"15","2.28.2020","third","Swallowdale",17,"cambric","LH","cns","yes2","","","","","","",2,"sw108","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,76000,"",""
"16","2.28.2020","third","Swallowdale",21,"marshmellow","LF","cns","yes2","","","","","","",2,"sw116","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,180000,"",""
"17","2.28.2020","third","Swallowdale",22,"denise","LF","cns","yes2","","","","","","",2,"sw119","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,150000,"",""
"18","2.28.2020","third","Swallowdale",25,"jewel","LH","cns","yes1","","","","","","",1,"sw122","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,33000,"",""
"19","2.28.2020","third","Swallowdale",33,"goldie","LH","strep","other12","cns","other12","","","","",12,"sw127","streptococcus uberis","","sw128","staphylococcus chromogenes","","","",NA,"","",NA,"","","","","","","no",NA,NA,NA,NA,NA,NA,NA,130000,"",""
"20","2.28.2020","third","Swallowdale",33,"goldie","LF","cns","yes2","","","","","","",2,"sw129","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,59000,"",""
"21","2.28.2020","third","Swallowdale",33,"goldie","RH","cns","other12","strep","other12","","","","",12,"sw130","staphylococcus chromogenes","","sw131","streptococcus uberis","","","",NA,"","",NA,"","","","","","","no",NA,NA,NA,NA,NA,NA,NA,2e+05,"",""
"22","2.28.2020","third","Swallowdale",34,"cassia","LH","cns","yes1","","","","","","",1,"sw132","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,1e+06,"",""
"23","2.19.2020","second","Glennview",31,"192","RF","cns","yes2","","","","","","",2,"gv090","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","m",2,"c",3,NA,NA,NA,130000,"",""
"24","2.19.2020","second","Glennview",32,"199","LH","cns","yes2","","","","","","",2,"gv091","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","m",1,"c",2,NA,NA,NA,40000,"",""
"25","2.19.2020","second","Glennview",32,"199","RH","cns","yes2","","","","","","",2,"gv092","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","m",1,"c",2,NA,NA,NA,79000,"",""
"26","2.19.2020","second","Glennview",33,"70","LF","cns","yes2","","","","","","",2,"gv095","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","m",2,"c",2,NA,NA,NA,86000,"",""
"27","2.19.2020","second","Glennview",35,"198","LH","cns","yes2","","","","","","",2,"gv097","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","m",1,"c",1,NA,NA,NA,66000,"",""
"28","3.19.2020","third","Glennview",2,"199","LH","cns","yes2","","","","","","",2,"gv101","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","j",3,"c",3,NA,NA,NA,46000,"",""
"29","3.19.2020","third","Glennview",2,"199","RH","cns","yes2","","","","","","",2,"gv102","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","j",3,"c",3,NA,NA,NA,120000,"",""
"30","3.19.2020","third","Glennview",6,"173","LH","cns","yes2","","","","","","",2,"gv109","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","j",4,"c",4,NA,NA,NA,2e+05,"",""
"31","3.19.2020","third","Glennview",6,"173","RH","cns","yes1","","","","","","",1,"gv110","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","j",4,"c",4,NA,NA,NA,130000,"",""
"32","3.19.2020","third","Glennview",7,"198","LH","cns","yes2","","","","","","",2,"gv111","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","j",2,"c",2,NA,NA,NA,370000,"",""
"33","3.19.2020","third","Glennview",8,"165","RF","cns","yes2","cns","other18","","","","",2,"gv115","staphylococcus chromogenes","","gv160","staphylococcus chromogenes","","","",NA,"","",NA,"","","","","tbd","","yes","j",3,"c",3,NA,NA,NA,240000,"",""
"34","3.19.2020","third","Glennview",10,"42","LF","cns","yes2","","","","","","",2,"gv117","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,"c",2,NA,NA,NA,120000,"",""
"35","3.19.2020","third","Glennview",12,"79","RH","cns","yes2","","","","","","",2,"gv120","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","j",3,"c",4,NA,NA,NA,2e+05,"",""
"36","3.19.2020","third","Glennview",14,"133","LH","cns","other12","","","","","","",12,"gv127","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","","","no","j",4,"c",4,NA,NA,NA,26000,"",""
"37","3.19.2020","third","Glennview",27,"205","LH","cns","yes1","","","","","","",1,"gv146","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","j",2,"c",2,NA,NA,NA,460000,"",""
"38","3.19.2020","third","Glennview",27,"205","RH","cns","yes2","","","","","","",2,"gv147","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","j",2,"c",2,NA,NA,NA,58000,"",""
"39","3.19.2020","third","Glennview",28,"70","LF","cns","yes2","","","","","","",2,"gv150","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","j",3,"c",3,NA,NA,NA,62000,"",""
"40","3.19.2020","third","Glennview",31,"192","RF","cns","yes2","","","","","","",2,"gv154","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","j",2,"c",2,NA,NA,NA,63000,"",""
"41","3.20.2020","third","Paddlebridge",24,"shiela375","RH","cns","yes2","","","","","","",2,"pb083","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,"c",1,NA,NA,NA,78000,"",""
"42","3.20.2020","third","Paddlebridge",28,"gift379","LF","cns","yes2","","","","","","",2,"pb091","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,"c",1,NA,NA,NA,130000,"",""
"43","3.20.2020","third","Paddlebridge",28,"gift379","RF","cns","yes1","","","","","","",1,"pb092","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,"c",1,NA,NA,NA,180000,"",""
"44","12.19.2019","first","Lynd",27,"krone","LF","cns","yes2","","","","","","",2,"lf032","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,52000,"",""
"45","12.19.2019","first","Lynd",27,"krone","RH","cns","yes2","","","","","","",2,"lf033","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,71000,"",""
"46","12.19.2019","first","Lynd",27,"krone","RF","cns","yes2","","","","","","",2,"lf034","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,51000,"",""
"47","12.19.2019","first","Lynd",29,"lop","LH","cns","yes2","","","","","","",2,"lf035","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,56000,"",""
"48","12.19.2019","first","Lynd",30,"khakibeige","LF","cns","yes2","","","","","","",2,"lf036","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,33000,"",""
"49","12.19.2019","first","Lynd",32,"lioness","RH","cns","other12","","","","","","",12,"lf037","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","","","no",NA,NA,NA,NA,NA,NA,NA,59000,"",""
"50","12.19.2019","first","Lynd",35,"martina","LH","cns","yes2","","","","","","",2,"lf040","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,168000,"",""
"51","1.30.2020","second","Lynd",2,"ambrosia","LH","cns","yes2","","","","","","",2,"lf047","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,110000,"",""
"52","1.30.2020","second","Lynd",3,"lovage","LF","cns","yes2","","","","","","",2,"lf048","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,180000,"",""
"53","1.30.2020","second","Lynd",4,"luxurytax","LF","cns","yes2","","","","","","",2,"lf050","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,85000,"",""
"54","1.30.2020","second","Lynd",5,"klondike","RF","cns","yes2","cns","other18","","","","",2,"lf051","staphylococcus chromogenes","","lf052","staphylococcus chromogenes","","","",NA,"","",NA,"","","","","tbd","","yes",NA,NA,NA,NA,NA,NA,NA,83000,"",""
"55","1.30.2020","second","Lynd",6,"life","LF","cns","yes2","","","","","","",2,"lf054","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,27000,"",""
"56","1.30.2020","second","Lynd",8,"faith","LH","cns","yes2","","","","","","",2,"lf055","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,2e+05,"",""
"57","1.30.2020","second","Lynd",9,"ladyfinger","RH","cns","yes2","","","","","","",2,"lf058","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,82000,"",""
"58","1.30.2020","second","Lynd",14,"kowabunga","LF","cns","yes2","","","","","","",2,"lf063","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,74000,"",""
"59","1.30.2020","second","Lynd",14,"kowabunga","RF","cns","yes2","","","","","","",2,"lf064","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,420000,"",""
"60","1.30.2020","second","Lynd",16,"chaloopa","LF","cns","yes2","","","","","","",2,"lf066","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,220000,"",""
"61","1.30.2020","second","Lynd",16,"chaloopa","RF","cns","yes2","","","","","","",2,"lf068","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,96000,"",""
"62","1.30.2020","second","Lynd",18,"krone","LF","cns","yes1","","","","","","",1,"lf069","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,88000,"",""
"63","1.30.2020","second","Lynd",18,"krone","RH","cns","yes2","","","","","","",2,"lf070","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,160000,"",""
"64","1.30.2020","second","Lynd",18,"krone","RF","cns","yes1","","","","","","",1,"lf071","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,89000,"",""
"65","1.30.2020","second","Lynd",19,"webster","RF","cns","yes2","","","","","","",2,"lf072","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,140000,"",""
"66","1.30.2020","second","Lynd",21,"jitterbug","RH","cns","yes2","","","","","","",2,"lf075","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,120000,"",""
"67","1.30.2020","second","Lynd",33,"martina","LH","cns","yes1","","","","","","",1,"lf085","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,6e+05,"",""
"68","1.30.2020","second","Lynd",34,"lop","LH","cns","yes2","","","","","","",2,"lf086","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,62000,"",""
"69","1.30.2020","second","Lynd",35,"khakibeige","LF","cns","yes1","","","","","","",1,"lf087","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,48000,"",""
"70","3.5.2020","third","Lynd",1,"jitterbug","RH","cns","yes1","","","","","","",1,"lf090","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,170000,"",""
"71","3.5.2020","third","Lynd",3,"chaloopa","LF","cns","yes2","","","","","","",2,"lf093","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,130000,"",""
"72","3.5.2020","third","Lynd",3,"chaloopa","RH","cns","yes2","","","","","","",2,"lf094","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,320000,"",""
"73","3.5.2020","third","Lynd",5,"kowabunga","LF","cns","yes2","","","","","","",2,"lf095","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,230000,"",""
"74","3.5.2020","third","Lynd",5,"kowabunga","RF","cns","yes2","","","","","","",2,"lf097","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,160000,"",""
"75","3.5.2020","third","Lynd",6,"faith","LH","cns","yes2","","","","","","",2,"lf098","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,350000,"",""
"76","3.5.2020","third","Lynd",9,"klondike","RF","cns","yes2","","","","","","",2,"lf100","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,230000,"",""
"77","3.5.2020","third","Lynd",10,"ambrosia","LH","cns","yes2","","","","","","",2,"lf101","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,91000,"",""
"78","3.5.2020","third","Lynd",14,"licorice","RH","cns","yes2","","","","","","",2,"lf105","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,73000,"",""
"79","3.5.2020","third","Lynd",15,"krone","LF","cns","yes2","","","","","","",2,"lf107","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,120000,"",""
"80","3.5.2020","third","Lynd",15,"krone","RH","cns","yes2","","","","","","",2,"lf108","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,180000,"",""
"81","3.5.2020","third","Lynd",15,"krone","RF","cns","yes2","","","","","","",2,"lf109","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,130000,"",""
"82","3.5.2020","third","Lynd",16,"martina","LH","cns","yes2","","","","","","",2,"lf110","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,5e+05,"",""
"83","3.5.2020","third","Lynd",17,"lilac","RH","cns","yes2","","","","","","",2,"lf111","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,38000,"",""
"84","3.5.2020","third","Lynd",19,"webster","RF","cns","yes2","","","","","","",2,"lf112","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,240000,"",""
"85","3.5.2020","third","Lynd",22,"lovage","LF","cns","yes2","","","","","","",2,"lf113","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,94000,"",""
"86","3.5.2020","third","Lynd",23,"life","LF","cns","yes2","","","","","","",2,"lf115","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,74000,"",""
"87","3.5.2020","third","Lynd",26,"ladyfinger","RH","cns","yes2","","","","","","",2,"lf119","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,81000,"",""
"88","3.5.2020","third","Lynd",27,"luxurytax","LF","cns","yes2","","","","","","",2,"lf120","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,81000,"",""
"89","3.5.2020","third","Lynd",28,"lop","LH","cns","yes2","","","","","","",2,"lf121","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,71000,"",""
"90","3.5.2020","third","Lynd",29,"lordwalk","RF","cns","yes2","","","","","","",2,"lf122","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,78000,"",""
"91","3.5.2020","third","Lynd",31,"khakibeige","LF","cns","yes2","","","","","","",2,"lf123","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,54000,"",""
"92","3.5.2020","third","Lynd",35,"lioness","RH","cns","yes2","","","","","","",2,"lf124","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes",NA,NA,NA,NA,NA,NA,NA,130000,"",""
"93","12.17.2019","first","BJ",4,"716","LH","cns","yes2","","","","","","",2,"bj003","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","j",4,"c",3,NA,NA,NA,152000,"",""
"94","12.17.2019","first","BJ",5,"cb5","LF","cns","yes2","","","","","","",2,"bj005","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","j",4,"c",4,NA,NA,NA,15000,"",""
"95","12.17.2019","first","BJ",10,"720","RH","cns","yes2","","","","","","",2,"bj011","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","j",3,"c",2,NA,NA,NA,74000,"",""
"96","12.17.2019","first","BJ",15,"733","LF","cns","yes2","","","","","","",2,"bj012","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,"c",2,NA,NA,NA,286000,"",""
"97","12.17.2019","first","BJ",30,"761","LH","cns","yes2","cns","other18","","","","",2,"bj018","staphylococcus chromogenes","","bj026","staphylococcus chromogenes","","","",NA,"","",NA,"","","","","tbd","","yes","j",3,"c",3,NA,NA,NA,246000,"",""
"98","1.29.2020","second","BJ",6,"cb5","LF","cns","yes2","","","","","","",2,"bj031","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","j",3,"c",3,NA,NA,NA,35000,"",""
"99","1.29.2020","second","BJ",7,"720","RH","cns","yes2","","","","","","",2,"bj033","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","j",1,"c",1,NA,NA,NA,64000,"",""
"100","1.29.2020","second","BJ",9,"716","LH","cns","yes2","","","","","","",2,"bj037","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","j",2,"c",1,NA,NA,NA,67000,"",""
"101","1.29.2020","second","BJ",19,"733","LF","cns","yes2","","","","","","",2,"bj044","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","j",2,"c",2,NA,NA,NA,42000,"",""
"102","2.26.2020","third","BJ",5,"cb5","LF","cns","yes2","","","","","","",2,"bj055","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","m",2,"c",2,NA,NA,NA,29000,"",""
"103","2.26.2020","third","BJ",11,"716","LH","cns","yes1","","","","","","",1,"bj059","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","","m",1,"c",2,NA,NA,NA,85000,"",""
"104","2.26.2020","third","BJ",12,"720","RH","cns","yes2","","","","","","",2,"bj061","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","m",2,"c",2,NA,NA,NA,230000,"",""
"105","2.26.2020","third","BJ",14,"739","LH","cns","yes2","","","","","","",2,"bj064","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","m",4,"c",4,NA,NA,NA,66000,"",""
"106","2.26.2020","third","BJ",21,"733","LF","cns","yes2","","","","","","",2,"bj072","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","m",1,"c",1,NA,NA,NA,170000,"",""
"107","2.26.2020","third","BJ",26,"761","LH","cns","yes2","","","","","","",2,"bj076","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","m",4,"c",4,NA,NA,NA,70000,"",""
"108","2.4.2020","second","Butterworks",13,"nebula","RH","cns","yes2","","","","","","",2,"bw084","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","t",2,"c",1,NA,NA,NA,460000,"",""
"109","2.4.2020","second","Butterworks",16,"hawthorn","RH","cns","yes2","","","","","","",2,"bw085","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","t",2,"c",2,NA,NA,NA,120000,"",""
"110","2.4.2020","second","Butterworks",18,"marjoram","RH","cns","yes2","","","","","","",2,"bw086","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","t",2,"c",1,NA,NA,NA,240000,"",""
"111","2.4.2020","second","Butterworks",19,"nazareth","LF","cns","yes2","","","","","","",2,"bw087","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","t",2,"c",1,NA,NA,NA,240000,"",""
"112","2.4.2020","second","Butterworks",20,"manzana","RH","cns","yes2","","","","","","",2,"bw091","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","t",3,"c",3,NA,NA,NA,51000,"",""
"113","2.4.2020","second","Butterworks",20,"manzana","RF","cns","yes2","","","","","","",2,"bw092","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","t",3,"c",3,NA,NA,NA,65000,"",""
"114","2.4.2020","second","Butterworks",24,"nellie","LH","cns","yes2","","","","","","",2,"bw094","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","t",1,"c",1,NA,NA,NA,240000,"",""
"115","2.4.2020","second","Butterworks",24,"nellie","RH","cns","yes29","","","","","","",29,"bw097","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","t",1,"c",1,NA,NA,NA,740000,"",""
"116","2.4.2020","second","Butterworks",25,"jolene","RF","cns","yes2","","","","","","",2,"bw098","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","t",2,"c",1,NA,NA,NA,240000,"",""
"117","2.4.2020","second","Butterworks",26,"melissa","LH","cns","","","","","","","",9,"bw114","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","","yes","no","t",2,"c",1,NA,NA,NA,160000,"",""
"118","2.4.2020","second","Butterworks",27,"petunia","LH","cns","yes2","","","","","","",2,"bw099","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","t",1,"c",1,NA,NA,NA,99000,"",""
"119","2.4.2020","second","Butterworks",31,"bon","RF","cns","yes2","","","","","","",2,"bw106","staphylococcus chromogenes","","","","","","",NA,"","",NA,"","","","","no","","yes","t",2,"c",1,NA,NA,NA,290000,"",""
