"","cow_id","quarter","first_IMI_species","first_SCC","second_IMI_species","second_SCC","third_IMI_species","third_SCC","fourth_IMI_species","fourth_SCC"
"30","26","LH",""," 96,000 ",""," 86,000 ",""," 100,000 ",""," 180,000 "
"31","26","RF",""," 53,000 ",""," 120,000 ",""," 82,000 ","Sample contaminated"," 270,000 "
"32","26","RH",""," 181,000 ","Sample contaminated"," 250,000 ",""," 170,000 ",""," 420,000 "
"33","27","LF",""," 48,000 ",""," 23,000 ",""," 23,000 ",""," 30,000 "
"34","27","LH",""," 64,000 ",""," 84,000 ",""," 130,000 ",""," 160,000 "
"35","27","RF",""," 64,000 ",""," 28,000 ",""," 30,000 ",""," 33,000 "
"36","27","RH",""," 501,000 ",""," 400,000 ",""," 340,000 ",""," 370,000 "
"37","28","LF","Strep. species"," 142,000 ","Sample contaminated"," 1,800,000 ","Sample contaminated"," 230,000 ","Strep. species"," 370,000 "
"38","28","LH","Unknown organism"," 181,000 ","Gram-negative coliform"," 790,000 ","Gram-negative coliform"," 280,000 ","Gram-negative coliform"," 310,000 "
"39","28","RF",""," 8,000 ","Sample contaminated"," 7,000 ",""," 15,000 ",""," 96,000 "
"40","28","RH",""," 3,000 ","Sample contaminated"," 30,000 ",""," 6,000 ",""," 9,000 "
"41","3","LF",""," 5,000 ","Corynebacterium species"," 4,000 ",""," -   ",""," 3,000 "
"42","3","LH",""," -   ",""," 4,000 ",""," 2,000 ",""," -   "
"43","3","RF","Strep. species, Corynebacterium species"," 2,000 ",""," 6,000 ",""," 4,000 ",""," 6,000 "
"44","3","RH",""," 3,000 ",""," 7,000 ","Corynebacterium species"," 35,000 ","Corynebacterium species"," 210,000 "
"45","30","LF","Staph. species, Strep. species"," 158,000 ","Sample contaminated"," 140,000 ","Staph. species, Strep. species"," 250,000 ",NA,NA
"46","30","LH","Staph. species"," 212,000 ","Staph. species"," 140,000 ","Staph. species"," 140,000 ",NA,NA
"47","30","RF",""," 5,000 ",""," 10,000 ","Sample contaminated"," 9,000 ",NA,NA
"48","30","RH",""," 7,000 ",""," 14,000 ",""," 9,000 ",NA,NA
"49","32","LF","Staph. species"," 133,000 ","Staph. species"," 150,000 ","Corynebacterium species"," 1,100,000 ","Staph. species"," 56,000 "
"50","32","LH",""," 9,000 ",""," 11,000 ","Sample contaminated"," 22,000 ",""," 10,000 "
"51","32","RF","Sample contaminated"," 22,000 ","Sample contaminated"," 27,000 ",""," 38,000 ",""," 46,000 "
"52","32","RH","Staph. aureus"," 933,000 ","Staph. aureus"," 1,200,000 ","Staph. aureus"," 1,000,000 ","Staph. aureus"," 790,000 "
"53","34","LF",NA,NA,"Sample contaminated"," -   ",""," -   ",""," 5,000 "
"54","34","LH",NA,NA,"Sample contaminated"," 2,000 ","Sample contaminated"," -   ",""," 4,000 "
"55","34","RF",NA,NA,""," -   ",""," 2,000 ",""," 2,000 "
"56","34","RH",NA,NA,""," 3,000 ",""," -   ",""," 4,000 "
"57","35","LF",NA,NA,"Corynebacterium species"," 23,000 ",""," 15,000 ",""," 13,000 "
"58","35","LH",NA,NA,""," 12,000 ",""," 13,000 ","Corynebacterium species"," 9,000 "
"59","35","RF",NA,NA,""," -   ",""," 2,000 ",""," 18,000 "
"60","35","RH",NA,NA,"Unknown organism"," 6,000 ",""," 3,000 ","Sample contaminated"," 22,000 "
"61","38","LF",""," 3,000 ","Sample contaminated"," 2,000 ",""," 3,000 ","Corynebacterium species"," 5,000 "
"62","38","LH","Unknown organism"," -   ",""," 3,000 ","Sample contaminated"," 3,000 ",""," 3,000 "
"63","38","RF",""," 2,000 ",""," -   ",""," 4,000 ",""," 2,000 "
"64","38","RH",""," 2,000 ",""," -   ",""," 2,000 ",""," 2,000 "
"65","4","LF","Sample contaminated"," 2,000 ",""," 6,000 ",""," 5,000 ",""," 7,000 "
"66","4","LH",""," 3,000 ",""," 8,000 ",""," 2,000 ",""," 22,000 "
"67","4","RF","Corynebacterium species"," 4,000 ","Corynebacterium species"," 2,000 ","Corynebacterium species"," 3,000 ","Corynebacterium species"," 5,000 "
"68","4","RH",""," 4,000 ",""," 2,000 ",""," 6,000 ",""," 5,000 "
"69","40","LF","Staph. aureus"," 719,000 ","Staph. aureus"," 540,000 ","Staph. aureus"," 770,000 ","Staph. aureus"," 690,000 "
"70","40","LH","Staph. aureus"," 1,244,000 ","Staph. aureus"," 1,500,000 ","Staph. aureus"," 760,000 ","Staph. aureus"," 720,000 "
"71","40","RF","Sample contaminated"," 14,000 ","Corynebacterium species"," 11,000 ",""," 19,000 ",""," 14,000 "
"72","40","RH","Staph. species, Corynebacterium species"," 253,000 ","Staph. species"," 160,000 ","Sample contaminated"," 140,000 ","Staph. species"," 83,000 "
"73","41","LF","Staph. species"," 159,000 ","Staph. species"," 57,000 ","Staph. species"," 220,000 ","Staph. species"," 46,000 "
"74","41","LH","Staph. species"," 300,000 ","Staph. species"," 180,000 ","Staph. species"," 560,000 ","Staph. species"," 200,000 "
"75","41","RF","Strep. species, Corynebacterium species"," 5,000 ",""," 3,000 ",""," 7,000 ",""," 5,000 "
"76","41","RH",""," 7,000 ","Corynebacterium species"," 4,000 ",""," 6,000 ",""," 6,000 "
"77","44","LF","Staph. species"," 217,000 ",NA,NA,NA,NA,NA,NA
"78","44","LH",""," 23,000 ",NA,NA,NA,NA,NA,NA
"79","44","RF",""," 45,000 ",NA,NA,NA,NA,NA,NA
"80","44","RH",""," 32,000 ",NA,NA,NA,NA,NA,NA
"81","48","LF",""," 4,000 ",""," 6,000 ",""," 8,000 ",""," 8,000 "
"82","48","LH",""," 26,000 ",""," 33,000 ",""," 38,000 ",""," 44,000 "
"83","48","RF",""," 6,000 ",""," 7,000 ",""," 19,000 ",""," 20,000 "
"84","48","RH",""," 18,000 ",""," 23,000 ",""," 29,000 ",""," 23,000 "
"85","49","LF",""," 81,000 ",""," 280,000 ",""," 870,000 ",""," 400,000 "
"86","49","LH","Strep. species"," 9,000 ",""," 23,000 ","Sample contaminated"," 26,000 ","Sample contaminated"," 31,000 "
"87","49","RF",""," 11,000 ",""," 24,000 ",""," 42,000 ","Sample contaminated"," 14,000 "
"88","49","RH","Staph. species"," 90,000 ","Staph. species"," 90,000 ","Sample contaminated"," 160,000 ","Staph. species"," 80,000 "
"89","52","LF",NA,NA,""," 2,000 ",""," 2,000 ",""," 5,000 "
"90","52","LH",NA,NA,""," 11,000 ","Sample contaminated"," 4,000 ",""," 7,000 "
"91","52","RF",NA,NA,"Corynebacterium species"," 8,000 ",""," 6,000 ",""," 4,000 "
"92","52","RH",NA,NA,"Staph. species"," 280,000 ","Staph. species"," 37,000 ","Staph. species"," 45,000 "
"93","54","LF",NA,NA,""," 45,000 ",""," 9,000 ",""," 6,000 "
"94","54","LH",NA,NA,"Staph. species"," 18,000 ",""," 4,000 ",""," 7,000 "
"95","54","RF",NA,NA,""," 20,000 ",""," 4,000 ",""," 4,000 "
"96","54","RH",NA,NA,""," 18,000 ",""," 2,000 ","Corynebacterium species"," 6,000 "
"97","56","LF","Staph. species"," 87,000 ","Staph. species"," 34,000 ","Staph. species"," 270,000 ","Staph. species"," 240,000 "
"98","56","LH",""," 6,000 ","Corynebacterium species"," 3,000 ",""," 2,000 ",""," 20,000 "
"99","56","RF",""," 4,000 ",""," -   ",""," 6,000 ",""," 27,000 "
"100","56","RH",""," 3,000 ",""," 4,000 ",""," 6,000 ",""," 14,000 "
"101","57","LF","Sample contaminated"," 5,000 ",""," 25,000 ","Sample contaminated"," 15,000 ",""," 19,000 "
"102","57","LH","Sample contaminated"," 8,000 ",""," 30,000 ","Sample contaminated"," 20,000 ","Unknown organism"," 18,000 "
"103","57","RF","Sample contaminated"," 310,000 ",""," 410,000 ",""," 150,000 ",""," 210,000 "
"104","57","RH","Sample contaminated"," 9,000 ",""," 28,000 ",""," 12,000 ",""," 16,000 "
"105","62","LF","Strep. species"," 101,000 ",NA,NA,NA,NA,NA,NA
"106","62","LH","Corynebacterium species"," 6,000 ",NA,NA,NA,NA,NA,NA
"107","62","RF","Corynebacterium species"," 5,358,000 ",NA,NA,NA,NA,NA,NA
"108","62","RH","Staph. aureus"," 478,000 ",NA,NA,NA,NA,NA,NA
"109","65","LF",NA,NA,NA,NA,NA,NA,""," 10,000 "
"110","65","LH",NA,NA,NA,NA,NA,NA,"Blind quarter"," Not analyzed "
"111","65","RF",NA,NA,NA,NA,NA,NA,"Staph. species"," 54,000 "
"112","65","RH",NA,NA,NA,NA,NA,NA,""," 6,000 "
"113","66","LF","Staph. aureus"," 131,000 ","Staph. aureus"," 89,000 ","Staph. aureus"," 230,000 ","Staph. aureus"," 8,000 "
"114","66","LH",""," 7,000 ",""," 21,000 ",""," 2,000 ","Corynebacterium species"," 25,000 "
"115","66","RF",""," 2,000 ",""," 4,000 ",""," 2,000 ","Unknown organism, Corynebacterium species"," 4,000 "
"116","66","RH","Strep. species, Staph. species"," 5,000 ",""," 4,000 ",""," 6,000 ",""," -   "
"117","69","LF",""," 4,000 ",""," 4,000 ",""," 3,000 ","Corynebacterium species"," 6,000 "
"118","69","LH","Sample contaminated"," 144,000 ","Staph. species"," 110,000 ","Staph. species"," 85,000 ","Corynebacterium species"," 94,000 "
"119","69","RF",""," 155,000 ","Staph. aureus"," 63,000 ",""," 42,000 ","Sample contaminated"," 100,000 "
"120","69","RH","Staph. species"," 310,000 ","Staph. species"," 210,000 ","Staph. species"," 180,000 ","Staph. species"," 39,000 "
"121","7","LF",""," 10,000 ",""," 7,000 ","Sample contaminated"," 16,000 ",""," 5,000 "
"122","7","LH","Staph. species"," 426,000 ","Staph. species, Strep. species"," 510,000 ","Staph. species"," 530,000 ","Staph. species"," 210,000 "
"123","7","RF","Staph. species"," 296,000 ","Staph. species"," 190,000 ","Staph. species"," 180,000 ","Staph. species"," 2,000 "
"124","7","RH",""," -   ","Staph. species"," 2,000 ","Sample contaminated"," 2,000 ",""," 22,000 "
"125","74","LF","Staph. aureus"," 304,000 ","Sample contaminated"," 600,000 ","Staph. aureus"," 650,000 ","Sample contaminated"," 1,400,000 "
"126","74","LH",""," -   ",""," 2,000 ",""," 3,000 ",""," 4,000 "
"127","74","RF",""," 4,000 ",""," 4,000 ",""," 2,000 ",""," 7,000 "
"128","74","RH",""," 21,000 ","Corynebacterium species"," 77,000 ","Corynebacterium species"," 43,000 ","Sample contaminated"," 37,000 "
"129","741","LF",""," 3,000 ",""," 7,000 ",""," 6,000 ",""," 5,000 "
"130","741","LH",""," -   ",""," 5,000 ",""," 4,000 ","Unknown organism"," 6,000 "
"131","741","RF","Sample contaminated"," 3,000 ",""," 2,000 ",""," 6,000 ",""," 7,000 "
"132","741","RH",""," 2,000 ",""," 6,000 ",""," 7,000 ",""," 5,000 "
"133","8","LF",""," 148,000 ",""," 380,000 ",""," 180,000 ","Sample contaminated"," 210,000 "
"134","8","LH",""," 8,000 ",""," 26,000 ",""," 22,000 ",""," 35,000 "
"135","8","RF","Corynebacterium species"," 21,000 ",""," 54,000 ",""," 85,000 ",""," 92,000 "
"136","8","RH",""," 9,000 ",""," 16,000 ",""," 20,000 ","Sample contaminated"," 12,000 "
"137","86","LF","Corynebacterium species"," 499,000 ",""," 4,200,000 ",""," 770,000 ","Corynebacterium species"," 1,500,000 "
"138","86","LH","Staph. aureus, Strep. species, Corynebacterium species"," 460,000 ","Staph. aureus, Strep. species, Corynebacterium species"," 2,200,000 ","Staph. aureus, Strep. species, Corynebacterium species"," 930,000 ","Strep. species, Corynebacterium species, Staph. aureus"," 1,000,000 "
"139","86","RF","Strep. species"," 656,000 ","Strep. species"," 500,000 ","Strep. species"," 710,000 ","Strep. species, Corynebacterium species"," 800,000 "
"140","86","RH","Strep. species, Corynebacterium species"," 482,000 ","Sample contaminated"," 150,000 ","Strep. species, Corynebacterium species"," 120,000 ","Strep. species, Corynebacterium species"," 560,000 "
"141","869","LF",""," -   ",NA,NA,NA,NA,NA,NA
"142","869","LH",""," -   ",NA,NA,NA,NA,NA,NA
"143","869","RF",""," 4,000 ",NA,NA,NA,NA,NA,NA
"144","869","RH","Staph. species"," 40,000 ",NA,NA,NA,NA,NA,NA
"145","87","LF",NA,NA,NA,NA,NA,NA,"Staph. species"," 800,000 "
"146","87","LH",NA,NA,NA,NA,NA,NA,""," 11,000 "
"147","87","RF",NA,NA,NA,NA,NA,NA,""," 13,000 "
"148","87","RH",NA,NA,NA,NA,NA,NA,""," 74,000 "
"149","89","LF",""," 6,000 ",""," 14,000 ","Sample contaminated"," 15,000 ","Sample contaminated"," 120,000 "
"150","89","LH",""," 6,000 ",""," 44,000 ","Sample contaminated"," 47,000 ","Sample contaminated"," 43,000 "
"151","89","RF",""," 2,000 ",""," 6,000 ",""," 7,000 ",""," 120,000 "
"152","89","RH",""," 5,000 ",""," 21,000 ",""," 26,000 ",""," 130,000 "
"153","9","LF","Staph. aureus"," Not analyzed ","Blind quarter"," Not analyzed ","Blind quarter"," Not analyzed ","Blind quarter"," Not analyzed "
"154","9","LH","Staph. species"," 11,000 ",""," 11,000 ",""," 8,000 ",""," 20,000 "
"155","9","RF",""," 36,000 ",""," 29,000 ",""," 39,000 ",""," 37,000 "
"156","9","RH",""," 1,407,000 ","Staph. aureus"," 840,000 ","Staph. aureus"," 1,200,000 ","Staph. aureus"," 1,300,000 "
"157","93","LF",""," 587,000 ","Staph. aureus"," 2,500,000 ","Staph. aureus"," 1,800,000 ","Staph. aureus"," 280,000 "
"158","93","LH","Staph. aureus"," 521,000 ","Staph. aureus"," 1,700,000 ","Sample contaminated"," 880,000 ","Staph. aureus"," 270,000 "
"159","93","RF",""," 416,000 ",""," 3,400,000 ","Staph. species"," 1,000,000 ","Gram-negative coliform"," 270,000 "
"160","93","RH","Staph. aureus"," 3,972,000 ",""," 490,000 ",""," 1,600,000 ",""," 340,000 "
"161","97","LF","Strep. species"," 1,051,000 ","Strep. species"," 1,400,000 ","Staph. aureus"," 1,400,000 ","Strep. species, Staph. species"," 240,000 "
"162","97","LH","Strep. species"," 1,131,000 ","Strep. species"," 5,200,000 ","Strep. species"," 1,600,000 ","Strep. species"," 520,000 "
"163","97","RF","Staph. aureus"," 1,866,000 ","Staph. aureus"," 2,000,000 ","Strep. species, Corynebacterium species"," 1,900,000 ","Staph. aureus"," 740,000 "
"164","97","RH","Staph. aureus"," 5,253,000 ","Staph. aureus"," 870,000 ","Sample contaminated"," 2,400,000 ","Staph. aureus"," 1,300,000 "
