"","cow_id","quarter","first_IMI_species","first_SCC","second_IMI_species","second_SCC","third_IMI_species","third_SCC"
"150","Tess","LH","","2000","","2000","","0"
"151","Tess","RF","","0","","3000","","0"
"152","Tess","RH","","2000","","0","","0"
"153","Tiktac","LF","Blind quarter","Not Analyzed","Blind quarter","Not analyzed","Blind quarter","Not analyzed"
"154","Tiktac","LH","","2000","","39000","","9000"
"155","Tiktac","RF","Staph. aureus","220000","","1600000","Staph. aureus","620000"
"156","Tiktac","RH","Strep. species, Staph. species","210000","","510000","Staph. species, Strep. species","530000"
"157","Tiktoe","LF","Staph. species","61000","Staph. species","33000","Staph. species","20000"
"158","Tiktoe","LH","Staph. species","110000","Staph. species","77000","Staph. species","19000"
"159","Tiktoe","RF","Staph. species","160000","Staph. species","110000","Staph. species","12000"
"160","Tiktoe","RH","Strep. species","1200000","Strep. species","130000","Strep. species","25000"
"161","Whinnie","LF","","6000","","21000","","5000"
"162","Whinnie","LH","","15000","","66000","","43000"
"163","Whinnie","RF","","22000","","19000","","9000"
"164","Whinnie","RH","","33000","","35000","","10000"
