"","cow_id","quarter","first_IMI_species","first_SCC","second_IMI_species","second_SCC","third_IMI_species","third_SCC"
"66",169,"LH","Sample contaminated","180,000","","98,000","","93,000"
"67",169,"RF","Staph. aureus","44,000","Staph. species","96,000","Staph. species","42,000"
"68",169,"RH","Sample contaminated","4,000","","4,000","","8,000"
"69",172,"LF","","8,000","","3,000","","4,000"
"70",172,"LH","","4,000","","2,000","","73,000"
"71",172,"RF","","6,000","","3,000","Staph. species","7,000"
"72",172,"RH","Sample contaminated","7,000","","3,000","","4,000"
"73",173,"LF","","52,000","","7,000","Sample contaminated","5,000"
"74",173,"LH","Staph. species","1,200,000","Staph. species","390,000","Staph. species","200,000"
"75",173,"RF","","38,000","","2,000","","6,000"
"76",173,"RH","Sample contaminated","78,000","Staph. species","67,000","Staph. species","130,000"
"77",174,"LF","","550,000","","13,000","Sample contaminated","10,000"
"78",174,"LH","Sample contaminated","940,000","","380,000","Sample contaminated","240,000"
"79",174,"RF","Corynebacterium species","17,000","","14,000","","10,000"
"80",174,"RH","Sample contaminated","45,000","","6,000","","10,000"
"81",175,"LF","","7,000","","8,000","","10,000"
"82",175,"LH","","11,000","","5,000","","6,000"
"83",175,"RF","Corynebacterium species","120,000","Unknown organism","140,000","","2,300,000"
"84",175,"RH","","3,000","","5,000","","6,000"
"85",185,"LF","","10,000","","8,000","","19,000"
"86",185,"LH","","24,000","","13,000","","110,000"
"87",185,"RF","","11,000","","12,000","","14,000"
"88",185,"RH","","11,000","","10,000","Corynebacterium species","18,000"
"89",188,"LF","Sample contaminated","23,000","","15,000","","11,000"
"90",188,"LH","Sample contaminated","15,000","Corynebacterium species","10,000","Corynebacterium species","9,000"
"91",188,"RF","","16,000","","12,000","","10,000"
"92",188,"RH","","10,000","","31,000","","6,000"
"93",190,"LF","","9,000","","12,000","","6,000"
"94",190,"LH","","16,000","","12,000","","24,000"
"95",190,"RF","","11,000","","11,000","","6,000"
"96",190,"RH","","14,000","Corynebacterium species","17,000","","29,000"
"97",192,"LF","","12,000","","20,000","","7,000"
"98",192,"LH","","12,000","","23,000","","18,000"
"99",192,"RF","Staph. species","300,000","Staph. species","130,000","Staph. species","63,000"
"100",192,"RH","","13,000","","17,000","","15,000"
"101",193,"LF","Unknown organism","3,000","","3,000","","2,000"
"102",193,"LH","Sample contaminated","7,000","","4,000","","3,000"
"103",193,"RF","Corynebacterium species","3,000","Corynebacterium species","2,000","Corynebacterium species","2,000"
"104",193,"RH","Corynebacterium species","2,000","","2,000","","3,000"
"105",194,"LF","","4,000","","5,000","","5,000"
"106",194,"LH","","11,000","","13,000","","9,000"
"107",194,"RF","","6,000","","10,000","","4,000"
"108",194,"RH","","6,000","Strep. species, Corynebacterium species","10,000","","7,000"
"109",198,"LF",NA,NA,"Staph. species","4,000","","72,000"
"110",198,"LH",NA,NA,"Staph. species","66,000","Staph. species","370,000"
"111",198,"RF",NA,NA,"","53,000","","27,000"
"112",198,"RH",NA,NA,"","9,000","Bacillus species","19,000"
"113",199,"LF","","8,000","","4,000","","2,000"
"114",199,"LH","Staph. species","120,000","Staph. species","40,000","Staph. species","46,000"
"115",199,"RF","Strep. species","6,300,000","Strep. species","6,300,000","Strep. species","3,500,000"
"116",199,"RH","Staph. species","190,000","Staph. species","79,000","Staph. species","120,000"
"117",200,"LF","","21,000","","11,000","","25,000"
"118",200,"LH","","17,000","","21,000","","38,000"
"119",200,"RF","","11,000","","11,000","","12,000"
"120",200,"RH","","15,000","","13,000","","14,000"
"121",201,"LF","","7,000","","6,000","","8,000"
"122",201,"LH","","84,000","","71,000","","12,000"
"123",201,"RF","","5,000","","4,000","","9,000"
"124",201,"RH","","6,000","Sample contaminated","12,000","","12,000"
"125",203,"LF","","2,000","","6,000","","14,000"
"126",203,"LH","","2,000","","8,000","","21,000"
"127",203,"RF","","8,000","","5,000","","22,000"
"128",203,"RH","Sample contaminated","0","","7,000","","15,000"
"129",204,"LF","","4,000","","6,000","","5,000"
"130",204,"LH","","13,000","Unknown organism","4,000","Sample contaminated","4,000"
"131",204,"RF","","4,000","","0","Sample contaminated","3,000"
"132",204,"RH","","3,000","","5,000","","7,000"
"133",205,"LF","","3,000","","2,000","","9,000"
"134",205,"LH","Staph. species","63,000","Sample contaminated","76,000","Staph. species","460,000"
"135",205,"RF","","4,000","Sample contaminated","6,000","","3,000"
"136",205,"RH","Staph. species","22,000","Sample contaminated","36,000","Staph. species","58,000"
"137",206,"LF","","5,000","","6,000","","9,000"
"138",206,"LH","","8,000","","8,000","","7,000"
"139",206,"RF","Corynebacterium species","4,000","","3,000","","4,000"
"140",206,"RH","Corynebacterium species","4,000","","4,000","","6,000"
"141",207,"LF","Corynebacterium species","7,000","","3,000","","5,000"
"142",207,"LH","Staph. species","84,000","Unknown organism","66,000","Unknown organism","110,000"
"143",207,"RF","","6,000","","10,000","","4,000"
"144",207,"RH","","6,000","","2,000","","5,000"
"145",456,"LF","Staph. species","120,000",NA,NA,NA,NA
"146",456,"LH","Strep. species, Staph. species","290,000",NA,NA,NA,NA
"147",456,"RF","","65,000",NA,NA,NA,NA
"148",456,"RH","","16,000",NA,NA,NA,NA
