"","cow_id","quarter","first_IMI_species","first_SCC","second_IMI_species","second_SCC","third_IMI_species","third_SCC"
"142","Rhubarb","LH","","6,000","","3,000","","4,000"
"143","Rhubarb","RF","Staph. species","73,000","Staph. species","72,000","Staph. species","15,000"
"144","Rhubarb","RH","","3,000","","5,000","","2,000"
"145","Snowball","LF","","49,000","","44,000","","20,000"
"146","Snowball","LH","Sample contaminated","74,000","Strep. species","110,000","Strep. species","43,000"
"147","Snowball","RF","Staph. species","160,000","Staph. species","130,000","Staph. species","34,000"
"148","Snowball","RH","Staph. species","500,000","Staph. species","480,000","Staph. species","110,000"
"149","Star","LF",NA,NA,NA,NA,"","38,000"
"150","Star","LH",NA,NA,NA,NA,"","58,000"
"151","Star","RF",NA,NA,NA,NA,"","160,000"
"152","Star","RH",NA,NA,NA,NA,"Strep. species","6,000,000"
"153","Strawberry","LF","Sample contaminated","3,000","","9,000","","0"
"154","Strawberry","LH","Corynebacterium species, Staph. species","7,000","","13,000","","0"
"155","Strawberry","RF","","5,000","","9,000","","3,000"
"156","Strawberry","RH","","6,000","","11,000","Other Gram-positive bacteria","4,000"
"157","WildCucumber","LF","","22,000","","23,000","","22,000"
"158","WildCucumber","LH","Staph. species","19,000","Staph. species","13,000","Staph. species","11,000"
"159","WildCucumber","RF","","22,000","","21,000","","18,000"
"160","WildCucumber","RH","","15,000","","15,000","","14,000"
