"","cow_id","quarter","first_IMI_species","first_SCC","second_IMI_species","second_SCC","third_IMI_species","third_SCC"
"70","Iris","LH","","6000","","2000","Staph. species","2000"
"71","Iris","RF","","4000","","5000","","3000"
"72","Iris","RH","","14000","Corynebacterium species","12000","","7000"
"73","Isabelle","LF","","2889","","2000","","4000"
"74","Isabelle","LH","","9778","","6000","","4000"
"75","Isabelle","RF","","0","","6000","","4000"
"76","Isabelle","RH","","4000","","4000","","2000"
"77","Jasmine","LF","","6000","","9000","","5000"
"78","Jasmine","LH","","8000","","8000","","8000"
"79","Jasmine","RF","","9000","","7000","","7000"
"80","Jasmine","RH","","11000","","7000","","13000"
"81","Lassandra","LF","","13000","","24000",NA,NA
"82","Lassandra","LH","","26000","","29000",NA,NA
"83","Lassandra","RF","","15000","","25000",NA,NA
"84","Lassandra","RH","","15000","","19000",NA,NA
"85","Leadbelly","LF","Blind quarter","Not analyzed","Blind quarter","Not analyzed",NA,NA
"86","Leadbelly","LH","","12000","","61000",NA,NA
"87","Leadbelly","RF","","4000","","51000",NA,NA
"88","Leadbelly","RH","","7000","","43000",NA,NA
"89","Lena","LF","Blind quarter","Not analyzed","Blind quarter","Not analyzed","Blind quarter","Not analyzed"
"90","Lena","LH","","23000","","9000","","2000"
"91","Lena","RF","","4000","Staph. species","8000","","4000"
"92","Lena","RH","","Not analyzed: low volume","Unknown organism","6000","","4000"
"93","Leopard","LF","Staph. species","34000","Staph. species","66000","Staph. species","24000"
"94","Leopard","LH","Staph. aureus","680000","Staph. aureus","650000","Staph. aureus","170000"
"95","Leopard","RF","Staph. species","35000","","30000","Staph. species","29000"
"96","Leopard","RH","","0","","7000","","2000"
"97","Lilac","LF","Staph. species","140000","Staph. species","86000","Staph. species","290000"
"98","Lilac","LH","Sample contaminated","5000","","4000","","6000"
"99","Lilac","RF","Blind quarter","Not analyzed","Blind quarter","Not analyzed","Blind quarter","Not analyzed"
"100","Lilac","RH","Staph. species","35000","Staph. species","61000","Staph. species","80000"
"101","Lucha","LF","Staph. species","170000","Staph. species","58000","Staph. species","26000"
"102","Lucha","LH","","4000","","10000","","3000"
"103","Lucha","RF","Staph. species","160000","Staph. species","440000","Staph. species","78000"
"104","Lucha","RH","Blind quarter","Not analyzed","Blind quarter","Not analyzed","Blind quarter","Not analyzed"
"105","Luna","LF","Sample contaminated","2000","","6000","","7000"
"106","Luna","LH","","8000","","5000","Strep. species","6000"
"107","Luna","RF","","11000","","11000","","38000"
"108","Luna","RH","Blind quarter","Not analyzed","Blind quarter","Not analyzed","Blind quarter","Not analyzed"
"109","Matilda","LF","","0","","7000","","5000"
"110","Matilda","LH","","3000","","6000","","9000"
"111","Matilda","RF","Staph. species","42000","Corynebacterium species, Staph. species","43000","Staph. species","25000"
"112","Matilda","RH","","10800","","19000","Staph. species","8000"
"113","Panda","LF","","10000","","5000","","8000"
"114","Panda","LH","","30000","","15000","","8000"
"115","Panda","RF","","15000","","11000","","7000"
"116","Panda","RH","Staph. species","860000","Staph. species","150000","Staph. species","160000"
"117","Patchouli","LF","","49000","","2000","","5000"
"118","Patchouli","LH","","7000","","6000","","7000"
"119","Patchouli","RF","","4000","Unknown organism","72000","Staph. species","24000"
"120","Patchouli","RH","","12000","","4000","","5000"
"121","Seraphina","LF","","4000","","0","","11000"
"122","Seraphina","LH","","3000","","0","","29000"
"123","Seraphina","RF","","8000","","0","","7000"
"124","Seraphina","RH","","8000","","0","","7000"
"125","Tallula","LF","","6000","","17000","","9000"
"126","Tallula","LH","","5000","","470000","","170000"
"127","Tallula","RF","Staph. species","120000","Staph. species","53000","Staph. species","78000"
"128","Tallula","RH","","6000","","3000","","3000"
"129","Tessa","LF",NA,NA,NA,NA,"","3000"
"130","Tessa","LH",NA,NA,NA,NA,"","2000"
"131","Tessa","RF",NA,NA,NA,NA,"","4000"
"132","Tessa","RH",NA,NA,NA,NA,"","3000"
"133","Tilly","LF","","21000","","38000","","41000"
"134","Tilly","LH","","19000","","39000","Staph. species","25000"
"135","Tilly","RF","","15000","","28000","","41000"
"136","Tilly","RH","","17000","","27000","","26000"
"137","Ursala","LF","","4000","","9000","","3000"
"138","Ursala","LH","Staph. species","29000","Staph. species","90000","Staph. species","48000"
"139","Ursala","RF","","7000","","8000","","5000"
"140","Ursala","RH","","9000","","8000","","3000"
"141","Vangie","LF","","4000","","9000","","2000"
"142","Vangie","LH","","5000","","11000","","7000"
"143","Vangie","RF","","4000","","13000","","5000"
"144","Vangie","RH","","5000","","11000","","6000"
"145","Vera","LF",NA,NA,NA,NA,"","4000"
"146","Vera","LH",NA,NA,NA,NA,"","300000"
"147","Vera","RF",NA,NA,NA,NA,"Corynebacterium species","10000"
"148","Vera","RH",NA,NA,NA,NA,"","31000"
"149","Vicki","LF","","13000","","19000","","15000"
"150","Vicki","LH","","15000","","11000","","17000"
"151","Vicki","RF","Sample contaminated","5000","","13000","Bacillus species, Staph. species","11000"
"152","Vicki","RH","","4000","","13000","","12000"
"153","Zelda","LF","Staph. species","170000","Staph. species","90000","Staph. species","100000"
"154","Zelda","LH","","29000","","91000","","43000"
"155","Zelda","RF","","74000","","150000","","260000"
"156","Zelda","RH","","42000","","120000","","64000"
