date,visit,farm,order,cow_id,quarter,path_1,path1_imi,path_2,path2_imi,path_3,path3_imi,path_4,path4_imi,quarter_code,isolate_1,path_1_maldi_final_id,fix_1,isolate_2,path_2_maldi_final_id,fix_2,isolate_3,path_3_maldi_final_id,fix_3,isolate_4,path_4_maldi_final_id,fix_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,imi_series,hygiene_scorer_1,hygiene_1,hygiene_scorer_2,hygiene_2,cc_1,cc_2,cc_3,scc,contam,contam_comment,dup_a_cfu_count,dup_b_cfu_count,more_than_2_org_present
3.19.2020,third,Glennview,15,128,RH,cns,yes1,corynebac,no5,,,,,1,gv131,staphylococcus equorum,,gv132,corynebacterium species,,,,,,,,,,,,no,,yes,j,2,c,3,,,,12000,,,,,yes
3.19.2020,third,Glennview,27,205,LH,cns,yes1,,,,,,,1,gv146,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,2,c,2,,,,460000,,,30,22,
3.19.2020,third,Glennview,30,188,LH,corynebac,yes1,,,,,,,1,gv153,corynebacterium species,,,,,,,,,,,,,,,no,,yes,j,2,c,2,,,,9000,,,1,1,
12.19.2019,first,Lynd,3,life,LH,strep,yes1,,,,,,,1,lf002,streptococcus uberis,,,,,,,,,,,,,,,no,,yes,.,.,.,.,,,,80000,,13,16,,
1.30.2020,second,Lynd,18,krone,LF,cns,yes1,,,,,,,1,lf069,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,.,.,.,.,,,,88000,,26,10,yes,
1.30.2020,second,Lynd,18,krone,RF,cns,yes1,,,,,,,1,lf071,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,.,.,.,.,,,,89000,,11,8,,
1.30.2020,second,Lynd,26,lioness,RH,cns,yes1,,,,,,,1,lf078,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,.,.,.,.,,,,250000,,3,6,yes,
1.30.2020,second,Lynd,33,martina,LH,cns,yes1,,,,,,,1,lf085,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,.,.,.,.,,,,600000,,16,20,,
1.30.2020,second,Lynd,35,khakibeige,LF,cns,yes1,,,,,,,1,lf087,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,.,.,.,.,,,,48000,,9,31,,
3.5.2020,third,Lynd,1,jitterbug,RH,cns,yes1,,,,,,,1,lf090,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,.,.,.,.,,,,170000,,11,11,,
1.3.2020,first,OughtaBe,8,izzie,RH,strep,yes1,,,,,,,1,ob005,aerococcus viridans,no_sslo,,,,,,,,,,,,,,no,,yes,j,3,c,3,,,,2000,,,2,3,
1.3.2020,first,OughtaBe,16,kandykorn,LF,cns,yes1,,,,,,,1,ob022,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,1,c,2,,,,43000,,,3,4,
2.14.2020,second,OughtaBe,2,aloha,RH,kocuria,yes1,,,,,,,1,ob057,kocuria species,yes_from_cns_to_kocuria,,,,,,,,,,,,,,no,,yes,t,2,c,2,,,,10000,,,6,7,
2.14.2020,second,OughtaBe,5,rabbit,RF,cns,yes1,,,,,,,1,ob061,staphylococcus warneri,,,,,,,,,,,,,,,no,,yes,t,3,c,2,,,,300000,,,23,8,
2.14.2020,second,OughtaBe,29,honey,LH,kocuria,yes1,,,,,,,1,ob095,kocuria species,yes_from_cns_to_kocuria,,,,,,,,,,,,,,no,,yes,t,3,c,3,,,,78000,,,2,3,
3.12.2020,third,OughtaBe,32,penny,LF,kocuria,yes1,,,,,,,1,ob159,kocuria species,yes_from_cns_to_kocuria,,,,,,,,,,,,,,no,,yes,j,4,c,4,,,,22000,,,2,4,
1.17.2020,first,Paddlebridge,13,ferrari28,RH,strep,yes1,,,,,,,1,pb006,streptococcus uberis,,,,,,,,,,,,,,,no,,yes,j,3,c,2,,,,2900000,,,tntc,tntc,
1.17.2020,first,Paddlebridge,17,likely30,RF,strep,yes1,,,,,,,1,pb012,streptococcus uberis,,,,,,,,,,,,,,,no,,yes,j,2,c,1,,,,200000,,,30,11,
1.17.2020,first,Paddlebridge,24,shiela375,RH,cns,yes1,,,,,,,1,pb016,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,1,c,1,,,,440000,,,10,6,
1.17.2020,first,Paddlebridge,29,scrapie278,RF,sa,yes1,,,,,,,1,pb022,staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,j,2,c,2,,,,330000,,,6,3,yes
1.17.2020,first,Paddlebridge,31,marney382,LF,sa,yes1,,,,,,,1,pb025,staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,j,2,c,2,,,,1800000,,,30,tntc,
2.21.2020,second,Paddlebridge,18,likely30,RF,strep,yes1,,,,,,,1,pb040,streptococcus uberis,,,,,,,,,,,,,,,no,,yes,m,2,c,2,,,,78000,,,tntc,8,
2.21.2020,second,Paddlebridge,25,shania291,LF,sa,yes1,,,,,,,1,pb050,staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,m,2,c,2,,,,6400000,,,3,6,yes
2.21.2020,second,Paddlebridge,28,gift379,LF,cns,yes1,,,,,,,1,pb054,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,m,1,c,1,,,,150000,,,50,50,yes
3.20.2020,third,Paddlebridge,26,shania291,LF,sa,yes1,,,,,,,1,pb089,staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,j,1,c,1,,,,3200000,,,1,2,
3.20.2020,third,Paddlebridge,28,gift379,RF,cns,yes1,,,,,,,1,pb092,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,1,c,1,,,,180000,,,50,tntc,yes
3.20.2020,third,Paddlebridge,30,chapstick1,RH,cns,yes1,,,,,,,1,pb095,staphylococcus auricularis,,,,,,,,,,,,,,,no,,yes,j,1,c,1,,,,2000,,,1,1,yes
1.10.2020,second,StonyPond,19,robin,RH,macrococcus,yes1,,,,,,,1,sp052,macrococcus canis,yes_from_cns_to_macrococcus,,,,,,,,,,,,,,no,,yes,j,1,.,.,,,,50000,,,3,3,
1.10.2020,second,StonyPond,23,chelsea,LH,macrococcus,yes1,cns,no5,,,,,1,sp050,macrococcus canis,yes_from_cns_to_macrococcus,sp051,staphylococcus haemolyticus,,,,,,,,,,,,no,,yes,j,2,.,.,,,,68000,,,,,yes
1.10.2020,second,StonyPond,31,alexis,RH,cns,yes1,cns,no5,,,,,1,sp070,staphylococcus chromogenes,,sp071,staphylococcus haemolyticus,,,,,,,,,,,,no,,yes,j,3,.,.,,,,760000,,,,,
12.13.2019,first,Swallowdale,1,pledge,LH,strep,yes1,,,,,,,1,sw001,aerococcus viridans,,,,,,,,,,,,,,,no,,yes,.,.,.,.,,,,4000,,,1,1,
12.13.2019,first,Swallowdale,7,skyler,RF,cns,yes1,,,,,,,1,sw009,staphylococcus haemolyticus,,,,,,,,,,,,,,,no,,yes,.,.,.,.,,,,0,,,1,1,yes
12.13.2019,first,Swallowdale,9,diane,RF,psychrobacter,yes1,,,,,,,1,sw013,psychrobacter species,yes_from_cns_to_psychrobacter,,,,,,,,,,,,,,no,,yes,.,.,.,.,,,,3000,,,1,1,yes
12.13.2019,first,Swallowdale,13,dorian,RF,strep,yes1,,,,,,,1,sw025,aerococcus viridans,no_sslo,,,,,,,,,,,,,,no,,yes,.,.,.,.,,,,9000,,,3,3,
12.13.2019,first,Swallowdale,20,sadie,LF,strep,yes1,,,,,,,1,sw034,aerococcus viridans,no_sslo,,,,,,,,,,,,,,no,,yes,.,.,.,.,,,,12000,,,1,1,
12.13.2019,first,Swallowdale,35,maisie,RH,cns,yes1,,,,,,,1,sw053,staphylococcus haemolyticus,,,,,,,,,,,,,,,no,,yes,.,.,.,.,,,,16000,,,2,2,
2.28.2020,third,Swallowdale,21,marshmellow,LH,strep,yes1,,,,,,,1,sw115,streptococcus uberis,,,,,,,,,,,,,,,no,,yes,.,.,.,.,,,,120000,,,30,11,
2.28.2020,third,Swallowdale,25,jewel,LH,cns,yes1,,,,,,,1,sw122,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,.,.,.,.,,,,33000,,,3,9,
2.28.2020,third,Swallowdale,31,gigi,RH,sa,yes1,,,,,,,1,sw126,staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,.,.,.,.,,,,3000000,,,,,
2.28.2020,third,Swallowdale,34,cassia,LH,cns,yes1,,,,,,,1,sw132,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,.,.,.,.,,,,1000000,,,4,16,
2.28.2020,third,Swallowdale,34,cassia,RH,cns,yes1,,,,,,,1,sw133,staphylococcus simulans,,,,,,,,,,,,,,,no,,yes,.,.,.,.,,,,750000,,,15,2,
2.28.2020,third,Swallowdale,35,skyler,LH,cns,yes1,,,,,,,1,sw134,staphylococcus haemolyticus,,,,,,,,,,,,,,,no,,yes,.,.,.,.,,,,3000,,,1,4,
1.6.2020,first,vonTrapp,14,zelda,LF,cns,yes1,,,,,,,1,vt015,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,2,c,3,,,,170000,,,30,20,yes
1.6.2020,first,vonTrapp,32,imogene,LH,cns,yes1,,,,,,,1,vt029,no id,yes_nochange,,,,,,,,,,,,,,no,,yes,j,3,c,3,,,,2000,,,1,20,
2.12.2020,second,vonTrapp,14,zelda,LF,cns,yes1,,,,,,,1,vt046,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,2,c,2,,,,90000,,,2,15,
3.10.2020,third,vonTrapp,6,luna,LH,strep,yes1,,,,,,,1,vt072,aerococcus viridans,no_sslo,,,,,,,,,,,,,,no,,yes,j,1,c,1,,,,6000,,,2,1,
3.10.2020,third,vonTrapp,22,iris,LH,cns,yes1,,,,,,,1,vt090,staphylococcus devriesei,,,,,,,,,,,,,,,no,,yes,j,2,c,3,,,,2000,,,1,1,
3.10.2020,third,vonTrapp,29,panda,RH,cns,yes1,,,,,,,1,vt097,staphylococcus devriesei,,,,,,,,,,,,,,,no,,yes,j,1,c,1,,,,160000,,,26,25,
12.17.2019,first,BJ,4,716,LH,cns,yes2,,,,,,,2,bj003,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,4,c,3,,,,152000,,,10,10,
12.17.2019,first,BJ,5,cb5,LF,cns,yes2,,,,,,,2,bj005,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,4,c,4,,,,15000,,,9,17,
12.17.2019,first,BJ,6,656,LH,strep,yes2,,,,,,,2,bj007,streptococcus uberis,,,,,,,,,,,,,,,no,,yes,j,3,c,3,,,,799000,,,tntc,tntc,
12.17.2019,first,BJ,7,719,LH,cns,yes2,,,,,,,2,bj008,staphylococcus simulans,,,,,,,,,,,,,,,no,,yes,j,2,c,3,,,,244000,,,20,6,
12.17.2019,first,BJ,8,739,LH,cns,yes2,,,,,,,2,bj009,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,2,c,3,,,,36000,,,7,9,
12.17.2019,first,BJ,10,720,LF,sa,yes2,,,,,,,2,bj010,staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,j,3,c,2,,,,227000,,,30,1,
12.17.2019,first,BJ,10,720,RH,cns,yes2,,,,,,,2,bj011,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,3,c,2,,,,74000,,,4,8,
12.17.2019,first,BJ,15,733,LF,cns,yes2,,,,,,,2,bj012,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,1,c,2,,,,286000,,,16,19,
12.17.2019,first,BJ,15,733,RF,sa,yes2,,,,,,,2,bj013,staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,j,1,c,2,,,,277000,,,12,3,
12.17.2019,first,BJ,18,701,LH,sa,yes2,sa,other18,,,,,2,bj014,staphylococcus aureus,,bj015,staphylococcus aureus,,,,,,,,,,,,no,,yes,j,2,c,2,,,,762000,,,4,19,
12.17.2019,first,BJ,19,731,LF,cns,yes2,,,,,,,2,bj016,staphylococcus species,,,,,,,,,,,,,,,no,,yes,j,3,c,3,,,,1739000,,,50,50,
12.17.2019,first,BJ,20,763,RF,micrococcus,yes2,,,,,,,2,bj017,micrococcus species,yes_from_cns_to_micrococcus,,,,,,,,,,,,,,no,,yes,j,1,c,2,,,,7000,,,11,3,
12.17.2019,first,BJ,30,761,LH,cns,yes2,cns,other18,,,,,2,bj018,staphylococcus chromogenes,,bj026,staphylococcus chromogenes,,,,,,,,,,,,no,,yes,j,3,c,3,,,,246000,,,30,50,
12.17.2019,first,BJ,31,755,LH,corynebac,yes2,,,,,,,2,bj020,corynebacterium casei,,,,,,,,,,,,,,,no,,yes,j,3,c,3,,,,8000,,,tntc,tntc,
12.17.2019,first,BJ,31,755,RH,corynebac,yes2,,,,,,,2,bj021,corynebacterium variabile,yes_from_cns_to_corynebac,,,,,,,,,,,,,,no,,yes,j,3,c,3,,,,9000,,,tntc,tntc,
12.17.2019,first,BJ,31,755,RF,corynebac,yes2,,,,,,,2,bj022,corynebacterium casei,yes_from_cns_to_corynebac,,,,,,,,,,,,,,no,,yes,j,3,c,3,,,,5000,,,tntc,tntc,
12.17.2019,first,BJ,32,664,LH,corynebac,yes2,,,,,,,2,bj023,corynebacterium casei,yes_from_cns_to_corynebac,,,,,,,,,,,,,,no,,yes,j,3,c,4,,,,506000,,,tntc,tntc,
12.17.2019,first,BJ,32,664,RH,corynebac,yes2,,,,,,,2,bj024,corynebacterium variabile,,,,,,,,,,,,,,,no,,yes,j,3,c,4,,,,14000,,,tntc,tntc,
12.17.2019,first,BJ,32,664,RF,corynebac,yes2,,,,,,,2,bj025,corynebacterium variabile,,,,,,,,,,,,,,,no,,yes,j,3,c,4,,,,5000,,,10,tntc,
1.29.2020,second,BJ,3,585,RF,cns,yes2,,,,,,,2,bj029,staphylococcus haemolyticus,,,,,,,,,,,,,,,no,,yes,j,1,c,1,,,,940000,,,18,25,
1.29.2020,second,BJ,6,cb5,LH,cns,yes2,,,,,,,2,bj030,staphylococcus species,,,,,,,,,,,,,,,no,,yes,j,3,c,3,,,,74000,,,28,8,
1.29.2020,second,BJ,6,cb5,LF,cns,yes2,,,,,,,2,bj031,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,3,c,3,,,,35000,,,31,11,
1.29.2020,second,BJ,7,720,LF,sa,yes2,,,,,,,2,bj032,staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,j,1,c,1,,,,650000,,,tntc,15,
1.29.2020,second,BJ,7,720,RH,cns,yes2,,,,,,,2,bj033,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,1,c,1,,,,64000,,,14,tntc,
1.29.2020,second,BJ,8,719,RH,gramneg.noncoli,yes2,,,,,,,2,bj036,wautersiella falsenii,,,,,,,,,,,,,,,no,,yes,j,4,c,3,,,,42000,,,5,3,
1.29.2020,second,BJ,9,716,LH,cns,yes2,,,,,,,2,bj037,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,2,c,1,,,,67000,,,23,30,
1.29.2020,second,BJ,10,670,RH,corynebac,yes2,,,,,,,2,bj039,corynebacterium variabile,,,,,,,,,,,,,,,no,,yes,j,1,c,1,,,,37000,,,30,1,
1.29.2020,second,BJ,11,739,LH,cns,yes2,,,,,,,2,bj040,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,3,c,3,,,,23000,,,30,17,
1.29.2020,second,BJ,13,693,LH,cns,yes2,,,,,,,2,bj042,no id,yes_nochange,,,,,,,,,,,,,,no,,yes,j,4,c,4,,,,8000,,,1,1,
1.29.2020,second,BJ,15,731,LF,cns,yes2,,,,,,,2,bj043,staphylococcus species,,,,,,,,,,,,,,,no,,yes,j,3,c,2,,,,140000,,,tntc,tntc,
1.29.2020,second,BJ,19,733,LF,cns,yes2,,,,,,,2,bj044,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,2,c,2,,,,42000,,,tntc,20,
1.29.2020,second,BJ,19,733,RF,sa,yes2,,,,,,,2,bj045,staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,j,2,c,2,,,,270000,,,12,20,
1.29.2020,second,BJ,27,761,LH,cns,yes2,,,,,,,2,bj047,staphylococcus chromogenes,yes_from_sa_to_cns,,,,,,,,,,,,,,no,,yes,j,3,c,3,,,,81000,,,30,12,
1.29.2020,second,BJ,29,722,LH,corynebac,yes2,,,,,,,2,bj048,corynebacterium casei,,,,,,,,,,,,,,,no,,yes,j,2,c,3,,,,26000,,,20,20,
1.29.2020,second,BJ,30,cb3,RF,corynebac,yes2,,,,,,,2,bj050,corynebacterium casei,,,,,,,,,,,,,,,,,yes,j,3,c,2,,,,6000,,,3,3,
2.26.2020,third,BJ,4,754,LF,kocuria,yes2,,,,,,,2,bj053,kocuria species,yes_from_cns_to_kocuria,,,,,,,,,,,,,,no,,yes,m,2,c,3,,,,4000,,,2,4,
2.26.2020,third,BJ,5,cb5,LH,cns,yes2,,,,,,,2,bj054,staphylococcus species,,,,,,,,,,,,,,,no,,yes,m,2,c,2,,,,59000,,,14,20,
2.26.2020,third,BJ,5,cb5,LF,cns,yes2,,,,,,,2,bj055,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,m,2,c,2,,,,29000,,,22,50,
2.26.2020,third,BJ,6,585,RF,cns,yes2,,,,,,,2,bj056,staphylococcus haemolyticus,,,,,,,,,,,,,,,no,,yes,m,1,c,1,,,,1500000,,,50,50,
2.26.2020,third,BJ,8,741,RH,corynebac,yes2,,,,,,,2,bj058,no id,yes_nochange,,,,,,,,,,,,,,no,,yes,m,3,c,3,,,,36000,,,1,1,
2.26.2020,third,BJ,12,720,LF,sa,yes2,,,,,,,2,bj060,staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,m,2,c,2,,,,3600000,,,40,33,
