date,visit,farm,order,cow id,quarter,path 1,path1 IMI,path 2,path2 IMI,path 3,path3 IMI,path 4,path4 IMI,quarter_code,isolate 1,path 1 MALDI final ID,Fix 1?,isolate 2,path 2 MALDI final ID,Fix 2?,isolate 3,path 3 MALDI final ID,Fix 3?,isolate 4,path 4 MALDI final ID,Fix 4?,clinical,blind,teat inj,pstmilking,mixed inf_series,dupmissing,IMI_series,hygiene_scorer_1,hygiene_1,hygiene_scorer_2,hygiene_2,cc 1,cc 2,cc 3,scc,contam,contam_comment,Dup_A_CFU_count,Dup_B_CFU_count,More_than_2_org_present
12.17.2019,first,BJ,10,720,RF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,3,c,2,,,,209000,,,,,
12.17.2019,first,BJ,11,727,LH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,3,,,,9000,,,,,
12.17.2019,first,BJ,11,727,LF,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,2,c,3,,,,51000,,,,,
12.17.2019,first,BJ,11,727,RH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,3,,,,15000,,,,,
12.17.2019,first,BJ,11,727,RF,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,2,c,3,,,,10000,,,,,
12.17.2019,first,BJ,12,693,LH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,4,c,4,,,,6000,,,,,
12.17.2019,first,BJ,12,693,LF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,4,c,4,,,,8000,,,,,
12.17.2019,first,BJ,12,693,RH,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,j,4,c,4,,,,5000,,,,,
12.17.2019,first,BJ,12,693,RF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,4,c,4,,,,4000,,,,,
12.17.2019,first,BJ,13,741,LH,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,2,c,2,,,,58000,,,,,
12.17.2019,first,BJ,13,741,LF,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,j,2,c,2,,,,14000,,,,,
12.17.2019,first,BJ,13,741,RH,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,2,c,2,,,,28000,,,,,
12.17.2019,first,BJ,13,741,RF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,,,,12000,,,,,
12.17.2019,first,BJ,14,749,LH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,3,c,3,,,,5000,,,,,
12.17.2019,first,BJ,14,749,LF,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,j,3,c,3,,,,6000,,,,,
12.17.2019,first,BJ,14,749,RH,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,j,3,c,3,,,,10000,,,,,
12.17.2019,first,BJ,14,749,RF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,3,c,3,,,,3000,,,,,
12.17.2019,first,BJ,15,733,LH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,c,2,,,,15000,,,,,
12.17.2019,first,BJ,15,733,LF,CNS,yes2,,,,,,,2,BJ012,Staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,1,c,2,,,,286000,,,16,19,
12.17.2019,first,BJ,15,733,RH,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,1,c,2,,,,14000,,,,,
12.17.2019,first,BJ,15,733,RF,SA,yes2,,,,,,,2,BJ013,Staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,j,1,c,2,,,,277000,,,12,3,
12.17.2019,first,BJ,16,738,LH,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,2,c,3,,,,10000,,,,,
12.17.2019,first,BJ,16,738,LF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,3,,,,3000,,,,,
12.17.2019,first,BJ,16,738,RH,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,2,c,3,,,,5000,,,,,
12.17.2019,first,BJ,16,738,RF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,3,,,,4000,,,,,
12.17.2019,first,BJ,17,753,LH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,4,c,4,,,,12000,,,,,
12.17.2019,first,BJ,17,753,LF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,4,c,4,,,,9000,,,,,
12.17.2019,first,BJ,17,753,RH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,4,c,4,,,,11000,,,,,
12.17.2019,first,BJ,17,753,RF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,4,c,4,,,,9000,,,,,
12.17.2019,first,BJ,18,701,LH,SA,yes2,SA,other18,,,,,2,BJ014,Staphylococcus aureus,,BJ015,Staphylococcus aureus,,,,,,,,,,,,no,,yes,j,2,c,2,,,,762000,,,4,19,
12.17.2019,first,BJ,18,701,LF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,,,,31000,,,,,
12.17.2019,first,BJ,18,701,RH,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,2,c,2,,,,98000,,,,,
12.17.2019,first,BJ,18,701,RF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,,,,139000,,,,,
12.17.2019,first,BJ,19,731,LH,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,j,3,c,3,,,,4000,,,,,
12.17.2019,first,BJ,19,731,LF,CNS,yes2,,,,,,,2,BJ016,Staphylococcus species,,,,,,,,,,,,,,,no,,yes,j,3,c,3,,,,1739000,,,50,50,
12.17.2019,first,BJ,19,731,RH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,3,c,3,,,,35000,,,,,
12.17.2019,first,BJ,19,731,RF,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,3,c,3,,,,3000,,,,,
12.17.2019,first,BJ,20,763,LH,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,j,1,c,2,,,,0,,,,,
12.17.2019,first,BJ,20,763,LF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,c,2,,,,3000,,,,,
12.17.2019,first,BJ,20,763,RH,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,j,1,c,2,,,,3000,,,,,
12.17.2019,first,BJ,20,763,RF,Micrococcus,yes2,,,,,,,2,BJ017,Micrococcus species,yes_from_CNS_to_Micrococcus,,,,,,,,,,,,,,no,,yes,j,1,c,2,,,,7000,,,11,3,
12.17.2019,first,BJ,21,697,LH,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,j,4,c,4,,,,9000,yes,,,,
12.17.2019,first,BJ,21,697,LF,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,j,4,c,4,,,,9000,yes,,,,
12.17.2019,first,BJ,21,697,RH,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,j,4,c,4,,,,5000,yes,50 col coryne,,,
12.17.2019,first,BJ,21,697,RF,,,,,,,,,14,,,,,,,,,,,,,,,,,,yes,,j,4,c,4,,,,7000,,,,,
12.17.2019,first,BJ,22,708,LH,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,j,4,c,4,,,,9000,,,,,
12.17.2019,first,BJ,22,708,LF,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,4,c,4,,,,13000,,,,,
12.17.2019,first,BJ,22,708,RH,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,j,4,c,4,,,,10000,,,,,
12.17.2019,first,BJ,22,708,RF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,4,c,4,,,,6000,,,,,
12.17.2019,first,BJ,23,744,LH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,3,,,,12000,,,,,
12.17.2019,first,BJ,23,744,LF,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,2,c,3,,,,9000,,,,,
12.17.2019,first,BJ,23,744,RH,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,2,c,3,,,,12000,,,,,
12.17.2019,first,BJ,23,744,RF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,3,,,,6000,,,,,
12.17.2019,first,BJ,24,675,LH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,c,1,,,,6000,,,,,
12.17.2019,first,BJ,24,675,LF,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,1,c,1,,,,15000,,,,,
12.17.2019,first,BJ,24,675,RH,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,1,c,1,,,,10000,,,,,
12.17.2019,first,BJ,24,675,RF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,c,1,,,,7000,,,,,
12.17.2019,first,BJ,25,745,LH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,3,c,3,,,,7000,,,,,
12.17.2019,first,BJ,25,745,LF,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,3,c,3,,,,4000,,,,,
12.17.2019,first,BJ,25,745,RH,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,j,3,c,3,,,,14000,,,,,
12.17.2019,first,BJ,25,745,RF,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,j,3,c,3,,,,6000,,,,,
12.17.2019,first,BJ,26,666,LH,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,j,2,c,2,,,,21000,yes,,,,
12.17.2019,first,BJ,26,666,LF,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,j,2,c,2,,,,44000,,,,,
12.17.2019,first,BJ,26,666,RH,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,2,c,2,,,,35000,,,,,
12.17.2019,first,BJ,26,666,RF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,,,,42000,,,,,
12.17.2019,first,BJ,27,730,LH,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,4,c,4,,,,75000,,,,,
12.17.2019,first,BJ,27,730,LF,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,j,4,c,4,,,,29000,,,,,
12.17.2019,first,BJ,27,730,RH,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,4,c,4,,,,44000,,,,,
12.17.2019,first,BJ,27,730,RF,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,4,c,4,,,,3000,,,,,
12.17.2019,first,BJ,28,713,LH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,c,2,,,,72000,,,,,
12.17.2019,first,BJ,28,713,LF,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,1,c,2,,,,100000,,,,,
12.17.2019,first,BJ,28,713,RH,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,j,1,c,2,,,,49000,,,,,
12.17.2019,first,BJ,28,713,RF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,c,2,,,,73000,,,,,
12.17.2019,first,BJ,29,722,LH,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,3,c,3,,,,5000,,,,,
12.17.2019,first,BJ,29,722,LF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,3,c,3,,,,5000,,,,,
12.17.2019,first,BJ,29,722,RH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,3,c,3,,,,3000,,,,,
12.17.2019,first,BJ,29,722,RF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,3,c,3,,,,2000,,,,,
12.17.2019,first,BJ,30,761,LH,CNS,yes2,CNS,other18,,,,,2,BJ018,Staphylococcus chromogenes,,BJ026,Staphylococcus chromogenes,,,,,,,,,,,,tbd,,yes,j,3,c,3,,,,246000,,,30,50,
12.17.2019,first,BJ,30,761,LF,Corynebac,other17,,,,,,,17,BJ019,Corynebacterium species,yes_from_CNS_to_Corynebac,,,,,,,,,,,,,,no,,no,j,3,c,3,,,,8000,,,20,0,
12.17.2019,first,BJ,30,761,RH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,3,c,3,,,,2000,,,,,
12.17.2019,first,BJ,30,761,RF,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,j,3,c,3,,,,6000,,,,,
12.17.2019,first,BJ,31,755,LH,Corynebac,yes2,,,,,,,2,BJ020,Corynebacterium casei,,,,,,,,,,,,,,,no,,yes,j,3,c,3,,,,8000,,,TNTC,TNTC,
12.17.2019,first,BJ,31,755,LF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,3,c,3,,,,10000,,,,,
12.17.2019,first,BJ,31,755,RH,Corynebac,yes2,,,,,,,2,BJ021,Corynebacterium variabile,yes_from_CNS_to_Corynebac,,,,,,,,,,,,,,no,,yes,j,3,c,3,,,,9000,,,TNTC,TNTC,
12.17.2019,first,BJ,31,755,RF,Corynebac,yes2,,,,,,,2,BJ022,Corynebacterium casei,yes_from_CNS_to_Corynebac,,,,,,,,,,,,,,no,,yes,j,3,c,3,,,,5000,,,TNTC,TNTC,
12.17.2019,first,BJ,32,664,LH,Corynebac,yes2,,,,,,,2,BJ023,Corynebacterium casei,yes_from_CNS_to_Corynebac,,,,,,,,,,,,,,no,,yes,j,3,c,4,,,,506000,,,TNTC,TNTC,
12.17.2019,first,BJ,32,664,LF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,3,c,4,,,,16000,,,,,
12.17.2019,first,BJ,32,664,RH,Corynebac,yes2,,,,,,,2,BJ024,Corynebacterium variabile,,,,,,,,,,,,,,,no,,yes,j,3,c,4,,,,14000,,,TNTC,TNTC,
12.17.2019,first,BJ,32,664,RF,Corynebac,yes2,,,,,,,2,BJ025,Corynebacterium variabile,,,,,,,,,,,,,,,no,,yes,j,3,c,4,,,,5000,,,10,TNTC,
12.17.2019,first,BJ,33,743,LH,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,2,c,3,,,,5000,,,,,
12.17.2019,first,BJ,33,743,LF,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,2,c,3,,,,2000,,,,,
12.17.2019,first,BJ,33,743,RH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,3,,,,5000,,,,,
12.17.2019,first,BJ,33,743,RF,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,2,c,3,,,,3000,,,,,
12.17.2019,first,BJ,34,748,LH,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,1,c,2,,,,13000,,,,,
12.17.2019,first,BJ,34,748,LF,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,1,c,2,,,,83000,,,,,
12.17.2019,first,BJ,34,748,RH,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,1,c,2,,,,20000,,,,,
12.17.2019,first,BJ,34,748,RF,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,1,c,2,,,,2000,,,,,
12.17.2019,first,BJ,35,685,LH,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,j,2,c,2,,,,9000,,,,,
12.17.2019,first,BJ,35,685,LF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,,,,9000,,,,,
12.17.2019,first,BJ,35,685,RH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,,,,8000,,,,,
12.17.2019,first,BJ,35,685,RF,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,2,c,2,,,,7000,,,,,
1.29.2020,second,BJ,1,757,LH,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,j,2,c,2,,,,9000,,,,,
1.29.2020,second,BJ,1,757,LF,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,2,c,2,,,,2000,,,,,
1.29.2020,second,BJ,1,757,RH,,,,,,,,,3,,,,,,,,,,,,,,,yes,,,,,j,2,c,2,,,,6000,,,,,
1.29.2020,second,BJ,1,757,RF,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,2,c,2,,,,2000,,,,,
1.29.2020,second,BJ,2,656,LH,Strep,yes27,SA,yes27,,,,,27,BJ027,Streptococcus uberis,,BJ028,Staphylococcus aureus,,,,,,,,,,,,yes,,yes,j,1,c,2,,,,810000,,,TNTC,TNTC,Yes
1.29.2020,second,BJ,2,656,LF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,c,2,,,,27000,,,,,
1.29.2020,second,BJ,2,656,RH,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,j,1,c,2,,,,17000,,,,,
1.29.2020,second,BJ,2,656,RF,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,1,c,2,,,,29000,,,,,
1.29.2020,second,BJ,3,585,LH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,c,1,,,,14000,,,,,
1.29.2020,second,BJ,3,585,LF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,c,1,,,,11000,,,,,
1.29.2020,second,BJ,3,585,RH,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,1,c,1,,,,14000,,,,,
1.29.2020,second,BJ,3,585,RF,CNS,yes2,,,,,,,2,BJ029,Staphylococcus haemolyticus,,,,,,,,,,,,,,,no,,yes,j,1,c,1,,,,940000,,,18,25,
1.29.2020,second,BJ,4,758,LH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,,,,22000,,,,,
1.29.2020,second,BJ,4,758,LF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,,,,7000,,,,,
1.29.2020,second,BJ,4,758,RH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,,,,8000,,,,,
1.29.2020,second,BJ,4,758,RF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,,,,4000,,,,,
1.29.2020,second,BJ,5,754,LH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,c,1,,,,14000,,,,,
1.29.2020,second,BJ,5,754,LF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,c,1,,,,5000,,,,,
1.29.2020,second,BJ,5,754,RH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,c,1,,,,5000,,,,,
1.29.2020,second,BJ,5,754,RF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,c,1,,,,4000,,,,,
1.29.2020,second,BJ,6,CB5,LH,CNS,yes2,,,,,,,2,BJ030,Staphylococcus species,,,,,,,,,,,,,,,no,,yes,j,3,c,3,,,,74000,,,28,8,
1.29.2020,second,BJ,6,CB5,LF,CNS,yes2,,,,,,,2,BJ031,Staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,3,c,3,,,,35000,,,31,11,
1.29.2020,second,BJ,6,CB5,RH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,3,c,3,,,,6000,,,,,
1.29.2020,second,BJ,6,CB5,RF,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,3,c,3,,,,46000,,,,,
1.29.2020,second,BJ,7,720,LH,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,1,c,1,,,,5000,,,,,
1.29.2020,second,BJ,7,720,LF,SA,yes2,,,,,,,2,BJ032,Staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,j,1,c,1,,,,650000,,,TNTC,15,
1.29.2020,second,BJ,7,720,RH,CNS,yes2,,,,,,,2,BJ033,Staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,1,c,1,,,,64000,,,14,TNTC,
1.29.2020,second,BJ,7,720,RF,SA,yes1,,,,,,,1,BJ034,Staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,j,1,c,1,,,,62000,,,1,4,yes
1.29.2020,second,BJ,8,719,LH,CNS,yes1,,,,,,,1,BJ035,Staphylococcus simulans,,,,,,,,,,,,,,,no,,yes,j,4,c,3,,,,120000,,,TNTC,8,yes
1.29.2020,second,BJ,8,719,LF,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,4,c,3,,,,23000,,,,,
1.29.2020,second,BJ,8,719,RH,Gramneg.noncoli,yes2,,,,,,,2,BJ036,Wautersiella falsenii,,,,,,,,,,,,,,,no,,yes,j,4,c,3,,,,42000,,,5,3,
1.29.2020,second,BJ,8,719,RF,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,j,4,c,3,,,,18000,,,,,
1.29.2020,second,BJ,9,716,LH,CNS,yes2,,,,,,,2,BJ037,Staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,2,c,1,,,,67000,,,23,30,
1.29.2020,second,BJ,9,716,LF,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,j,2,c,1,,,,6000,,,,,
1.29.2020,second,BJ,9,716,RH,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,1,,,,6000,,,,,
1.29.2020,second,BJ,9,716,RF,Corynebac,yes1,,,,,,,1,BJ038,Corynebacterium casei,,,,,,,,,,,,,,,no,,yes,j,2,c,1,,,,2000,,,4,8,yes
1.29.2020,second,BJ,10,670,LH,,,,,,,,,16,,,,,,,,,,,,,,yes,,,,,,j,1,c,1,,,,Not analyzed,,,,,
1.29.2020,second,BJ,10,670,LF,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,j,1,c,1,,,,23000,,,,,
1.29.2020,second,BJ,10,670,RH,Corynebac,yes2,,,,,,,2,BJ039,Corynebacterium variabile,,,,,,,,,,,,,,,no,,yes,j,1,c,1,,,,37000,,,30,1,
