Index,BarnName,Lact#,LastCalv,LeftHerdDate,LftDatReas,TD01_DIM,TD01_date,TD01_SCC,TD002DIM,TD02_date,TD002SCC,TD003DIM,TD03_date,TD003SCC,TD004DIM,TD004SCC,TD005DIM,TD005SCC,TD006DIM,TD006SCC,TD007DIM,TD007SCC,TD008DIM,TD008SCC,TD009DIM,TD009SCC,TD010DIM,TD010SCC
32,LOHA,1,10/27/2019,,,11,11/7/2019,1.1,38,12/4/2019,0.5,72,1/7/2020,0.9,101,0.7,131,0.1,191,1.1,225,0.5,256,1.3,282,0.1,,
33,LALUNE,1,8/5/2019,,,30,9/4/2019,0.1,60,10/4/2019,1,94,11/7/2019,0.6,121,0.5,155,0.9,184,1.7,214,0.9,274,0.5,,,,
34*,MINERVA,1,7/22/2019,6/20/2020,06/20/20 8,15,8/6/2019,2.3,44,9/4/2019,2.7,74,10/4/2019,2.7,108,2.8,135,3.3,169,0.9,198,3.1,228,2.2,288,2,322,2.3
35,KYRA,1,8/29/2019,,,6,9/4/2019,1.5,36,10/4/2019,2,70,11/7/2019,2.3,97,2.5,131,2.2,160,3,190,2,250,2.7,284,2.8,315,3.8
36,KWIKMIX,1,11/30/2019,,,4,12/4/2019,5.2,38,1/7/2020,0.1,67,2/5/2020,1.3,97,0.4,157,0.8,191,0.6,222,0.7,248,0.1,,,,
38,STILETO,1,1/12/2020,,,24,2/5/2020,1,54,3/6/2020,0.2,114,5/5/2020,0.8,148,0.7,179,0.5,205,1.1,,,,,,,,
39,LUPINE,1,2/7/2020,,,28,3/6/2020,0.7,88,5/5/2020,0.1,122,6/8/2020,1.1,153,0.6,179,1,,,,,,,,,,
41,CHEETO,1,1/18/2020,,,18,2/5/2020,6.2,48,3/6/2020,6.9,108,5/5/2020,5.4,142,3.3,173,2.7,199,5.3,,,,,,,,
42,OCTAVIA,1,11/11/2019,,,23,12/4/2019,1.1,57,1/7/2020,1.5,86,2/5/2020,0.6,116,1.3,176,0.3,210,0.2,241,0.1,267,0.1,,,,
45,GIBBY,1,2/22/2020,,,13,3/6/2020,0.9,73,5/5/2020,0.1,107,6/8/2020,1.7,138,0.3,164,0.1,,,,,,,,,,
53,VERA,1,5/30/2020,,,9,6/8/2020,2.3,40,7/9/2020,0.9,66,8/4/2020,0.3,,,,,,,,,,,,,,
190*,START,4,4/21/2018,2/25/2020,02/25/20 4,17,5/8/2018,0.1,49,6/9/2018,2.2,70,6/30/2018,1.4,98,1.7,138,1.7,165,1.7,198,1.4,228,2.7,259,2,291,2.5
250,GYN,8,1/23/2020,,,13,2/5/2020,5.8,43,3/6/2020,3,103,5/5/2020,2.7,137,3.3,168,2.8,194,3.6,,,,,,,,
262*,GINNY,5,4/7/2018,9/10/2019,09/10/19 4,1,4/8/2018,,31,5/8/2018,0.2,63,6/9/2018,0.7,84,0.4,112,1.6,152,1.6,179,2.5,212,3.6,242,4.2,273,4.4
267,SUNDAY,6,5/16/2020,,,23,6/8/2020,4.4,54,7/9/2020,2.9,80,8/4/2020,6.3,,,,,,,,,,,,,,
272*,GINGER,5,11/12/2017,5/29/2019,05/29/19 4,24,12/6/2017,1.7,57,1/8/2018,0.9,89,2/9/2018,1.2,113,4.6,147,2.6,177,2.4,209,3.1,230,4.2,258,3.6,298,2.9
276,FLOWER,6,2/19/2019,,,19,3/10/2019,6.3,45,4/5/2019,3.7,78,5/8/2019,6.1,106,5.2,143,4.1,168,4.2,197,1.2,227,1.4,261,1.3,288,1.3
277,FROLIC,8,1/27/2020,,,9,2/5/2020,5.7,39,3/6/2020,3,99,5/5/2020,0.4,133,2.2,164,1.2,190,2.1,,,,,,,,
278,SCRAPIE,5,9/8/2019,,,26,10/4/2019,4.3,60,11/7/2019,2.9,87,12/4/2019,1.4,121,3,150,2.5,180,3.7,240,2.3,274,1.8,305,2.1,331,0.9
291,SHANIA,7,7/27/2020,,,8,8/4/2020,7.3,,7/27/2020,,,7/27/2020,,,,,,,,,,,,,,,
313*,SAIGE,5,12/8/2019,3/23/2020,03/23/20 5,30,1/7/2020,5.7,59,2/5/2020,7.2,89,3/6/2020,6.4,,,,,,,,,,,,,,
314,SIMPLY,5,6/21/2019,,,21,7/12/2019,0.1,46,8/6/2019,0.1,75,9/4/2019,0.2,105,2.2,139,0.4,166,0.1,200,0.9,229,1.8,259,2,319,2.1
316*,GIZMO,5,7/5/2019,7/7/2019,07/07/19 5,,7/5/2019,,,7/5/2019,,,7/5/2019,,,,,,,,,,,,,,,
320*,KASEY,4,4/27/2019,11/10/2019,11/10/19 7,11,5/8/2019,3.8,39,6/5/2019,2.7,76,7/12/2019,3.8,101,5.3,130,3.7,160,6.3,194,6.1,,,,,,
321*,SHEENA,4,10/20/2018,3/6/2019,03/06/19 3,16,11/5/2018,1.2,46,12/5/2018,0.4,77,1/5/2019,1.1,109,1.3,,,,,,,,,,,,
323*,GABBY,2,1/24/2017,7/12/2019,07/12/19 4,30,2/23/2017,0.1,59,3/24/2017,0.1,86,4/20/2017,0.7,120,1.1,148,2.1,185,3.7,218,4.7,245,5.4,286,6.3,316,5.3
326,LIMERIK,5,1/14/2020,,,22,2/5/2020,2.8,52,3/6/2020,5.4,112,5/5/2020,1.3,146,0.2,177,0.9,203,0.5,,,,,,,,
330*,GENIE,4,9/23/2019,11/10/2019,11/10/19 7,11,10/4/2019,8.2,45,11/7/2019,7.8,,9/23/2019,,,,,,,,,,,,,,,
338,SAPHIRE,5,11/18/2019,,,16,12/4/2019,3,50,1/7/2020,1.5,79,2/5/2020,2.7,109,3.4,169,5.6,203,4.7,234,6.1,260,4.9,,,,
354*,GUPPY,3,2/24/2019,8/13/2019,08/13/19 5,14,3/10/2019,1,40,4/5/2019,1.1,73,5/8/2019,2.1,101,1.2,138,0.6,163,1.4,,,,,,,,
360,SOCHI,3,7/5/2020,,,4,7/9/2020,7,30,8/4/2020,0.1,,7/5/2020,,,,,,,,,,,,,,,
362,GUANA,4,10/25/2019,,,13,11/7/2019,3.4,40,12/4/2019,1.9,74,1/7/2020,2.7,103,2.2,133,0.9,193,0.9,227,2.1,258,1,284,1.2,,
363,FARRAH,3,12/4/2019,,,34,1/7/2020,3,63,2/5/2020,4.2,93,3/6/2020,3.1,153,3.7,187,3.9,218,3.4,244,4,,,,,,
371,FACEBOK,3,3/8/2019,,,2,3/10/2019,,28,4/5/2019,3.2,61,5/8/2019,0.1,89,0.9,126,0.1,151,0.1,180,0.9,210,0.5,244,0.5,271,0.1
374*,KOOLAID,4,3/13/2020,6/20/2020,06/20/20 7,53,5/5/2020,6.1,87,6/8/2020,8,,3/13/2020,,,,,,,,,,,,,,,
375,SHEILA,4,7/20/2020,,,15,8/4/2020,2.9,,7/20/2020,,,7/20/2020,,,,,,,,,,,,,,,
377,SWALLOW,3,9/19/2019,,,15,10/4/2019,0.1,49,11/7/2019,1.7,76,12/4/2019,0.2,110,0.1,139,1,169,1.2,229,2.6,263,3.6,294,2.9,320,1.7
379,GIFT,3,6/20/2019,,,22,7/12/2019,2.9,47,8/6/2019,2.3,76,9/4/2019,3.3,106,2.4,140,2.6,167,3.1,201,2.6,230,3.2,260,7.7,320,3.2
380*,PATRON,2,8/10/2018,3/11/2019,03/11/19 4,27,9/6/2018,2.7,54,10/3/2018,1.8,87,11/5/2018,2.8,117,2.8,148,2.6,180,3.6,212,9.1,,,,,,
382*,MARNEY,3,7/30/2019,5/26/2020,05/26/20 7,7,8/6/2019,4.5,36,9/4/2019,5.8,66,10/4/2019,5,100,5,127,5.5,161,5.2,190,4.9,220,6.9,280,5.7,,
384*,LAJOY,2,1/14/2019,3/6/2019,03/06/19 5,23,2/6/2019,3.8,,1/14/2019,,,1/14/2019,,,,,,,,,,,,,,,
390*,FATIMA,2,8/27/2018,10/15/2019,10/15/19 7,10,9/6/2018,4.5,37,10/3/2018,7.5,70,11/5/2018,8,100,8.1,131,6,163,6,195,6.5,221,4.4,254,6.8,282,7.6
391,STAMINA,3,1/4/2020,,,3,1/7/2020,,32,2/5/2020,0.7,62,3/6/2020,0.1,122,0.2,156,0.4,187,1.8,213,0.1,,,,,,
392*,CIRCUIT,2,11/5/2018,4/18/2019,04/18/19 7,30,12/5/2018,0.1,61,1/5/2019,0.1,93,2/6/2019,4.5,125,6.3,151,7.8,,,,,,,,,,
493,OREO,2,2/14/2020,,,21,3/6/2020,5.8,81,5/5/2020,5.2,115,6/8/2020,2.4,146,4.8,172,4.8,,,,,,,,,,
529,GRACE,2,4/8/2020,,,27,5/5/2020,1,61,6/8/2020,0.1,92,7/9/2020,0.1,118,0.1,,,,,,,,,,,,
557,CORRINE,1,3/21/2020,,,11,4/1/2020,5,45,5/5/2020,7.5,79,6/8/2020,1.9,110,2,136,1.3,,,,,,,,,,
558,LAURA,1,11/7/2019,,,27,12/4/2019,0.1,61,1/7/2020,0.1,90,2/5/2020,1.2,120,0.1,180,0.3,214,1.4,245,1,271,0.9,,,,
559,GIGI,1,1/10/2020,,,26,2/5/2020,7.3,56,3/6/2020,6.1,116,5/5/2020,7.6,150,6.6,181,7.4,207,7.3,,,,,,,,
567,HERSHEY,1,4/4/2020,,,31,5/5/2020,1.9,65,6/8/2020,0.4,96,7/9/2020,0.3,122,2.7,,,,,,,,,,,,
1140,GERM,4,11/4/2019,,,3,11/7/2019,4.4,30,12/4/2019,1.6,64,1/7/2020,2.9,93,1.5,123,1.4,183,1.9,217,1.7,248,1.3,274,0.7,,
1149,KESHA,2,5/24/2020,,,15,6/8/2020,2,46,7/9/2020,0.1,72,8/4/2020,0.1,,,,,,,,,,,,,,
7244,GRAY,3,5/8/2020,,,31,6/8/2020,2.8,62,7/9/2020,1.8,88,8/4/2020,2.6,,,,,,,,,,,,,,
7245*,GIG,2,6/29/2019,7/7/2019,07/07/19 6,,6/29/2019,,,6/29/2019,,,6/29/2019,,,,,,,,,,,,,,,
7514*,GARBNZO,1,1/24/2019,10/15/2019,10/15/19 5,13,2/6/2019,8.2,45,3/10/2019,5.9,71,4/5/2019,0.1,104,0.1,132,0.1,169,0.1,194,1.1,223,0.1,253,3.6,,
