Index,BarnName,Lact#,Milk,PrvMilk,SCCS,PrvSCCS,SCCAct,PrvSCCAct,PrvLctLastSCCS,PrvLctLstSCCAct,DIM_Tst,LastCalv,Stat,DateDue,Proj305MEM
375,SHEILA,3,60.8,72.7,2,2.2,50,57,3.4,132,188,7/3/2019,2,17-Jul,20485
314,SIMPLY,5,79.8,89.8,0.9,0.1,23,13,3.8,174,200,6/21/2019,2,13-Jun,27794
391,STAMINA,3,,,,,,,1.8,44,3,1/4/2020,2,,
377,SWALLOW,3,67.1,72.7,0.1,0.2,13,14,1.4,33,110,9/19/2019,2,,19158
6,VIDA,2,58.9,66.3,1.8,0.9,44,23,1.7,41,156,8/4/2019,2,11-Oct,19587
277,FROLIC,7,,,,,,,4.3,246,257,1/22/2019,1,1-Feb,20190
22,GRONKSK,1,51.7,51.3,0.7,0.9,20,23,,,299,3/14/2019,6,5-Jul,25550
7244,GRAY,2,58,68.4,0.1,0.1,13,13,0.7,20,303,3/10/2019,2,6-May,26860
371,FACEBOK,3,51.7,59.9,0.1,0.1,13,13,1.4,33,305,3/8/2019,2,31-Aug,24012
276,FLOWER,6,61.7,77,1.3,1.3,31,31,4.5,283,322,2/19/2019,2,13-Sep,25845
374,KOOLAID,3,36.3,49.2,2.4,2.1,66,54,0.7,20,345,1/27/2019,2,15-Mar,23490
18,HELENA,1,43.5,47,2.8,4,87,200,,,358,1/14/2019,6,3-Mar,20405
11,KITTEN,1,,40.6,,1.4,,33,,,378,11/22/2018,1,20-Jan,23662
17,KOALA,1,,,,,,,,,378,11/18/2018,1,25-Jan,24487
267,SUNDAY,5,50.8,64.2,0.5,0.2,18,14,1.6,38,378,12/25/2018,2,12-May,24422
5,PEPERE,2,,47,,2.5,,71,2.3,62,399,11/11/2018,1,15-Feb,27366
20,SOCRATE,1,,34.2,,0.6,,19,,,399,11/22/2018,1,29-Mar,22682
4,LELO,2,36.3,48.1,0.4,0.1,17,13,1.4,33,405,11/28/2018,2,24-Mar,28095
360,SOCHI,2,58,66.3,0.5,1.4,18,33,0.2,14,441,10/23/2018,2,7-Jul,24666
10,LAUREN,1,47.1,55.6,0.7,0.3,20,15,,,449,10/15/2018,6,21-Sep,22842
250,GYN,7,,,,,,,3.1,107,462,7/1/2018,1,13-Feb,23648
326,LIMERIK,4,,,,,,,2.6,76,468,7/30/2018,1,11-Jan,25092
8,GUMMY,1,30.8,44.9,2.4,1.2,66,29,,,502,8/23/2018,6,27-Sep,22780
16,SUE,1,36.3,36.3,2.7,2.7,81,81,,,515,8/10/2018,6,7-Aug,21734
7,LIKNESS,1,53.5,42.8,3.5,4.7,141,325,,,516,8/9/2018,6,12-Aug,23973
190,START,4,11.7,37.4,4.1,2.3,214,62,2.5,71,626,4/21/2018,2,22-Apr,23050
493,OREO,1,,,,,,,,,628,12/21/2017,1,12-Feb,26172
1149,KESHA,1,38.1,42.8,2.4,2.5,66,71,,,877,8/13/2017,6,6-May,25004
