cow_id_quarter,first_date,first_visit,first_farm,first_order,first_path_1,first_path1_IMI,first_path_2,first_path2_IMI,first_path_3,first_path3_IMI,first_path_4,first_path4_IMI,first_quarter_code,first_isolate_1,first_isolate_2,first_isolate_3,first_isolate_4,first_clinical,first_blind,first_teatinj,first_pstmilking,first_mixed_inf_series,first_dup_not_collected,first_IMI_series,first_hygiene_1,first_hygiene_2,first_cc_1,first_cc_2,first_cc_3,first_scc,first_scc_200k,first_contam,first_contam_comment,first_uniqueID,second_date,second_visit,second_farm,second_order,second_path_1,second_path1_IMI,second_path_2,second_path2_IMI,second_path_3,second_path3_IMI,second_path_4,second_path4_IMI,second_quarter_code,second_isolate_1,second_isolate_2,second_isolate_3,second_isolate_4,second_clinical,second_blind,second_teatinj,second_pstmilking,second_mixed_inf_series,second_dup_not_collected,second_IMI_series,second_hygiene_1,second_hygiene_2,second_cc_1,second_cc_2,second_cc_3,second_scc,second_scc_200k,second_contam,second_contam_comment,second_uniqueID,third_date,third_visit,third_farm,third_order,third_path_1,third_path1_IMI,third_path_2,third_path2_IMI,third_path_3,third_path3_IMI,third_path_4,third_path4_IMI,third_quarter_code,third_isolate_1,third_isolate_2,third_isolate_3,third_isolate_4,third_clinical,third_blind,third_teatinj,third_pstmilking,third_mixed_inf_series,third_dup_not_collected,third_IMI_series,third_hygiene_1,third_hygiene_2,third_cc_1,third_cc_2,third_cc_3,third_scc,third_scc_200k,third_contam,third_contam_comment,third_uniqueID,fourth_date,fourth_visit,fourth_farm,fourth_order,fourth_path_1,fourth_path1_IMI,fourth_path_2,fourth_path2_IMI,fourth_path_3,fourth_path3_IMI,fourth_path_4,fourth_path4_IMI,fourth_quarter_code,fourth_isolate_1,fourth_isolate_2,fourth_isolate_3,fourth_isolate_4,fourth_clinical,fourth_blind,fourth_teatinj,fourth_pstmilking,fourth_mixed_inf_series,fourth_dup_not_collected,fourth_IMI_series,fourth_hygiene_1,fourth_hygiene_2,fourth_cc_1,fourth_cc_2,fourth_cc_3,fourth_scc,fourth_scc_200k,fourth_contam,fourth_contam_comment,fourth_uniqueID
applecore_Butterworks_LH,1.2.2020,first,Butterworks,30,sa,yes2,,,,,,,2,BW056,,,,,,,,no,,yes,NA,NA,NA,NA,NA,8900000,yes,,,applecore_Butterworks_LH,2.4.2020,second,Butterworks,33,sa,yes2,,,,,,,2,BW108,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1100000,yes,,,applecore_Butterworks_LH,3.3.2020,third,Butterworks,33,sa,yes2,,,,,,,2,BW156,,,,,,,,no,,yes,NA,NA,NA,NA,NA,190000,no,,,applecore_Butterworks_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,applecore_Butterworks_LH_fourth
lilac_Butterworks_RH,1.2.2020,first,Butterworks,32,sa,yes2,,,,,,,2,BW062,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3700000,yes,,,lilac_Butterworks_RH,2.4.2020,second,Butterworks,32,sa,yes2,,,,,,,2,BW107,,,,,,,,no,,yes,NA,NA,NA,NA,NA,6800000,yes,,,lilac_Butterworks_RH,3.3.2020,third,Butterworks,35,sa,yes2,,,,,,,2,BW162,,,,,,,,no,,yes,NA,NA,NA,NA,NA,810000,yes,,,lilac_Butterworks_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lilac_Butterworks_RH_fourth
peace_Butterworks_LF,1.2.2020,first,Butterworks,28,sa,yes2,,,,,,,2,BW051,,,,,,,,no,,yes,NA,NA,NA,NA,NA,350000,yes,,,peace_Butterworks_LF,2.4.2020,second,Butterworks,29,sa,yes2,sa,other18,,,,,2,BW102,BW103,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000000,yes,,,peace_Butterworks_LF,3.3.2020,third,Butterworks,28,sa,yes2,,,,,,,2,BW151,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1000000,yes,,,peace_Butterworks_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,peace_Butterworks_LF_fourth
56_Choiniere_LF,12.11.2019,first,Choiniere,26,cns,yes2,,,,,,,2,CF047,,,,,,,,no,,yes,NA,NA,NA,NA,NA,87000,no,,,56_Choiniere_LF,1.21.2020,second,Choiniere,34,cns,yes2,,,,,,,2,CF131,,,,,,,,no,,yes,NA,NA,NA,NA,NA,34000,no,,,56_Choiniere_LF,2.17.2020,third,Choiniere,2,cns,yes2,,,,,,,2,CF136,,,,,,,,no,,yes,NA,NA,NA,NA,NA,270000,yes,,,56_Choiniere_LF,3.16.2020,fourth,Choiniere,36,cns,yes2,,,,,,,2,CF244,,,,,,,yes,no,,yes,NA,NA,NA,NA,NA,240000,yes,,,56_Choiniere_LF_fourth
69_Choiniere_RH,12.11.2019,first,Choiniere,3,cns,yes2,,,,,,,2,CF004,,,,,,,,no,,yes,NA,NA,NA,NA,NA,310000,yes,,,69_Choiniere_RH,1.21.2020,second,Choiniere,8,cns,yes2,,,,,,,2,CF093,,,,,,,,no,,yes,NA,NA,NA,NA,NA,210000,yes,,,69_Choiniere_RH,2.17.2020,third,Choiniere,4,cns,yes2,,,,,,,2,CF138,,,,,,,,no,,yes,NA,NA,NA,NA,NA,180000,no,,,69_Choiniere_RH,3.16.2020,fourth,Choiniere,32,cns,yes2,,,,,,,2,CF235,,,,,,,,no,,yes,NA,NA,NA,NA,NA,39000,no,,,69_Choiniere_RH_fourth
4_Choiniere_RF,12.11.2019,first,Choiniere,21,corynebac,yes2,,,,,,,2,CF044,,,,,,,,no,,yes,NA,NA,NA,NA,NA,4000,no,,,4_Choiniere_RF,1.21.2020,second,Choiniere,15,corynebac,yes2,,,,,,,2,CF100,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,no,,,4_Choiniere_RF,2.17.2020,third,Choiniere,16,corynebac,yes1,,,,,,,1,CF156,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3000,no,,,4_Choiniere_RF,3.16.2020,fourth,Choiniere,34,corynebac,yes2,,,,,,,2,CF243,,,,,,,,no,,yes,NA,NA,NA,NA,NA,5000,no,,,4_Choiniere_RF_fourth
17_Choiniere_LF,12.11.2019,first,Choiniere,18,sa,yes2,,,,,,,2,CF037,,,,,,,,no,,yes,NA,NA,NA,NA,NA,334000,yes,,,17_Choiniere_LF,1.21.2020,second,Choiniere,2,sa,yes2,,,,,,,2,CF082,,,,,,,,no,,yes,NA,NA,NA,NA,NA,990000,yes,,,17_Choiniere_LF,2.17.2020,third,Choiniere,5,sa,yes2,,,,,,,2,CF139,,,,,,,,no,,yes,NA,NA,NA,NA,NA,490000,yes,,,17_Choiniere_LF,3.16.2020,fourth,Choiniere,16,sa,yes2,,,,,,,2,CF213,,,,,,,,no,,yes,NA,NA,NA,NA,NA,420000,yes,,,17_Choiniere_LF_fourth
17_Choiniere_RH,12.11.2019,first,Choiniere,18,sa,yes2,,,,,,,2,CF038,,,,,,,,no,,yes,NA,NA,NA,NA,NA,656000,yes,,,17_Choiniere_RH,1.21.2020,second,Choiniere,2,sa,yes2,,,,,,,2,CF083,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1400000,yes,,,17_Choiniere_RH,2.17.2020,third,Choiniere,5,sa,yes2,,,,,,,2,CF140,,,,,,,,no,,yes,NA,NA,NA,NA,NA,1200000,yes,,,17_Choiniere_RH,3.16.2020,fourth,Choiniere,16,sa,yes2,,,,,,,2,CF214,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3000000,yes,,,17_Choiniere_RH_fourth
42_Glennview_LF,1.14.2020,first,Glennview,27,cns,yes2,,,,,,,2,GV039,,,,,,,,no,,yes,NA,NA,NA,NA,NA,310000,yes,,,42_Glennview_LF,2.19.2020,second,Glennview,18,cns,yes2,,,,,,,2,GV073,,,,,,,,no,,yes,NA,NA,NA,NA,NA,160000,no,,,42_Glennview_LF,3.19.2020,third,Glennview,10,cns,yes2,,,,,,,2,GV117,,,,,,,,no,,yes,NA,NA,NA,NA,NA,120000,no,,,42_Glennview_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42_Glennview_LF_fourth
193_Glennview_RF,1.14.2020,first,Glennview,10,corynebac,yes1,,,,,,,1,GV022,,,,,,,,no,,yes,NA,NA,NA,NA,NA,3000,no,,,193_Glennview_RF,2.19.2020,second,Glennview,7,corynebac,yes1,,,,,,,1,GV058,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,no,,,193_Glennview_RF,3.19.2020,third,Glennview,4,corynebac,yes1,,,,,,,1,GV105,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,no,,,193_Glennview_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193_Glennview_RF_fourth
169_Glennview_RF,1.14.2020,first,Glennview,23,sa,yes2,,,,,,,2,GV033,,,,,,,,no,,yes,NA,NA,NA,NA,NA,44000,no,,,169_Glennview_RF,2.19.2020,second,Glennview,27,sa,yes2,,,,,,,2,GV086,,,,,,,,no,,yes,NA,NA,NA,NA,NA,96000,no,,,169_Glennview_RF,3.19.2020,third,Glennview,34,sa,yes2,,,,,,,2,GV156,,,,,,,,no,,yes,NA,NA,NA,NA,NA,42000,no,,,169_Glennview_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169_Glennview_RF_fourth
amarillo_Lynd_RF,12.19.2019,first,Lynd,15,cns,yes2,,,,,,,2,LF021,,,,,,,,no,,yes,NA,NA,NA,NA,NA,88000,no,,,amarillo_Lynd_RF,1.30.2020,second,Lynd,12,cns,yes2,,,,,,,2,LF062,,,,,,,,no,,yes,NA,NA,NA,NA,NA,310000,yes,,,amarillo_Lynd_RF,3.5.2020,third,Lynd,13,cns,yes2,,,,,,,2,LF104,,,,,,,,no,,yes,NA,NA,NA,NA,NA,150000,no,,,amarillo_Lynd_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,amarillo_Lynd_RF_fourth
ambrosia_Lynd_LH,12.19.2019,first,Lynd,4,cns,yes2,,,,,,,2,LF005,,,,,,,,no,,yes,NA,NA,NA,NA,NA,71000,no,,,ambrosia_Lynd_LH,1.30.2020,second,Lynd,2,cns,yes2,,,,,,,2,LF047,,,,,,,,no,,yes,NA,NA,NA,NA,NA,110000,no,,,ambrosia_Lynd_LH,3.5.2020,third,Lynd,10,cns,yes2,,,,,,,2,LF101,,,,,,,,no,,yes,NA,NA,NA,NA,NA,91000,no,,,ambrosia_Lynd_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ambrosia_Lynd_LH_fourth
jitterbug_Lynd_RH,12.19.2019,first,Lynd,11,cns,yes2,,,,,,,2,LF014,,,,,,,,no,,yes,NA,NA,NA,NA,NA,40000,no,,,jitterbug_Lynd_RH,1.30.2020,second,Lynd,21,cns,yes2,,,,,,,2,LF075,,,,,,,,no,,yes,NA,NA,NA,NA,NA,120000,no,,,jitterbug_Lynd_RH,3.5.2020,third,Lynd,1,cns,yes1,,,,,,,1,LF090,,,,,,,,no,,yes,NA,NA,NA,NA,NA,170000,no,,,jitterbug_Lynd_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jitterbug_Lynd_RH_fourth
kowabunga_Lynd_RF,12.19.2019,first,Lynd,13,cns,yes2,,,,,,,2,LF017,,,,,,,,no,,yes,NA,NA,NA,NA,NA,55000,no,,,kowabunga_Lynd_RF,1.30.2020,second,Lynd,14,cns,yes2,,,,,,,2,LF064,,,,,,,,no,,yes,NA,NA,NA,NA,NA,420000,yes,,,kowabunga_Lynd_RF,3.5.2020,third,Lynd,5,cns,yes2,,,,,,,2,LF097,,,,,,,,no,,yes,NA,NA,NA,NA,NA,160000,no,,,kowabunga_Lynd_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kowabunga_Lynd_RF_fourth
ladyfinger_Lynd_RH,12.19.2019,first,Lynd,18,cns,yes2,,,,,,,2,LF024,,,,,,,,no,,yes,NA,NA,NA,NA,NA,68000,no,,,ladyfinger_Lynd_RH,1.30.2020,second,Lynd,9,cns,yes2,,,,,,,2,LF058,,,,,,,,no,,yes,NA,NA,NA,NA,NA,82000,no,,,ladyfinger_Lynd_RH,3.5.2020,third,Lynd,26,cns,yes2,,,,,,,2,LF119,,,,,,,,no,,yes,NA,NA,NA,NA,NA,81000,no,,,ladyfinger_Lynd_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ladyfinger_Lynd_RH_fourth
licorice_Lynd_RH,12.19.2019,first,Lynd,10,cns,yes2,,,,,,,2,LF012,,,,,,,,no,,yes,NA,NA,NA,NA,NA,63000,no,,,licorice_Lynd_RH,1.30.2020,second,Lynd,30,cns,yes2,,,,,,,2,LF081,,,,,,,,no,,yes,NA,NA,NA,NA,NA,70000,no,,,licorice_Lynd_RH,3.5.2020,third,Lynd,14,cns,yes2,,,,,,,2,LF105,,,,,,,,no,,yes,NA,NA,NA,NA,NA,73000,no,,,licorice_Lynd_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,licorice_Lynd_RH_fourth
amarillo_Lynd_LH,12.19.2019,first,Lynd,15,strep,yes2,,,,,,,2,LF019,,,,,,,,no,,yes,NA,NA,NA,NA,NA,61000,no,,,amarillo_Lynd_LH,1.30.2020,second,Lynd,12,strep,yes2,,,,,,,2,LF061,,,,,,,,no,,yes,NA,NA,NA,NA,NA,180000,no,,,amarillo_Lynd_LH,3.5.2020,third,Lynd,13,strep,yes2,,,,,,,2,LF103,,,,,,,,no,,yes,NA,NA,NA,NA,NA,190000,no,,,amarillo_Lynd_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,amarillo_Lynd_LH_fourth
zsazsa_Lynd_RH,12.19.2019,first,Lynd,34,strep,yes2,,,,,,,2,LF039,,,,,,,,no,,yes,NA,NA,NA,NA,NA,146000,no,,,zsazsa_Lynd_RH,1.30.2020,second,Lynd,10,strep,yes2,,,,,,,2,LF059,,,,,,,,no,,yes,NA,NA,NA,NA,NA,380000,yes,,,zsazsa_Lynd_RH,3.5.2020,third,Lynd,12,strep,yes2,,,,,,,2,LF102,,,,,,,,no,,yes,NA,NA,NA,NA,NA,350000,yes,,,zsazsa_Lynd_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,zsazsa_Lynd_RH_fourth
kandykorn_OughtaBe_LF,1.3.2020,first,OughtaBe,16,cns,yes1,,,,,,,1,OB022,,,,,,,,no,,yes,NA,NA,NA,NA,NA,43000,no,,,kandykorn_OughtaBe_LF,2.14.2020,second,OughtaBe,14,cns,yes2,,,,,,,2,OB071,,,,,,,,no,,yes,NA,NA,NA,NA,NA,110000,no,,,kandykorn_OughtaBe_LF,3.12.2020,third,OughtaBe,16,cns,yes2,,,,,,,2,OB134,,,,,,,,no,,yes,NA,NA,NA,NA,NA,29000,no,,,kandykorn_OughtaBe_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kandykorn_OughtaBe_LF_fourth
kit_OughtaBe_LH,1.3.2020,first,OughtaBe,2,cns,yes2,,,,,,,2,OB002,,,,,,,,no,,yes,NA,NA,NA,NA,NA,290000,yes,,,kit_OughtaBe_LH,2.14.2020,second,OughtaBe,3,cns,yes2,,,,,,,2,OB059,,,,,,,,no,,yes,NA,NA,NA,NA,NA,320000,yes,,,kit_OughtaBe_LH,3.12.2020,third,OughtaBe,5,cns,yes2,cns,other18,,,,,2,OB112,OB168,,,,,,,tbd,,yes,NA,NA,NA,NA,NA,120000,no,,,kit_OughtaBe_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kit_OughtaBe_LH_fourth
