cow_id_quarter,first_date,first_visit,first_farm,first_order,first_path_1,first_path1_IMI,first_path_2,first_path2_IMI,first_path_3,first_path3_IMI,first_path_4,first_path4_IMI,first_quarter_code,first_isolate_1,first_isolate_2,first_isolate_3,first_isolate_4,first_clinical,first_blind,first_teatinj,first_pstmilking,first_mixed_inf_series,first_dup_not_collected,first_IMI_series,first_hygiene_1,first_hygiene_2,first_cc_1,first_cc_2,first_cc_3,first_scc,first_contam,first_contam_comment,first_uniqueID,second_date,second_visit,second_farm,second_order,second_path_1,second_path1_IMI,second_path_2,second_path2_IMI,second_path_3,second_path3_IMI,second_path_4,second_path4_IMI,second_quarter_code,second_isolate_1,second_isolate_2,second_isolate_3,second_isolate_4,second_clinical,second_blind,second_teatinj,second_pstmilking,second_mixed_inf_series,second_dup_not_collected,second_IMI_series,second_hygiene_1,second_hygiene_2,second_cc_1,second_cc_2,second_cc_3,second_scc,second_contam,second_contam_comment,second_uniqueID,third_date,third_visit,third_farm,third_order,third_path_1,third_path1_IMI,third_path_2,third_path2_IMI,third_path_3,third_path3_IMI,third_path_4,third_path4_IMI,third_quarter_code,third_isolate_1,third_isolate_2,third_isolate_3,third_isolate_4,third_clinical,third_blind,third_teatinj,third_pstmilking,third_mixed_inf_series,third_dup_not_collected,third_IMI_series,third_hygiene_1,third_hygiene_2,third_cc_1,third_cc_2,third_cc_3,third_scc,third_contam,third_contam_comment,third_uniqueID,fourth_date,fourth_visit,fourth_farm,fourth_order,fourth_path_1,fourth_path1_IMI,fourth_path_2,fourth_path2_IMI,fourth_path_3,fourth_path3_IMI,fourth_path_4,fourth_path4_IMI,fourth_quarter_code,fourth_isolate_1,fourth_isolate_2,fourth_isolate_3,fourth_isolate_4,fourth_clinical,fourth_blind,fourth_teatinj,fourth_pstmilking,fourth_mixed_inf_series,fourth_dup_not_collected,fourth_IMI_series,fourth_hygiene_1,fourth_hygiene_2,fourth_cc_1,fourth_cc_2,fourth_cc_3,fourth_scc,fourth_contam,fourth_contam_comment,fourth_uniqueID,first_scc_200k,second_scc_200k,third_scc_200k,fourth_scc_200k
rhubarb_Butterworks_RH,1.2.2020,first,Butterworks,13,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,3000,,,rhubarb_Butterworks_RH,2.4.2020,second,Butterworks,11,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,5000,,,rhubarb_Butterworks_RH,3.3.2020,third,Butterworks,11,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,2000,,,rhubarb_Butterworks_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rhubarb_Butterworks_RH_fourth,no,no,no,NA
nona_Butterworks_RH,1.2.2020,first,Butterworks,15,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,40000,,,nona_Butterworks_RH,2.4.2020,second,Butterworks,17,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,43000,,,nona_Butterworks_RH,3.3.2020,third,Butterworks,18,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,34000,,,nona_Butterworks_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nona_Butterworks_RH_fourth,no,no,no,NA
mustard_Butterworks_LF,1.2.2020,first,Butterworks,16,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,36000,,,mustard_Butterworks_LF,2.4.2020,second,Butterworks,15,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,23000,,,mustard_Butterworks_LF,3.3.2020,third,Butterworks,15,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,5000,,,mustard_Butterworks_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mustard_Butterworks_LF_fourth,no,no,no,NA
199_Glennview_LF,1.14.2020,first,Glennview,11,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,8000,,,199_Glennview_LF,2.19.2020,second,Glennview,32,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,4000,,,199_Glennview_LF,3.19.2020,third,Glennview,2,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,2000,,,199_Glennview_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199_Glennview_LF_fourth,no,no,no,NA
80_Glennview_LF,1.14.2020,first,Glennview,13,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,6000,,,80_Glennview_LF,2.19.2020,second,Glennview,11,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,8000,,,80_Glennview_LF,3.19.2020,third,Glennview,18,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,12000,,,80_Glennview_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80_Glennview_LF_fourth,no,no,no,NA
80_Glennview_LH,1.14.2020,first,Glennview,13,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,4000,,,80_Glennview_LH,2.19.2020,second,Glennview,11,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,7000,,,80_Glennview_LH,3.19.2020,third,Glennview,18,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,6000,,,80_Glennview_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80_Glennview_LH_fourth,no,no,no,NA
185_Glennview_LF,1.14.2020,first,Glennview,17,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,10000,,,185_Glennview_LF,2.19.2020,second,Glennview,25,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,8000,,,185_Glennview_LF,3.19.2020,third,Glennview,19,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,19000,,,185_Glennview_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185_Glennview_LF_fourth,no,no,no,NA
mustache_Lynd_LH,12.19.2019,first,Lynd,7,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,6000,,,mustache_Lynd_LH,1.30.2020,second,Lynd,7,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,10000,,,mustache_Lynd_LH,3.5.2020,third,Lynd,8,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,8000,,,mustache_Lynd_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mustache_Lynd_LH_fourth,no,no,no,NA
mustache_Lynd_RH,12.19.2019,first,Lynd,7,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,4000,,,mustache_Lynd_RH,1.30.2020,second,Lynd,7,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,9000,,,mustache_Lynd_RH,3.5.2020,third,Lynd,8,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,8000,,,mustache_Lynd_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mustache_Lynd_RH_fourth,no,no,no,NA
jitterbug_Lynd_LF,12.19.2019,first,Lynd,11,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,6000,,,jitterbug_Lynd_LF,1.30.2020,second,Lynd,21,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,9000,,,jitterbug_Lynd_LF,3.5.2020,third,Lynd,1,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,28000,,,jitterbug_Lynd_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jitterbug_Lynd_LF_fourth,no,no,no,NA
luxurytax_Lynd_RF,12.19.2019,first,Lynd,16,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,13000,,,luxurytax_Lynd_RF,1.30.2020,second,Lynd,4,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,17000,,,luxurytax_Lynd_RF,3.5.2020,third,Lynd,27,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,21000,,,luxurytax_Lynd_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,luxurytax_Lynd_RF_fourth,no,no,no,NA
ladyfinger_Lynd_LF,12.19.2019,first,Lynd,18,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,2000,,,ladyfinger_Lynd_LF,1.30.2020,second,Lynd,9,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,12000,,,ladyfinger_Lynd_LF,3.5.2020,third,Lynd,26,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,10000,,,ladyfinger_Lynd_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ladyfinger_Lynd_LF_fourth,no,no,no,NA
fresno_Lynd_RH,12.19.2019,first,Lynd,24,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,8000,,,fresno_Lynd_RH,1.30.2020,second,Lynd,36,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,5000,,,fresno_Lynd_RH,3.5.2020,third,Lynd,34,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,13000,,,fresno_Lynd_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fresno_Lynd_RH_fourth,no,no,no,NA
leap_Lynd_RH,12.19.2019,first,Lynd,28,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,5000,,,leap_Lynd_RH,1.30.2020,second,Lynd,11,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,5000,,,leap_Lynd_RH,3.5.2020,third,Lynd,20,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,13000,,,leap_Lynd_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,leap_Lynd_RH_fourth,no,no,no,NA
willy_Lynd_LF,12.19.2019,first,Lynd,33,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,41000,,,willy_Lynd_LF,1.30.2020,second,Lynd,20,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,140000,,,willy_Lynd_LF,3.5.2020,third,Lynd,25,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,330000,,,willy_Lynd_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,willy_Lynd_LF_fourth,no,no,yes,NA
54_Choiniere_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21.2020,second,Choiniere,6,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,45000,,,54_Choiniere_LF,2.17.2020,third,Choiniere,25,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,9000,,,54_Choiniere_LF,3.16.2020,fourth,Choiniere,13,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,6000,,,54_Choiniere_LF_fourth,NA,no,no,no
54_Choiniere_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21.2020,second,Choiniere,6,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,20000,,,54_Choiniere_RF,2.17.2020,third,Choiniere,25,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,4000,,,54_Choiniere_RF,3.16.2020,fourth,Choiniere,13,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,4000,,,54_Choiniere_RF_fourth,NA,no,no,no
52_Choiniere_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21.2020,second,Choiniere,5,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,2000,,,52_Choiniere_LF,2.17.2020,third,Choiniere,34,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,2000,,,52_Choiniere_LF,3.16.2020,fourth,Choiniere,19,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,5000,,,52_Choiniere_LF_fourth,NA,no,no,no
aloha_OughtaBe_RF,1.3.2020,first,OughtaBe,4,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,2000,,,aloha_OughtaBe_RF,2.14.2020,second,OughtaBe,2,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,6000,,,aloha_OughtaBe_RF,3.12.2020,third,OughtaBe,2,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,3000,,,aloha_OughtaBe_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aloha_OughtaBe_RF_fourth,no,no,no,NA
teach_OughtaBe_LH,1.3.2020,first,OughtaBe,5,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,6000,,,teach_OughtaBe_LH,2.14.2020,second,OughtaBe,4,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,9000,,,teach_OughtaBe_LH,3.12.2020,third,OughtaBe,3,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,2000,,,teach_OughtaBe_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,teach_OughtaBe_LH_fourth,no,no,no,NA
rabbit_OughtaBe_LH,1.3.2020,first,OughtaBe,7,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,5000,,,rabbit_OughtaBe_LH,2.14.2020,second,OughtaBe,5,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,6000,,,rabbit_OughtaBe_LH,3.12.2020,third,OughtaBe,1,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,16000,,,rabbit_OughtaBe_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rabbit_OughtaBe_LH_fourth,no,no,no,NA
butterfly_OughtaBe_RH,1.3.2020,first,OughtaBe,18,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,21000,,,butterfly_OughtaBe_RH,2.14.2020,second,OughtaBe,20,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,39000,,,butterfly_OughtaBe_RH,3.12.2020,third,OughtaBe,15,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,8000,,,butterfly_OughtaBe_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,butterfly_OughtaBe_RH_fourth,no,no,no,NA
alf_OughtaBe_RH,1.3.2020,first,OughtaBe,24,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,2000,,,alf_OughtaBe_RH,2.14.2020,second,OughtaBe,24,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,42000,,,alf_OughtaBe_RH,3.12.2020,third,OughtaBe,22,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,33000,,,alf_OughtaBe_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,alf_OughtaBe_RH_fourth,no,no,no,NA
spot_OughtaBe_RF,1.3.2020,first,OughtaBe,25,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,2000,,,spot_OughtaBe_RF,2.14.2020,second,OughtaBe,28,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,12000,,,spot_OughtaBe_RF,3.12.2020,third,OughtaBe,28,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,0,,,spot_OughtaBe_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spot_OughtaBe_RF_fourth,no,no,no,NA
