PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
18922194,"A comparison of management practices, farmer-perceived disease incidence and winter housing on organic and non-organic dairy farms in the UK","Langford FM, Rutherford KM, Jack MC, Sherwood L, Lawrence AB, Haskell MJ.",J Dairy Res. 2009 Feb;76(1):6-14. doi: 10.1017/S0022029908003622. Epub 2008 Oct 16.,Langford FM,J Dairy Res,2009,10/17/2008,,,10.1017/S0022029908003622
16507693,Comparison of antibiotic resistance of udder pathogens in dairy cows kept on organic and on conventional farms,"Roesch M, Perreten V, Doherr MG, Schaeren W, Schällibaum M, Blum JW.",J Dairy Sci. 2006 Mar;89(3):989-97. doi: 10.3168/jds.S0022-0302(06)72164-6.,Roesch M,J Dairy Sci,2006,3/2/2006,,,10.3168/jds.S0022-0302(06)72164-6
37923212,Associations between early lactation intramammary infections and udder health and performance during the first 180 days in milk in first-lactation organic dairy cows,"Peña-Mosca F, Dean C, Fernandes L, Doster E, Sharpe K, Ray T, Feijoo V, Antunes A, Baumann C, Wehri T, Heins B, Pinedo P, Machado V, Noyes N, Caixeta L.",J Dairy Sci. 2024 Apr;107(4):2426-2443. doi: 10.3168/jds.2023-23924. Epub 2023 Nov 2.,Peña-Mosca F,J Dairy Sci,2024,11/3/2023,,,10.3168/jds.2023-23924
11995391,Reduced medication in organic farming with emphasis on organic dairy production,"Vaarst M, Bennedsgaard TW.",Acta Vet Scand Suppl. 2001;95:51-7.,Vaarst M,Acta Vet Scand Suppl,2001,5/9/2002,,,
19620659,The effect of organic status and management practices on somatic cell counts on UK dairy farms,"Haskell MJ, Langford FM, Jack MC, Sherwood L, Lawrence AB, Rutherford KM.",J Dairy Sci. 2009 Aug;92(8):3775-80. doi: 10.3168/jds.2009-2105.,Haskell MJ,J Dairy Sci,2009,7/22/2009,,,10.3168/jds.2009-2105
24140332,"Risk factors associated with bulk tank standard plate count, bulk tank coliform count, and the presence of Staphylococcus aureus on organic and conventional dairy farms in the United States","Cicconi-Hogan KM, Gamroth M, Richert R, Ruegg PL, Stiglbauer KE, Schukken YH.",J Dairy Sci. 2013;96(12):7578-90. doi: 10.3168/jds.2012-6505. Epub 2013 Oct 17.,Cicconi-Hogan KM,J Dairy Sci,2013,10/22/2013,,,10.3168/jds.2012-6505
9120075,Patterns of clinical mastitis manifestations in Danish organic dairy herds,"Vaarst M, Enevoldsen C.",J Dairy Res. 1997 Feb;64(1):23-37. doi: 10.1017/s002202999600194x.,Vaarst M,J Dairy Res,1997,2/1/1997,,,10.1017/s002202999600194x
20141638,"Reproductive performance, udder health, and antibiotic resistance in mastitis bacteria isolated from Norwegian Red cows in conventional and organic farming","Garmo RT, Waage S, Sviland S, Henriksen BI, Østerås O, Reksen O.",Acta Vet Scand. 2010 Feb 8;52(1):11. doi: 10.1186/1751-0147-52-11.,Garmo RT,Acta Vet Scand,2010,2/10/2010,PMC2829576,,10.1186/1751-0147-52-11
35331896,Cow-related factors associated with intramammary infections during the 1st week postpartum in primiparous dairy cows in certified organic herds,"Fernandes L, Celestino ML, Menta PR, Silva TH, Paiva D, Ribeiro TL, Caixeta LS, Noyes NR, Machado VS.",Vet J. 2022 Apr;282:105822. doi: 10.1016/j.tvjl.2022.105822. Epub 2022 Mar 22.,Fernandes L,Vet J,2022,3/25/2022,,,10.1016/j.tvjl.2022.105822
31433237,Risk Factors for the Occurrence of Methicillin-Resistant Staphylococcus aureus in Dairy Herds: An Update,"Schnitt A, Tenhagen BA.",Foodborne Pathog Dis. 2020 Oct;17(10):585-596. doi: 10.1089/fpd.2019.2638. Epub 2019 Aug 28.,Schnitt A,Foodborne Pathog Dis,2020,8/22/2019,PMC7549011,,10.1089/fpd.2019.2638
15006764,Comparison of prevalence and antimicrobial susceptibilities of Campylobacter spp. isolates from organic and conventional dairy herds in Wisconsin,"Sato K, Bartlett PC, Kaneene JB, Downes FP.",Appl Environ Microbiol. 2004 Mar;70(3):1442-7. doi: 10.1128/AEM.70.3.1442-1447.2004.,Sato K,Appl Environ Microbiol,2004,3/10/2004,PMC368295,,10.1128/AEM.70.3.1442-1447.2004
34001359,Antimicrobial susceptibilities in dairy herds that differ in dry cow therapy usage,"McDougall S, Penry J, Dymock D.",J Dairy Sci. 2021 Aug;104(8):9142-9163. doi: 10.3168/jds.2020-19925. Epub 2021 May 15.,McDougall S,J Dairy Sci,2021,5/18/2021,,,10.3168/jds.2020-19925
23932134,Comparisons of milk quality on North Carolina organic and conventional dairies,"Mullen KA, Sparks LG, Lyman RL, Washburn SP, Anderson KL.",J Dairy Sci. 2013 Oct;96(10):6753-62. doi: 10.3168/jds.2012-6519. Epub 2013 Aug 9.,Mullen KA,J Dairy Sci,2013,8/13/2013,,,10.3168/jds.2012-6519
17125515,Resistance to penicillin of Staphylococcus aureus isolates from cows with high somatic cell counts in organic and conventional dairy herds in Denmark,"Bennedsgaard TW, Thamsborg SM, Aarestrup FM, Enevoldsen C, Vaarst M, Christoffersen AB.",Acta Vet Scand. 2006 Nov 24;48(1):24. doi: 10.1186/1751-0147-48-24.,Bennedsgaard TW,Acta Vet Scand,2006,11/28/2006,PMC1687190,,10.1186/1751-0147-48-24
17183094,Relationship between antimicrobial drug usage and antimicrobial susceptibility of gram-positive mastitis pathogens,"Pol M, Ruegg PL.",J Dairy Sci. 2007 Jan;90(1):262-73. doi: 10.3168/jds.S0022-0302(07)72627-9.,Pol M,J Dairy Sci,2007,12/22/2006,,,10.3168/jds.S0022-0302(07)72627-9
24393179,Strategies used by dairy family farmers in the south of Brazil to comply with organic regulations,"Honorato LA, Machado Filho LC, Barbosa Silveira ID, Hötzel MJ.",J Dairy Sci. 2014 Mar;97(3):1319-27. doi: 10.3168/jds.2012-6532. Epub 2014 Jan 4.,Honorato LA,J Dairy Sci,2014,1/8/2014,,,10.3168/jds.2012-6532
27845018,Is lack of antibiotic usage affecting udder health status of organic dairy cattle?,"Orjales I, López-Alonso M, Rodríguez-Bermúdez R, Rey-Crespo F, Villar A, Miranda M.",J Dairy Res. 2016 Nov;83(4):464-467. doi: 10.1017/S0022029916000601.,Orjales I,J Dairy Res,2016,11/16/2016,,,10.1017/S0022029916000601
17099178,Animal health and disease therapy on organic dairy farms in the Republic of Ireland,"O'Mahony MC, Healy AM, O'Farrell KJ, Doherty ML.",Vet Rec. 2006 Nov 11;159(20):680-2. doi: 10.1136/vr.159.20.680.,O'Mahony MC,Vet Rec,2006,11/14/2006,,,10.1136/vr.159.20.680
17297132,A total merit selection index for Ontario organic dairy farmers,"Rozzi P, Miglior F, Hand KJ.",J Dairy Sci. 2007 Mar;90(3):1584-93. doi: 10.3168/jds.S0022-0302(07)71644-2.,Rozzi P,J Dairy Sci,2007,2/14/2007,,,10.3168/jds.S0022-0302(07)71644-2
22444993,Management factors affecting udder health and effects of a one year extension program in organic dairy herds,"Ivemeyer S, Walkenhorst M, Heil F, Notz C, Maeschli A, Butler G, Klocke P.",Animal. 2009 Nov;3(11):1596-604. doi: 10.1017/S1751731109990498.,Ivemeyer S,Animal,2009,3/27/2012,,,10.1017/S1751731109990498
17706819,Udder health at a Swedish research farm with both organic and conventional dairy cow management,"Fall N, Emanuelson U, Martinsson K, Jonsson S.",Prev Vet Med. 2008 Feb 1;83(2):186-95. doi: 10.1016/j.prevetmed.2007.07.003. Epub 2007 Aug 16.,Fall N,Prev Vet Med,2008,8/21/2007,,,10.1016/j.prevetmed.2007.07.003
32828505,Udder health of early-lactation primiparous dairy cows based on somatic cell count categories,"Persson Waller K, Lundberg Å, Nyman AK.",J Dairy Sci. 2020 Oct;103(10):9430-9445. doi: 10.3168/jds.2020-18346. Epub 2020 Aug 20.,Persson Waller K,J Dairy Sci,2020,8/24/2020,,,10.3168/jds.2020-18346
38497641,Exploring associations between the teat apex metagenome and Staphylococcus aureus intramammary infections in primiparous cows under organic directives,"Dean CJ, Peña-Mosca F, Ray T, Wehri TJ, Sharpe K, Antunes AM Jr, Doster E, Fernandes L, Calles VF, Bauman C, Godden S, Heins B, Pinedo P, Machado VS, Caixeta LS, Noyes NR.",Appl Environ Microbiol. 2024 Apr 17;90(4):e0223423. doi: 10.1128/aem.02234-23. Epub 2024 Mar 18.,Dean CJ,Appl Environ Microbiol,2024,3/18/2024,PMC11022539,,10.1128/aem.02234-23
38409123,An observational study demonstrates human-adapted Staphylococcus aureus strains have a higher frequency of antibiotic resistance compared to cattle-adapted strains isolated from dairy farms making farmstead cheese,"Chakrawarti A, Casey CL, Burk A, Mugabi R, Ochoa A, Barlow JW.",BMC Vet Res. 2024 Feb 27;20(1):75. doi: 10.1186/s12917-024-03910-6.,Chakrawarti A,BMC Vet Res,2024,2/26/2024,PMC10898128,,10.1186/s12917-024-03910-6
28341052,"Factors associated with intramammary infection in dairy cows caused by coagulase-negative staphylococci, Staphylococcus aureus, Streptococcus uberis, Streptococcus dysgalactiae, Corynebacterium bovis, or Escherichia coli","Taponen S, Liski E, Heikkilä AM, Pyörälä S.",J Dairy Sci. 2017 Jan;100(1):493-503. doi: 10.3168/jds.2016-11465. Epub 2016 Oct 27.,Taponen S,J Dairy Sci,2017,3/26/2017,,,10.3168/jds.2016-11465
10674698,Health status of dairy herds in organic farming,"Weller RF, Bowling PJ.",Vet Rec. 2000 Jan 15;146(3):80-1. doi: 10.1136/vr.146.3.80.,Weller RF,Vet Rec,2000,2/16/2000,,,10.1136/vr.146.3.80
18024724,Methicillin-resistant Staphylococcus epidermidis in organic milk production,"Walther C, Perreten V.",J Dairy Sci. 2007 Dec;90(12):5351. doi: 10.3168/jds.2007-0547.,Walther C,J Dairy Sci,2007,11/21/2007,,,10.3168/jds.2007-0547
