,cow_id,quarter,first_date,first_visit,first_farm,first_order,first_path_1,first_path1_imi,first_path_2,first_path2_imi,first_path_3,first_path3_imi,first_path_4,first_path4_imi,first_quarter_code,first_isolate_1,first_path_1_maldi_final_id,first_fix_1,first_isolate_2,first_path_2_maldi_final_id,first_fix_2,first_isolate_3,first_path_3_maldi_final_id,first_fix_3,first_isolate_4,first_path_4_maldi_final_id,first_fix_4,first_clinical,first_blind,first_teatinj,first_pstmilking,first_mixed_inf_series,first_dup_not_collected,first_imi_series,first_hygiene_scorer_1,first_hygiene_1,first_hygiene_scorer_2,first_hygiene_2,first_cc_1,first_cc_2,first_cc_3,first_scc,first_contam,first_contam_comment,first_dup_a_cfu_count,first_dup_b_cfu_count,first_more_than_2_org_present,first_uniqueID,second_date,second_visit,second_farm,second_order,second_path_1,second_path1_imi,second_path_2,second_path2_imi,second_path_3,second_path3_imi,second_path_4,second_path4_imi,second_quarter_code,second_isolate_1,second_path_1_maldi_final_id,second_fix_1,second_isolate_2,second_path_2_maldi_final_id,second_fix_2,second_isolate_3,second_path_3_maldi_final_id,second_fix_3,second_isolate_4,second_path_4_maldi_final_id,second_fix_4,second_clinical,second_blind,second_teatinj,second_pstmilking,second_mixed_inf_series,second_dup_not_collected,second_imi_series,second_hygiene_scorer_1,second_hygiene_1,second_hygiene_scorer_2,second_hygiene_2,second_cc_1,second_cc_2,second_cc_3,second_scc,second_contam,second_contam_comment,second_dup_a_cfu_count,second_dup_b_cfu_count,second_more_than_2_org_present,second_uniqueID,third_date,third_visit,third_farm,third_order,third_path_1,third_path1_imi,third_path_2,third_path2_imi,third_path_3,third_path3_imi,third_path_4,third_path4_imi,third_quarter_code,third_isolate_1,third_path_1_maldi_final_id,third_fix_1,third_isolate_2,third_path_2_maldi_final_id,third_fix_2,third_isolate_3,third_path_3_maldi_final_id,third_fix_3,third_isolate_4,third_path_4_maldi_final_id,third_fix_4,third_clinical,third_blind,third_teatinj,third_pstmilking,third_mixed_inf_series,third_dup_not_collected,third_imi_series,third_hygiene_scorer_1,third_hygiene_1,third_hygiene_scorer_2,third_hygiene_2,third_cc_1,third_cc_2,third_cc_3,third_scc,third_contam,third_contam_comment,third_dup_a_cfu_count,third_dup_b_cfu_count,third_more_than_2_org_present,third_uniqueID,fourth_date,fourth_visit,fourth_farm,fourth_order,fourth_path_1,fourth_path1_imi,fourth_path_2,fourth_path2_imi,fourth_path_3,fourth_path3_imi,fourth_path_4,fourth_path4_imi,fourth_quarter_code,fourth_isolate_1,fourth_path_1_maldi_final_id,fourth_fix_1,fourth_isolate_2,fourth_path_2_maldi_final_id,fourth_fix_2,fourth_isolate_3,fourth_path_3_maldi_final_id,fourth_fix_3,fourth_isolate_4,fourth_path_4_maldi_final_id,fourth_fix_4,fourth_clinical,fourth_blind,fourth_teatinj,fourth_pstmilking,fourth_mixed_inf_series,fourth_dup_not_collected,fourth_imi_series,fourth_hygiene_scorer_1,fourth_hygiene_1,fourth_hygiene_scorer_2,fourth_hygiene_2,fourth_cc_1,fourth_cc_2,fourth_cc_3,fourth_scc,fourth_contam,fourth_contam_comment,fourth_dup_a_cfu_count,fourth_dup_b_cfu_count,fourth_more_than_2_org_present,fourth_uniqueID
11,114_Glennview,RF,1.14.2020,first,Glennview,24,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,j,1,c,2,NA,NA,NA,8000,,,,,,114_Glennview_RF,2.19.2020,second,Glennview,5,sa,yes1,,,,,,,1,gv055,staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,m,3,c,2,NA,NA,NA,36000,,,1,1,,114_Glennview_RF,3.19.2020,third,Glennview,33,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,29000,,,,,,114_Glennview_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114_Glennview_RF_fourth
12,114_Glennview,RH,1.14.2020,first,Glennview,24,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,1,c,2,NA,NA,NA,36000,,,,,,114_Glennview_RH,2.19.2020,second,Glennview,5,corynebac,yes2,,,,,,,2,gv054,corynebacterium casei,,,,,,,,,,,,,,,no,,yes,m,3,c,2,NA,NA,NA,61000,,,2,1,,114_Glennview_RH,3.19.2020,third,Glennview,33,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,67000,,,,,,114_Glennview_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114_Glennview_RH_fourth
13,12_Choiniere,LF,12.11.2019,first,Choiniere,13,cns,yes2,,,,,,,2,cf026,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,2,c,3,NA,NA,NA,320000,,,18,14,,12_Choiniere_LF,1.21.2020,second,Choiniere,14,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,9700000,,,,,,12_Choiniere_LF,2.17.2020,third,Choiniere,14,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,j,2,NA,NA,NA,NA,NA,160000,yes,,,,,12_Choiniere_LF,3.16.2020,fourth,Choiniere,9,corynebac,yes2,,,,,,,2,cf200,corynebacterium species,,,,,,,,,,,,,,,no,,yes,j,1,c,2,NA,NA,NA,7000,,,2,1,,12_Choiniere_LF_fourth
14,12_Choiniere,LH,12.11.2019,first,Choiniere,13,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,2,c,3,NA,NA,NA,12000,,,,,,12_Choiniere_LH,1.21.2020,second,Choiniere,14,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,18000,,,,,,12_Choiniere_LH,2.17.2020,third,Choiniere,14,corynebac,yes2,,,,,,,2,cf152,no id,yes_nochange,,,,,,,,,,,,,,no,,yes,j,2,NA,NA,NA,NA,NA,19000,,,4,5,,12_Choiniere_LH,3.16.2020,fourth,Choiniere,9,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,1,c,2,NA,NA,NA,21000,,,,,,12_Choiniere_LH_fourth
15,12_Choiniere,RF,12.11.2019,first,Choiniere,13,corynebac,yes2,,,,,,,2,cf027,corynebacterium casei,,,,,,,,,,,,,,,no,,yes,j,2,c,3,NA,NA,NA,16000,,,11,24,,12_Choiniere_RF,1.21.2020,second,Choiniere,14,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,32000,,,,,,12_Choiniere_RF,2.17.2020,third,Choiniere,14,corynebac,yes2,,,,,,,2,cf153,corynebacterium casei,yes_from_cns_to_corynebac,,,,,,,,,,,,,,no,,yes,j,2,NA,NA,NA,NA,NA,42000,,,3,1,,12_Choiniere_RF,3.16.2020,fourth,Choiniere,9,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,1,c,2,NA,NA,NA,66000,,,,,,12_Choiniere_RF_fourth
16,12_Choiniere,RH,12.11.2019,first,Choiniere,13,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,2,c,3,NA,NA,NA,15000,,,,,,12_Choiniere_RH,1.21.2020,second,Choiniere,14,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,210000,,,,,,12_Choiniere_RH,2.17.2020,third,Choiniere,14,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,j,2,NA,NA,NA,NA,NA,22000,yes,,,,,12_Choiniere_RH,3.16.2020,fourth,Choiniere,9,corynebac,yes2,,,,,,,2,cf201,corynebacterium species,,,,,,,,,,,,,,,no,,yes,j,1,c,2,NA,NA,NA,29000,,,1,1,,12_Choiniere_RH_fourth
17,128_Glennview,LF,1.14.2020,first,Glennview,15,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,j,3,c,3,NA,NA,NA,22000,,,,,,128_Glennview_LF,2.19.2020,second,Glennview,28,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,m,2,c,2,NA,NA,NA,21000,,,,,,128_Glennview_LF,3.19.2020,third,Glennview,15,psychrobacter,other12,cns,other12,,,,,12,gv129,psychrobacter species,yes_from_cns_to_psychrobacter,gv130,staphylococcus equorum,yes_from_corynebac_to_cns,,,,,,,,,,,,,no,j,2,c,3,NA,NA,NA,20000,,,,,yes,128_Glennview_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128_Glennview_LF_fourth
18,128_Glennview,LH,1.14.2020,first,Glennview,15,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,j,3,c,3,NA,NA,NA,13000,,,,,,128_Glennview_LH,2.19.2020,second,Glennview,28,corynebac,yes2,,,,,,,2,gv087,corynebacterium casei,,,,,,,,,,,,,,,no,,yes,m,2,c,2,NA,NA,NA,19000,,,1,1,,128_Glennview_LH,3.19.2020,third,Glennview,15,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,j,2,c,3,NA,NA,NA,90000,,,,,,128_Glennview_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128_Glennview_LH_fourth
19,128_Glennview,RF,1.14.2020,first,Glennview,15,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,3,c,3,NA,NA,NA,20000,,,,,,128_Glennview_RF,2.19.2020,second,Glennview,28,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,m,2,c,2,NA,NA,NA,17000,,,,,,128_Glennview_RF,3.19.2020,third,Glennview,15,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,3,NA,NA,NA,19000,,,,,,128_Glennview_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128_Glennview_RF_fourth
20,128_Glennview,RH,1.14.2020,first,Glennview,15,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,j,3,c,3,NA,NA,NA,16000,,,,,,128_Glennview_RH,2.19.2020,second,Glennview,28,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,m,2,c,2,NA,NA,NA,14000,,,,,,128_Glennview_RH,3.19.2020,third,Glennview,15,cns,yes1,corynebac,no5,,,,,1,gv131,staphylococcus equorum,,gv132,corynebacterium species,,,,,,,,,,,,no,,yes,j,2,c,3,NA,NA,NA,12000,,,,,yes,128_Glennview_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128_Glennview_RH_fourth
21,133_Glennview,LF,1.14.2020,first,Glennview,3,?,yes21,,,,,,,21,gv004,isolate_died,,,,,,,,,,,,,,,tbd,,yes,j,4,c,3,NA,NA,NA,51000,,,,,yes,133_Glennview_LF,2.19.2020,second,Glennview,8,strep,yes2,,,,,,,2,gv060,streptococcus species,yes_from_coryne_to_strep,,,,,,,,,,,,,,no,,yes,m,4,c,3,NA,NA,NA,33000,,,50,20,,133_Glennview_LF,3.19.2020,third,Glennview,14,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,j,4,c,4,NA,NA,NA,52000,,,,,,133_Glennview_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133_Glennview_LF_fourth
22,133_Glennview,LH,1.14.2020,first,Glennview,3,cns,yes2,,,,,,,2,gv003,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,4,c,3,NA,NA,NA,65000,,,36,36,,133_Glennview_LH,2.19.2020,second,Glennview,8,cns,yes2,,,,,,,2,gv059,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,m,4,c,3,NA,NA,NA,46000,,,16,21,,133_Glennview_LH,3.19.2020,third,Glennview,14,cns,other12,,,,,,,12,gv127,staphylococcus chromogenes,,,,,,,,,,,,,,,,,no,j,4,c,4,NA,NA,NA,26000,,,15,cont,,133_Glennview_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133_Glennview_LH_fourth
23,133_Glennview,RF,1.14.2020,first,Glennview,3,strep,yes2,,,,,,,2,gv005,streptococcus dysgalactiae,,,,,,,,,,,,,,,no,,yes,j,4,c,3,NA,NA,NA,3700000,,,tntc,tntc,,133_Glennview_RF,2.19.2020,second,Glennview,8,strep,yes2,,,,,,,2,gv061,streptococcus dysgalactiae,yes_from_?_to_strep,,,,,,,,,,yes,,,,no,,yes,m,4,c,3,NA,NA,NA,2600000,,,tntc,tntc,,133_Glennview_RF,3.19.2020,third,Glennview,14,strep,yes29,,,,,,,29,gv128,streptococcus dysgalactiae,,,,,,,,,,,,,,,,,yes,j,4,c,4,NA,NA,NA,4300000,,,50,50,,133_Glennview_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133_Glennview_RF_fourth
24,133_Glennview,RH,1.14.2020,first,Glennview,3,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,4,c,3,NA,NA,NA,2000,,,,,,133_Glennview_RH,2.19.2020,second,Glennview,8,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,m,4,c,3,NA,NA,NA,4000,,,,,,133_Glennview_RH,3.19.2020,third,Glennview,14,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,4,c,4,NA,NA,NA,8000,,,,,,133_Glennview_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133_Glennview_RH_fourth
