,,cow_id,quarter,1_date,1_visit,1_farm,1_order,1_path_1,1_path1_imi,1_path_2,1_path2_imi,1_path_3,1_path3_imi,1_path_4,1_path4_imi,1_quarter_code,1_isolate_1,1_path_1_maldi_final_id,1_fix_1,1_isolate_2,1_path_2_maldi_final_id,1_fix_2,1_isolate_3,1_path_3_maldi_final_id,1_fix_3,1_isolate_4,1_path_4_maldi_final_id,1_fix_4,1_clinical,1_blind,1_teatinj,1_pstmilking,1_mixed_inf_series,1_dup_not_collected,1_imi_series,1_hygiene_scorer_1,1_hygiene_1,1_hygiene_scorer_2,1_hygiene_2,1_cc_1,1_cc_2,1_cc_3,1_scc,1_contam,1_contam_comment,1_dup_a_cfu_count,1_dup_b_cfu_count,1_more_than_2_org_present,2_date,2_visit,2_farm,2_order,2_path_1,2_path1_imi,2_path_2,2_path2_imi,2_path_3,2_path3_imi,2_path_4,2_path4_imi,2_quarter_code,2_isolate_1,2_path_1_maldi_final_id,2_fix_1,2_isolate_2,2_path_2_maldi_final_id,2_fix_2,2_isolate_3,2_path_3_maldi_final_id,2_fix_3,2_isolate_4,2_path_4_maldi_final_id,2_fix_4,2_clinical,2_blind,2_teatinj,2_pstmilking,2_mixed_inf_series,2_dup_not_collected,2_imi_series,2_hygiene_scorer_1,2_hygiene_1,2_hygiene_scorer_2,2_hygiene_2,2_cc_1,2_cc_2,2_cc_3,2_scc,2_contam,2_contam_comment,2_dup_a_cfu_count,2_dup_b_cfu_count,2_more_than_2_org_present
30,A30,139_Glennview,LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19.2020,second,Glennview,22,strep,yes2,,,,,,,2,gv077,aerococcus viridans,no_sslo,,,,,,,,,,,,,,no,,yes,m,3,c,3,NA,NA,NA,8000,,,1,1,
31,A31,139_Glennview,RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19.2020,second,Glennview,22,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,m,3,c,3,NA,NA,NA,2000,,,,,
32,A32,139_Glennview,RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19.2020,second,Glennview,22,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,m,3,c,3,NA,NA,NA,0,,,,,
33,A33,16_Choiniere,LF,12.11.2019,first,Choiniere,28,cns,yes2,,,,,,,2,cf053,staphylococcus agnetis,yes_from_staphspp_to_agnetis,,,,,,,,,,,,,,no,,yes,j,2,c,2,NA,NA,NA,741000,,,2,8,,1.21.2020,second,Choiniere,33,cns,yes2,,,,,,,2,cf129,staphylococcus agnetis,yes_from_staphspp_to_agnetis,,,,,,,,,,,,,,no,,yes,j,2,c,2,NA,NA,NA,190000,,,10,50,
34,A34,16_Choiniere,LH,12.11.2019,first,Choiniere,28,cns,yes2,,,,,,,2,cf052,staphylococcus agnetis,yes_from_staphspp_to_agnetis,,,,,,,,,,,,,,no,,yes,j,2,c,2,NA,NA,NA,2658000,,,4,2,,1.21.2020,second,Choiniere,33,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,4000,,,,,
35,A35,16_Choiniere,RF,12.11.2019,first,Choiniere,28,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,4000,yes,,,,,1.21.2020,second,Choiniere,33,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,3000,,,,,
36,A36,16_Choiniere,RH,12.11.2019,first,Choiniere,28,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,14000,yes,,,,,1.21.2020,second,Choiniere,33,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,30000,,,,,
37,A37,160_Glennview,LF,1.14.2020,first,Glennview,8,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,1,c,1,NA,NA,NA,10000,,,,,,2.19.2020,second,Glennview,20,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,m,1,c,2,NA,NA,NA,8000,,,,,
38,A38,160_Glennview,LH,1.14.2020,first,Glennview,8,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,1,c,1,NA,NA,NA,4000,,,,,,2.19.2020,second,Glennview,20,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,m,1,c,2,NA,NA,NA,6000,,,,,
39,A39,160_Glennview,RF,1.14.2020,first,Glennview,8,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,1,c,1,NA,NA,NA,39000,,,,,,2.19.2020,second,Glennview,20,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,m,1,c,2,NA,NA,NA,37000,,,,,
40,A40,160_Glennview,RH,1.14.2020,first,Glennview,8,cns,yes2,,,,,,,2,gv016,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,1,c,1,NA,NA,NA,270000,,,tntc,tntc,,2.19.2020,second,Glennview,20,cns,yes2,,,,,,,2,gv076,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,m,1,c,2,NA,NA,NA,120000,,,tntc,tntc,
41,A41,165_Glennview,LF,1.14.2020,first,Glennview,6,corynebac,yes2,,,,,,,2,gv009,corynebacterium stationis,,,,,,,,,,,,,,,no,,yes,j,1,c,1,NA,NA,NA,43000,,,4,1,,2.19.2020,second,Glennview,23,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,m,3,c,2,NA,NA,NA,30000,,,,,
42,A42,165_Glennview,LH,1.14.2020,first,Glennview,6,sa,yes2,,,,,,,2,gv008,staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,j,1,c,1,NA,NA,NA,1900000,,,27,tntc,,2.19.2020,second,Glennview,23,sa,yes2,,,,,,,2,gv079,staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,m,3,c,2,NA,NA,NA,1000000,,,14,26,
43,A43,165_Glennview,RF,1.14.2020,first,Glennview,6,cns,yes1,,,,,,,1,gv011,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,j,1,c,1,NA,NA,NA,97000,,,tntc,tntc,,2.19.2020,second,Glennview,23,cns,yes2,,,,,,,2,gv081,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,m,3,c,2,NA,NA,NA,220000,,,6,5,
44,A44,165_Glennview,RH,1.14.2020,first,Glennview,6,cns,yes2,,,,,,,2,gv010,staphylococcus devriesei,,,,,,,,,,,,,,,no,,yes,j,1,c,1,NA,NA,NA,80000,,,28,tntc,,2.19.2020,second,Glennview,23,cns,yes1,,,,,,,1,gv080,staphylococcus devriesei,yes_from_?_to_cns,,,,,,,,,,,,,,no,,yes,m,3,c,2,NA,NA,NA,110000,,,30,17,
45,A45,169_Glennview,LF,1.14.2020,first,Glennview,23,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,9000,yes,,,,,2.19.2020,second,Glennview,27,cns,yes1,,,,,,,1,gv085,staphylococcus equorum,,,,,,,,,,,,,,,no,,yes,m,3,c,3,NA,NA,NA,10000,,,5,10,
46,A46,169_Glennview,LH,1.14.2020,first,Glennview,23,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,180000,yes,,,,,2.19.2020,second,Glennview,27,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,m,3,c,3,NA,NA,NA,98000,,,,,
47,A47,169_Glennview,RF,1.14.2020,first,Glennview,23,cns,yes2,,,,,,,2,gv033,staphylococcus pseudintermedius,yes_from_sa_to_cns,,,,,,,,,,,,,,no,,yes,j,2,c,2,NA,NA,NA,44000,,,tntc,tntc,,2.19.2020,second,Glennview,27,cns,yes2,,,,,,,2,gv086,staphylococcus pseudintermedius,yes_from_sa_to_cns,,,,,,,,,,,,,,no,,yes,m,3,c,3,NA,NA,NA,96000,,,tntc,tntc,
48,A48,169_Glennview,RH,1.14.2020,first,Glennview,23,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,4000,yes,,,,,2.19.2020,second,Glennview,27,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,m,3,c,3,NA,NA,NA,4000,,,,,
49,A49,17_Choiniere,LF,12.11.2019,first,Choiniere,18,sa,yes2,,,,,,,2,cf037,staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,j,2,c,3,NA,NA,NA,334000,,,50,tntc,,1.21.2020,second,Choiniere,2,sa,yes2,,,,,,,2,cf082,staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,j,2,c,2,NA,NA,NA,990000,,,tntc,tntc,
50,A50,17_Choiniere,LH,12.11.2019,first,Choiniere,18,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,3,NA,NA,NA,94000,,,,,,1.21.2020,second,Choiniere,2,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,2000,,,,,
51,A51,17_Choiniere,RF,12.11.2019,first,Choiniere,18,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,3,NA,NA,NA,20000,,,,,,1.21.2020,second,Choiniere,2,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,36000,,,,,
52,A52,17_Choiniere,RH,12.11.2019,first,Choiniere,18,sa,yes2,,,,,,,2,cf038,staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,j,2,c,3,NA,NA,NA,656000,,,tntc,tntc,,1.21.2020,second,Choiniere,2,sa,yes2,,,,,,,2,cf083,staphylococcus aureus,,,,,,,,,,,,,,,no,,yes,j,2,c,2,NA,NA,NA,1400000,,,30,tntc,
53,A53,172_Glennview,LF,1.14.2020,first,Glennview,34,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,j,1,c,2,NA,NA,NA,8000,,,,,,2.19.2020,second,Glennview,34,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,m,2,c,2,NA,NA,NA,3000,,,,,
54,A54,172_Glennview,LH,1.14.2020,first,Glennview,34,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,1,c,2,NA,NA,NA,4000,,,,,,2.19.2020,second,Glennview,34,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,m,2,c,2,NA,NA,NA,2000,,,,,
55,A55,172_Glennview,RF,1.14.2020,first,Glennview,34,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,1,c,2,NA,NA,NA,6000,,,,,,2.19.2020,second,Glennview,34,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,m,2,c,2,NA,NA,NA,3000,,,,,
56,A56,172_Glennview,RH,1.14.2020,first,Glennview,34,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,j,1,c,2,NA,NA,NA,7000,yes,,,,,2.19.2020,second,Glennview,34,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,m,2,c,2,NA,NA,NA,3000,,,,,
57,A57,173_Glennview,LF,1.14.2020,first,Glennview,1,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,j,2,c,1,NA,NA,NA,52000,,,,,,2.19.2020,second,Glennview,3,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,m,2,c,2,NA,NA,NA,7000,,,,,
58,A58,173_Glennview,LH,1.14.2020,first,Glennview,1,cns,other8,,,,,,,8,gv001,staphylococcus chromogenes,,,,,,,,,,,,,,,,,no,j,2,c,1,NA,NA,NA,1200000,,,cont,cont,yes,2.19.2020,second,Glennview,3,cns,yes2,,,,,,,2,gv050,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,m,2,c,2,NA,NA,NA,390000,,,tntc,tntc,
59,A59,173_Glennview,RF,1.14.2020,first,Glennview,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,j,2,c,1,NA,NA,NA,38000,,,,,,2.19.2020,second,Glennview,3,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,m,2,c,2,NA,NA,NA,2000,,,,,
60,A60,173_Glennview,RH,1.14.2020,first,Glennview,1,cns,other12,,,,,,,12,gv002,staphylococcus chromogenes,,,,,,,,,,,,,,,,,no,j,2,c,1,NA,NA,NA,78000,,,cont,con,,2.19.2020,second,Glennview,3,cns,yes1,,,,,,,1,gv051,staphylococcus chromogenes,,,,,,,,,,,,,,,no,,yes,m,2,c,2,NA,NA,NA,67000,,,tntc,50,
61,A61,174_Glennview,LF,1.14.2020,first,Glennview,12,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,550000,,,,,,2.19.2020,second,Glennview,1,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,m,1,c,1,NA,NA,NA,13000,,,,,
62,A62,174_Glennview,LH,1.14.2020,first,Glennview,12,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,940000,yes,,,,,2.19.2020,second,Glennview,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,m,1,c,1,NA,NA,NA,380000,,,,,
63,A63,174_Glennview,RF,1.14.2020,first,Glennview,12,corynebac,yes2,,,,,,,2,gv026,corynebacterium stationis,,,,,,,,,,,,,,,no,,yes,j,2,c,2,NA,NA,NA,17000,,,4,3,,2.19.2020,second,Glennview,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,m,1,c,1,NA,NA,NA,14000,,,,,
64,A64,174_Glennview,RH,1.14.2020,first,Glennview,12,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,j,2,c,2,NA,NA,NA,45000,yes,,,,,2.19.2020,second,Glennview,1,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,m,1,c,1,NA,NA,NA,6000,,,,,
65,A65,175_Glennview,LF,1.14.2020,first,Glennview,31,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,j,1,c,2,NA,NA,NA,7000,,,,,,2.19.2020,second,Glennview,15,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,m,1,c,2,NA,NA,NA,8000,,,,,
66,A66,175_Glennview,LH,1.14.2020,first,Glennview,31,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,j,1,c,2,NA,NA,NA,11000,,,,,,2.19.2020,second,Glennview,15,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,m,1,c,2,NA,NA,NA,5000,,,,,
67,A67,175_Glennview,RF,1.14.2020,first,Glennview,31,corynebac,yes2,,,,,,,2,gv044,corynebacterium amycolatum,,,,,,,,,,,,,,,no,,yes,j,1,c,2,NA,NA,NA,120000,,,tntc,tntc,,2.19.2020,second,Glennview,15,corynebac,yes2,,,,,,,2,gv070,corynebacterium amycolatum,yes_from_?_to_corynebac,,,,,,,,,,,,,,no,,yes,m,1,c,2,NA,NA,NA,140000,,,24,50,
